연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
129.0,평일,3,309,지축,상행,10.0,13.4,16.8,21.6,17.0,13.4,17.6,20.8,23.4,26.5,34.4,40.0,54.8,107.8,73.1,40.0,39.2,38.0,32.6,16.0
130.0,평일,3,309,지축,하행,19.1,44.9,86.6,96.8,63.1,42.0,36.1,33.0,28.9,24.6,24.4,26.8,29.1,29.2,17.2,10.8,10.0,10.0,5.8,2.4
131.0,평일,3,310,구파발,상행,10.7,9.8,11.0,11.4,9.2,8.4,11.6,17.5,20.1,18.4,31.4,29.6,51.4,57.0,41.6,25.6,27.3,22.2,18.9,4.2
132.0,평일,3,310,구파발,하행,8.2,32.4,60.6,72.8,43.3,39.0,29.3,31.0,30.8,20.7,27.1,24.8,22.6,17.8,10.6,9.0,9.9,9.4,5.7,2.2
133.0,평일,3,311,연신내,상행,11.0,11.8,13.2,13.9,11.8,11.2,14.6,21.0,25.3,23.5,38.6,38.8,58.4,74.5,46.3,33.8,31.0,30.1,22.6,5.8
134.0,평일,3,311,연신내,하행,12.6,36.2,67.0,81.5,51.9,44.5,30.4,32.9,32.5,21.5,27.0,26.2,19.2,16.2,10.5,7.8,9.1,8.4,5.2,2.0
135.0,평일,3,312,불광,상행,9.5,12.6,14.2,15.3,13.0,13.0,17.2,25.3,30.0,28.6,48.0,47.8,74.8,96.6,61.2,43.4,39.4,39.2,28.4,9.1
136.0,평일,3,312,불광,하행,16.8,42.2,76.8,98.0,63.4,48.8,36.3,35.3,37.8,25.3,30.0,29.8,23.4,19.1,12.4,9.0,10.5,9.4,6.6,2.2
137.0,평일,3,313,녹번,상행,8.6,10.2,13.0,13.5,12.6,12.6,16.8,25.6,29.6,28.9,50.1,48.6,76.1,97.8,62.6,45.1,39.9,40.6,29.8,10.2
138.0,평일,3,313,녹번,하행,19.5,47.8,87.9,112.4,71.8,53.0,40.0,38.2,40.7,26.6,30.8,30.9,23.8,19.7,12.7,9.2,10.0,9.0,6.2,2.4
