연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,평일,3,326,압구정,상행,2.8,7.0,22.8,31.0,23.6,24.5,29.0,39.0,36.6,39.8,54.6,45.8,67.8,94.9,67.1,43.4,41.9,53.6,31.4
,평일,3,326,압구정,하행,7.8,29.9,51.8,82.1,58.2,35.7,38.0,33.2,42.7,43.4,37.8,58.3,43.5,53.0,28.8,20.6,22.4,37.5,21.1
,평일,3,327,신사,상행,2.6,8.2,25.8,36.9,32.4,30.2,31.6,41.2,38.1,39.9,52.8,43.2,64.8,87.4,57.4,36.5,38.4,45.8,26.3
,평일,3,327,신사,하행,7.6,29.0,43.5,72.0,48.7,31.9,36.5,32.8,44.0,43.4,40.0,60.4,50.6,59.9,36.0,26.4,30.4,42.1,27.8
,평일,3,328,잠원,상행,2.8,10.6,32.0,44.7,49.1,38.0,35.4,46.8,39.5,43.0,53.9,43.2,62.9,82.4,49.0,32.8,32.0,38.6,22.6
,평일,3,328,잠원,하행,7.6,29.2,44.2,73.4,51.8,31.6,37.0,33.2,44.6,44.6,40.2,60.0,51.0,59.4,37.4,25.8,29.6,41.8,27.2
,평일,3,329,고속터미널,상행,2.8,11.0,32.0,44.6,49.0,37.6,35.4,47.2,40.9,42.8,54.0,43.3,63.1,83.8,49.1,33.0,33.0,39.6,23.5
,평일,3,329,고속터미널,하행,8.4,35.4,60.8,103.5,68.2,37.2,41.3,38.0,51.8,48.4,43.0,63.4,57.0,62.6,38.6,29.0,30.4,40.4,26.6
,평일,3,330,교대,상행,3.2,13.5,38.9,47.4,42.0,39.1,39.5,52.7,44.0,50.1,60.0,54.9,79.2,111.2,61.8,38.9,40.9,47.8,29.8
,평일,3,330,교대,하행,10.5,34.0,52.2,89.2,48.1,28.1,30.8,31.0,39.0,39.2,34.2,51.6,48.4,51.2,31.6,23.8,27.0,31.5,26.0
,평일,3,331,남부터미널,상행,3.0,11.1,37.2,43.0,35.6,33.7,33.3,42.7,34.0,38.6,46.8,44.0,64.6,89.6,45.3,31.0,31.5,39.3,20.4
,평일,3,331,남부터미널,하행,9.0,28.8,46.0,67.2,39.4,22.6,26.0,26.6,31.6,36.2,29.7,43.8,44.9,49.5,29.8,22.8,25.4,30.2,24.2
,평일,3,332,양재,상행,3.2,12.0,36.4,45.7,34.6,30.6,29.5,38.8,29.2,34.3,38.8,37.4,54.4,74.2,37.4,24.2,26.1,32.4,12.7
,평일,3,332,양재,하행,3.0,16.2,21.6,28.8,17.5,12.6,16.0,17.8,20.6,24.4,20.2,29.6,33.7,36.0,20.7,16.5,18.7,18.6,23.0
,평일,3,333,매봉,상행,3.2,9.8,29.8,39.8,27.0,21.6,19.5,26.4,19.5,22.1,25.0,23.4,30.2,34.9,16.8,11.4,13.2,18.3,7.7
,평일,3,333,매봉,하행,3.2,14.6,19.1,21.9,13.4,11.5,13.8,17.2,18.9,23.8,20.0,29.0,33.9,35.4,21.3,16.3,18.7,17.9,21.7
,평일,3,334,도곡,상행,3.0,9.5,29.1,40.8,26.6,20.6,18.6,25.0,17.8,20.0,22.6,21.2,26.2,28.0,14.2,10.0,10.6,16.2,7.2
,평일,3,334,도곡,하행,3.0,13.2,17.0,19.8,11.1,10.2,11.7,15.4,17.0,21.2,18.8,26.0,29.3,30.9,19.2,14.4,16.8,16.5,19.6
,평일,3,335,대치,상행,2.6,9.0,28.4,37.7,24.0,18.4,16.6,22.4,15.8,18.0,19.9,18.8,23.5,23.5,12.0,8.4,9.0,14.8,6.0
,평일,3,335,대치,하행,3.2,11.8,15.6,17.3,10.8,8.7,10.0,12.8,14.0,17.9,16.3,22.8,26.4,28.3,17.8,14.0,14.8,17.1,17.4
,평일,3,336,학여울,상행,2.6,7.6,25.0,36.0,22.6,17.3,15.4,20.3,14.8,17.2,19.2,17.6,21.4,21.2,9.7,7.1,6.8,8.8,5.5
,평일,3,336,학여울,하행,3.2,11.8,15.4,17.1,10.3,8.1,9.3,12.2,13.3,16.6,15.9,22.9,27.7,26.6,18.2,13.8,14.2,16.8,16.8
,평일,3,337,대청,상행,2.6,7.6,25.9,34.8,23.6,16.8,16.1,19.8,14.2,16.6,18.4,16.6,20.3,20.8,9.6,7.0,6.9,8.7,5.5
,평일,3,337,대청,하행,3.4,10.8,13.8,15.2,9.6,7.6,8.5,11.7,12.1,14.8,14.4,21.0,25.5,24.3,16.4,12.0,12.2,13.8,13.4
,평일,3,338,일원,상행,2.5,6.7,22.8,31.8,20.6,14.8,14.3,17.8,12.8,14.5,15.2,14.2,17.5,17.6,8.2,6.2,6.3,8.2,5.5
,평일,3,338,일원,하행,3.0,8.8,9.8,14.0,7.8,6.0,7.9,8.9,10.0,12.9,13.5,19.8,25.0,23.0,15.0,10.9,10.8,12.2,11.6
,평일,3,339,수서,상행,2.2,7.1,22.1,30.4,19.3,12.7,11.9,15.0,11.0,12.3,11.8,10.7,12.3,16.2,7.2,5.9,6.1,8.8,5.4
,평일,3,339,수서,하행,3.0,6.3,8.8,13.0,7.4,5.2,7.8,8.6,9.1,11.9,12.8,18.9,24.8,22.6,14.1,10.0,10.2,10.6,10.2
,평일,3,340,가락시장,상행,4.0,16.2,26.8,34.2,18.5,11.6,11.0,13.2,9.5,11.5,10.2,11.8,15.5,16.6,7.2,5.8,5.6,7.6,3.6
,평일,3,340,가락시장,하행,0.0,4.4,5.8,10.0,5.6,4.6,6.5,7.0,5.8,8.2,8.4,12.1,17.0,19.5,15.6,8.6,10.0,12.7,10.4
,평일,3,341,경찰병원,상행,2.8,11.5,19.5,23.9,12.8,8.0,7.3,8.8,6.2,7.4,6.3,7.8,9.8,10.0,4.0,3.3,3.2,4.4,2.0
,평일,3,341,경찰병원,하행,0.0,3.5,4.5,6.4,3.5,3.4,5.1,5.2,4.4,6.4,7.0,9.6,14.8,16.6,12.8,6.6,8.0,9.3,7.6
,평일,3,342,오금,상행,2.2,9.3,16.6,21.1,10.5,6.2,5.8,7.0,5.0,5.6,4.6,6.2,7.4,7.0,3.2,2.4,2.2,3.4,0.8
,주말,3,309,지축,상행,6.2,7.4,8.0,11.0,19.0,14.1,16.8,24.7,28.5,29.3,28.2,35.7,34.6,34.7,28.1,21.4,19.1,25.6,23.2
,주말,3,309,지축,하행,11.5,12.2,19.8,22.5,30.0,32.1,31.8,33.4,31.6,33.6,30.1,32.2,32.0,20.5,15.4,9.7,8.6,9.5,4.2
,주말,3,310,구파발,상행,6.6,7.1,4.2,6.2,9.6,10.3,10.0,12.6,14.4,14.8,15.6,18.4,20.2,22.0,15.3,14.4,15.8,16.9,6.3
