호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
8호선,천호역,811,SAT,06,50,0,0,827,모란역,810,암사역,812,강동구청역,"[21, 23, 16, 12, 7, 5]",토요일
8호선,천호역,811,SAT,06,00,0,0,827,모란역,804,별내역,812,강동구청역,"[16, 27, 15, 13, 5, 8]",토요일
8호선,천호역,811,SAT,06,10,0,0,827,모란역,804,별내역,812,강동구청역,"[7, 18, 13, 11, 10, 7]",토요일
8호선,천호역,811,SAT,06,20,0,0,827,모란역,804,별내역,812,강동구청역,"[13, 18, 16, 9, 11, 5]",토요일
8호선,천호역,811,SAT,06,30,0,0,827,모란역,804,별내역,812,강동구청역,"[22, 21, 15, 12, 7, 7]",토요일
8호선,천호역,811,SAT,06,40,0,0,827,모란역,804,별내역,812,강동구청역,"[11, 18, 18, 8, 11, 7]",토요일
8호선,천호역,811,SAT,06,50,0,0,827,모란역,804,별내역,812,강동구청역,"[21, 23, 16, 12, 7, 5]",토요일
8호선,강동구청역,812,SAT,06,00,1,0,807,구리역,827,모란역,811,천호역,"[21, 19, 12, 14, 17, 8]",토요일
8호선,강동구청역,812,SAT,06,10,1,0,807,구리역,827,모란역,811,천호역,"[52, 31, 34, 23, 33, 13]",토요일
8호선,강동구청역,812,SAT,06,20,1,0,807,구리역,827,모란역,811,천호역,"[32, 28, 31, 37, 42, 22]",토요일
8호선,강동구청역,812,SAT,06,30,1,0,807,구리역,827,모란역,811,천호역,"[35, 30, 32, 36, 42, 18]",토요일
8호선,강동구청역,812,SAT,06,40,1,0,807,구리역,827,모란역,811,천호역,"[44, 40, 34, 33, 27, 15]",토요일
8호선,강동구청역,812,SAT,06,50,1,0,807,구리역,827,모란역,811,천호역,"[35, 37, 37, 28, 30, 24]",토요일
8호선,강동구청역,812,SAT,06,00,0,0,817,가락시장역,804,별내역,813,몽촌토성역,"[3, 10, 6, 5, 3, 2]",토요일
8호선,강동구청역,812,SAT,06,10,0,0,817,가락시장역,804,별내역,813,몽촌토성역,"[8, 21, 16, 13, 13, 7]",토요일
8호선,강동구청역,812,SAT,06,20,0,0,817,가락시장역,804,별내역,813,몽촌토성역,"[13, 18, 17, 14, 11, 7]",토요일
8호선,강동구청역,812,SAT,06,30,0,0,817,가락시장역,804,별내역,813,몽촌토성역,"[23, 26, 17, 15, 11, 9]",토요일
8호선,강동구청역,812,SAT,06,40,0,0,817,가락시장역,804,별내역,813,몽촌토성역,"[12, 19, 20, 9, 10, 8]",토요일
8호선,강동구청역,812,SAT,06,50,0,0,817,가락시장역,804,별내역,813,몽촌토성역,"[23, 25, 18, 17, 9, 5]",토요일
8호선,강동구청역,812,SAT,06,00,1,0,810,암사역,827,모란역,811,천호역,"[51, 44, 29, 33, 41, 19]",토요일
8호선,강동구청역,812,SAT,06,10,1,0,810,암사역,827,모란역,811,천호역,"[52, 31, 34, 23, 33, 13]",토요일
8호선,강동구청역,812,SAT,06,20,1,0,810,암사역,827,모란역,811,천호역,"[32, 28, 31, 37, 42, 22]",토요일
8호선,강동구청역,812,SAT,06,30,1,0,810,암사역,827,모란역,811,천호역,"[35, 30, 32, 36, 42, 18]",토요일
8호선,강동구청역,812,SAT,06,40,1,0,810,암사역,827,모란역,811,천호역,"[44, 40, 34, 33, 27, 15]",토요일
8호선,강동구청역,812,SAT,06,50,1,0,810,암사역,827,모란역,811,천호역,"[35, 37, 37, 28, 30, 24]",토요일
8호선,강동구청역,812,SAT,06,00,0,0,827,모란역,810,암사역,813,몽촌토성역,"[8, 25, 15, 11, 7, 6]",토요일
8호선,강동구청역,812,SAT,06,10,0,0,827,모란역,810,암사역,813,몽촌토성역,"[8, 21, 16, 13, 13, 7]",토요일
8호선,강동구청역,812,SAT,06,20,0,0,827,모란역,810,암사역,813,몽촌토성역,"[13, 18, 17, 14, 11, 7]",토요일
8호선,강동구청역,812,SAT,06,30,0,0,827,모란역,810,암사역,813,몽촌토성역,"[23, 26, 17, 15, 11, 9]",토요일
8호선,강동구청역,812,SAT,06,40,0,0,827,모란역,810,암사역,813,몽촌토성역,"[12, 19, 20, 9, 10, 8]",토요일
8호선,강동구청역,812,SAT,06,50,0,0,827,모란역,810,암사역,813,몽촌토성역,"[23, 25, 18, 17, 9, 5]",토요일
8호선,강동구청역,812,SAT,06,00,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[8, 25, 15, 11, 7, 6]",토요일
8호선,강동구청역,812,SAT,06,10,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[8, 21, 16, 13, 13, 7]",토요일
8호선,강동구청역,812,SAT,06,20,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[13, 18, 17, 14, 11, 7]",토요일
8호선,강동구청역,812,SAT,06,30,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[23, 26, 17, 15, 11, 9]",토요일
8호선,강동구청역,812,SAT,06,40,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[12, 19, 20, 9, 10, 8]",토요일
8호선,강동구청역,812,SAT,06,50,0,0,814,잠실역,804,별내역,813,몽촌토성역,"[23, 25, 18, 17, 9, 5]",토요일
8호선,강동구청역,812,SAT,06,00,0,0,827,모란역,804,별내역,813,몽촌토성역,"[8, 25, 15, 11, 7, 6]",토요일
8호선,강동구청역,812,SAT,06,10,0,0,827,모란역,804,별내역,813,몽촌토성역,"[8, 21, 16, 13, 13, 7]",토요일
8호선,강동구청역,812,SAT,06,20,0,0,827,모란역,804,별내역,813,몽촌토성역,"[13, 18, 17, 14, 11, 7]",토요일
8호선,강동구청역,812,SAT,06,30,0,0,827,모란역,804,별내역,813,몽촌토성역,"[23, 26, 17, 15, 11, 9]",토요일
8호선,강동구청역,812,SAT,06,40,0,0,827,모란역,804,별내역,813,몽촌토성역,"[12, 19, 20, 9, 10, 8]",토요일
8호선,강동구청역,812,SAT,06,50,0,0,827,모란역,804,별내역,813,몽촌토성역,"[23, 25, 18, 17, 9, 5]",토요일
8호선,강동구청역,812,SAT,06,00,1,0,804,별내역,827,모란역,811,천호역,"[51, 44, 29, 33, 41, 19]",토요일
8호선,강동구청역,812,SAT,06,10,1,0,804,별내역,827,모란역,811,천호역,"[52, 31, 34, 23, 33, 13]",토요일
8호선,강동구청역,812,SAT,06,20,1,0,804,별내역,827,모란역,811,천호역,"[32, 28, 31, 37, 42, 22]",토요일
8호선,강동구청역,812,SAT,06,30,1,0,804,별내역,827,모란역,811,천호역,"[35, 30, 32, 36, 42, 18]",토요일
8호선,강동구청역,812,SAT,06,40,1,0,804,별내역,827,모란역,811,천호역,"[44, 40, 34, 33, 27, 15]",토요일
8호선,강동구청역,812,SAT,06,50,1,0,804,별내역,827,모란역,811,천호역,"[35, 37, 37, 28, 30, 24]",토요일
8호선,강동구청역,812,SAT,06,00,1,0,804,별내역,817,가락시장역,811,천호역,"[51, 44, 29, 33, 41, 19]",토요일
8호선,강동구청역,812,SAT,06,10,1,0,804,별내역,817,가락시장역,811,천호역,"[52, 31, 34, 23, 33, 13]",토요일
8호선,강동구청역,812,SAT,06,20,1,0,804,별내역,817,가락시장역,811,천호역,"[32, 28, 31, 37, 42, 22]",토요일
8호선,강동구청역,812,SAT,06,30,1,0,804,별내역,817,가락시장역,811,천호역,"[35, 30, 32, 36, 42, 18]",토요일
8호선,강동구청역,812,SAT,06,40,1,0,804,별내역,817,가락시장역,811,천호역,"[44, 40, 34, 33, 27, 15]",토요일
8호선,강동구청역,812,SAT,06,50,1,0,804,별내역,817,가락시장역,811,천호역,"[35, 37, 37, 28, 30, 24]",토요일
8호선,몽촌토성역,813,SAT,06,00,1,0,807,구리역,827,모란역,812,강동구청역,"[24, 19, 13, 14, 18, 9]",토요일
8호선,몽촌토성역,813,SAT,06,10,1,0,807,구리역,827,모란역,812,강동구청역,"[61, 36, 37, 25, 37, 14]",토요일
8호선,몽촌토성역,813,SAT,06,20,1,0,807,구리역,827,모란역,812,강동구청역,"[44, 24, 33, 49, 56, 23]",토요일
8호선,몽촌토성역,813,SAT,06,30,1,0,807,구리역,827,모란역,812,강동구청역,"[34, 38, 34, 33, 37, 23]",토요일
