호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
4호선,미아사거리역,416,SAT,06,40,1,0,405,진접역,433,사당역,415,미아역,"[26, 27, 28, 26, 31, 40, 40, 28, 39, 35]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,405,진접역,433,사당역,415,미아역,"[24, 26, 24, 24, 23, 40, 41, 37, 25, 26]",토요일
4호선,미아사거리역,416,SAT,06,00,1,0,409,불암산역,444,산본역,415,미아역,"[14, 22, 25, 22, 27, 27, 33, 27, 29, 23]",토요일
4호선,미아사거리역,416,SAT,06,10,1,0,409,불암산역,444,산본역,415,미아역,"[16, 17, 17, 24, 27, 29, 36, 29, 17, 29]",토요일
4호선,미아사거리역,416,SAT,06,20,1,0,409,불암산역,444,산본역,415,미아역,"[18, 14, 18, 17, 24, 33, 20, 21, 26, 28]",토요일
4호선,미아사거리역,416,SAT,06,30,1,0,409,불암산역,444,산본역,415,미아역,"[16, 20, 20, 21, 22, 19, 22, 17, 21, 23]",토요일
4호선,미아사거리역,416,SAT,06,40,1,0,409,불암산역,444,산본역,415,미아역,"[19, 21, 21, 19, 23, 30, 30, 21, 29, 26]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,409,불암산역,444,산본역,415,미아역,"[20, 21, 20, 20, 19, 33, 34, 31, 21, 21]",토요일
4호선,미아사거리역,416,SAT,06,00,0,0,453,안산역,409,불암산역,417,길음역,"[7, 8, 18, 20, 14, 10, 19, 13, 7, 13]",토요일
4호선,미아사거리역,416,SAT,06,10,0,0,453,안산역,409,불암산역,417,길음역,"[11, 15, 17, 16, 14, 14, 15, 15, 12, 10]",토요일
4호선,미아사거리역,416,SAT,06,20,0,0,453,안산역,409,불암산역,417,길음역,"[2, 6, 7, 8, 3, 6, 6, 7, 4, 3]",토요일
4호선,미아사거리역,416,SAT,06,30,0,0,453,안산역,409,불암산역,417,길음역,"[6, 9, 9, 11, 10, 4, 17, 17, 2, 5]",토요일
4호선,미아사거리역,416,SAT,06,40,0,0,453,안산역,409,불암산역,417,길음역,"[2, 15, 9, 8, 13, 14, 10, 9, 5, 4]",토요일
4호선,미아사거리역,416,SAT,06,50,0,0,453,안산역,409,불암산역,417,길음역,"[6, 9, 10, 9, 8, 8, 9, 9, 7, 6]",토요일
4호선,미아사거리역,416,SAT,06,00,1,0,409,불암산역,453,안산역,415,미아역,"[5, 8, 9, 8, 10, 10, 12, 10, 11, 8]",토요일
4호선,미아사거리역,416,SAT,06,10,1,0,409,불암산역,453,안산역,415,미아역,"[13, 14, 14, 20, 22, 24, 30, 24, 14, 24]",토요일
4호선,미아사거리역,416,SAT,06,20,1,0,409,불암산역,453,안산역,415,미아역,"[16, 13, 16, 16, 22, 30, 19, 20, 24, 25]",토요일
4호선,미아사거리역,416,SAT,06,30,1,0,409,불암산역,453,안산역,415,미아역,"[16, 20, 20, 21, 22, 19, 22, 17, 21, 23]",토요일
4호선,미아사거리역,416,SAT,06,40,1,0,409,불암산역,453,안산역,415,미아역,"[7, 8, 8, 7, 9, 11, 11, 8, 11, 10]",토요일
4호선,미아사거리역,416,SAT,06,50,1,0,409,불암산역,453,안산역,415,미아역,"[20, 21, 20, 20, 19, 33, 34, 31, 21, 21]",토요일
4호선,미아사거리역,416,SAT,06,00,0,0,444,산본역,409,불암산역,417,길음역,"[7, 8, 18, 20, 14, 10, 19, 13, 7, 13]",토요일
4호선,미아사거리역,416,SAT,06,10,0,0,444,산본역,409,불암산역,417,길음역,"[6, 9, 10, 9, 8, 8, 9, 9, 7, 6]",토요일
4호선,미아사거리역,416,SAT,06,20,0,0,444,산본역,409,불암산역,417,길음역,"[5, 18, 23, 24, 11, 18, 18, 22, 12, 9]",토요일
4호선,미아사거리역,416,SAT,06,30,0,0,444,산본역,409,불암산역,417,길음역,"[11, 16, 16, 20, 19, 8, 30, 30, 3, 9]",토요일
4호선,미아사거리역,416,SAT,06,40,0,0,444,산본역,409,불암산역,417,길음역,"[2, 14, 8, 8, 12, 12, 9, 8, 4, 3]",토요일
4호선,미아사거리역,416,SAT,06,50,0,0,444,산본역,409,불암산역,417,길음역,"[6, 9, 10, 9, 8, 8, 9, 9, 7, 6]",토요일
4호선,미아사거리역,416,SAT,06,00,0,0,426,서울역,409,불암산역,417,길음역,"[7, 9, 20, 22, 15, 11, 21, 14, 7, 14]",토요일
4호선,미아사거리역,416,SAT,06,10,0,0,426,서울역,409,불암산역,417,길음역,"[5, 8, 8, 8, 7, 7, 8, 8, 6, 5]",토요일
4호선,미아사거리역,416,SAT,06,20,0,0,426,서울역,409,불암산역,417,길음역,"[5, 17, 22, 23, 10, 17, 17, 20, 11, 9]",토요일
