호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
8호선,천호역,811,MON,06,00,0,0,827,모란역,810,암사역,812,강동구청역,"[21, 20, 13, 9, 6, 4]",월요일
8호선,천호역,811,MON,06,10,0,0,827,모란역,810,암사역,812,강동구청역,"[13, 18, 8, 10, 6, 6]",월요일
8호선,천호역,811,MON,06,20,0,0,827,모란역,810,암사역,812,강동구청역,"[13, 19, 19, 10, 9, 7]",월요일
8호선,천호역,811,MON,06,30,0,0,827,모란역,810,암사역,812,강동구청역,"[15, 15, 11, 9, 7, 4]",월요일
8호선,천호역,811,MON,06,40,0,0,827,모란역,810,암사역,812,강동구청역,"[15, 18, 10, 7, 6, 4]",월요일
8호선,천호역,811,MON,06,50,0,0,827,모란역,810,암사역,812,강동구청역,"[19, 26, 17, 10, 7, 5]",월요일
8호선,강동구청역,812,MON,06,00,1,0,804,별내역,827,모란역,811,천호역,"[72, 86, 87, 54, 68, 40]",월요일
8호선,강동구청역,812,MON,06,10,1,0,804,별내역,827,모란역,811,천호역,"[78, 78, 55, 56, 65, 52]",월요일
8호선,강동구청역,812,MON,06,20,1,0,804,별내역,827,모란역,811,천호역,"[88, 79, 62, 80, 68, 55]",월요일
8호선,강동구청역,812,MON,06,30,1,0,804,별내역,827,모란역,811,천호역,"[96, 108, 76, 92, 123, 56]",월요일
8호선,강동구청역,812,MON,06,40,1,0,804,별내역,827,모란역,811,천호역,"[114, 137, 101, 115, 97, 72]",월요일
8호선,강동구청역,812,MON,06,50,1,0,804,별내역,827,모란역,811,천호역,"[87, 106, 100, 111, 86, 86]",월요일
8호선,강동구청역,812,MON,06,00,1,0,810,암사역,827,모란역,811,천호역,"[72, 86, 87, 54, 68, 40]",월요일
8호선,강동구청역,812,MON,06,10,1,0,810,암사역,827,모란역,811,천호역,"[78, 78, 55, 56, 65, 52]",월요일
8호선,강동구청역,812,MON,06,20,1,0,810,암사역,827,모란역,811,천호역,"[88, 79, 62, 80, 68, 55]",월요일
