연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
41.0,평일,2,201,시청,상행,10.4,27.7,55.4,94.0,49.6,36.4,37.4,42.0,39.8,37.9,41.6,47.4,54.0,61.1,31.0,24.8,38.2,41.5,30.2,9.0
42.0,평일,2,201,시청,하행,5.2,16.0,34.0,38.1,26.2,27.8,34.2,33.8,37.7,38.4,44.9,50.1,73.4,107.9,60.8,57.8,47.2,60.0,27.4,11.0
39.0,평일,2,202,을지로입구,상행,6.9,22.0,39.9,66.0,39.5,31.1,35.5,38.9,41.4,39.7,45.4,50.8,64.0,78.8,38.2,31.8,44.6,45.8,36.4,9.4
40.0,평일,2,202,을지로입구,하행,5.1,19.3,40.0,51.8,30.0,28.1,33.0,34.3,35.6,36.6,41.9,46.6,67.4,94.8,52.4,54.0,42.6,55.3,25.8,10.6
37.0,평일,2,203,을지로3가,상행,7.0,21.4,37.0,56.5,36.2,30.1,34.2,38.0,39.6,38.5,44.0,50.2,67.6,77.6,39.3,30.1,46.4,45.5,36.5,9.2
38.0,평일,2,203,을지로3가,하행,7.6,23.2,53.2,75.7,39.1,32.4,35.1,35.3,36.7,36.0,39.6,43.6,58.1,78.6,43.8,42.3,36.8,44.3,21.0,8.6
35.0,평일,2,204,을지로4가,상행,7.0,20.5,33.8,54.2,35.5,29.8,34.6,38.4,41.0,40.0,47.0,54.4,73.8,84.8,42.8,31.5,48.0,47.7,37.1,10.7
36.0,평일,2,204,을지로4가,하행,7.9,25.6,62.8,79.9,40.2,30.6,33.6,33.6,34.4,33.0,36.6,41.2,51.6,68.4,39.7,40.3,33.7,40.0,18.9,7.8
33.0,평일,2,205,동대문역사문화공원,상행,10.4,27.3,45.2,71.3,45.0,35.9,41.0,44.4,47.8,45.6,51.5,59.0,80.0,84.0,41.0,30.5,44.5,43.9,33.2,10.0
34.0,평일,2,205,동대문역사문화공원,하행,7.8,26.5,72.7,85.9,43.2,31.8,34.6,36.2,34.8,34.4,38.1,41.2,50.0,66.8,38.7,40.1,33.8,40.2,19.2,7.2
31.0,평일,2,206,신당,상행,9.6,29.4,46.8,78.3,48.4,37.0,41.1,46.4,47.7,46.4,53.0,60.8,79.6,79.4,40.0,28.6,40.8,42.7,32.7,11.1
32.0,평일,2,206,신당,하행,9.6,23.6,67.9,81.9,43.2,34.3,37.4,39.2,38.7,39.1,44.9,46.5,56.9,81.0,49.2,51.4,43.4,47.8,22.8,8.1
29.0,평일,2,207,상왕십리,상행,10.9,30.3,48.8,80.9,49.3,37.1,41.2,46.8,47.6,46.1,52.4,59.8,77.8,77.8,38.6,27.5,39.1,40.6,30.5,10.3
30.0,평일,2,207,상왕십리,하행,8.4,22.7,62.9,79.3,42.5,34.2,37.7,39.4,37.8,39.7,46.7,47.6,60.0,85.2,51.3,53.4,44.8,47.0,23.6,7.7
27.0,평일,2,208,왕십리,상행,9.3,24.4,38.8,75.2,44.1,34.0,35.4,39.0,39.0,37.8,38.5,41.6,51.6,51.9,25.3,17.9,24.2,26.6,21.2,7.6
28.0,평일,2,208,왕십리,하행,7.4,21.4,58.7,73.4,41.0,33.2,36.7,38.8,37.4,39.8,47.0,48.0,61.1,84.6,53.5,53.4,47.4,46.5,23.8,8.3
25.0,평일,2,209,한양대,상행,9.2,23.2,36.2,65.3,38.4,24.6,32.7,33.1,34.9,35.7,40.0,43.6,54.5,53.5,26.2,17.9,25.6,26.8,21.1,7.4
26.0,평일,2,209,한양대,하행,5.4,13.2,38.6,42.6,27.8,21.6,26.2,29.1,29.0,31.6,39.2,40.2,51.6,74.3,44.0,48.4,41.7,38.4,18.5,6.4
23.0,평일,2,210,뚝섬,상행,8.5,20.6,31.2,52.8,30.3,21.2,29.6,31.0,32.8,34.4,39.4,43.0,56.1,58.5,27.8,19.7,28.0,28.3,21.7,7.6
24.0,평일,2,210,뚝섬,하행,4.4,14.7,38.4,44.2,30.8,24.8,25.8,30.0,27.9,28.8,34.8,34.3,46.2,68.9,40.6,44.2,37.9,33.0,17.5,5.7
107.0,평일,2,211,성수,상행,4.1,12.4,20.7,39.4,26.7,21.2,25.6,27.8,31.0,32.6,38.3,40.4,47.8,69.0,38.0,30.9,42.0,35.6,23.4,15.4
108.0,평일,2,211,성수,하행,4.0,17.0,39.4,49.6,35.7,25.9,26.8,29.8,27.4,27.7,32.6,31.6,40.7,58.0,35.4,38.6,33.0,29.8,16.3,5.6
105.0,평일,2,212,건대입구,상행,5.3,17.2,28.0,54.3,34.4,23.6,27.0,28.2,30.6,30.8,35.4,36.6,41.0,52.6,30.6,25.6,34.2,30.6,20.0,14.9
106.0,평일,2,212,건대입구,하행,14.2,27.4,52.6,65.8,37.0,24.2,30.5,32.4,29.5,28.5,33.0,37.6,44.7,48.2,29.0,26.3,30.0,28.3,15.3,4.8
103.0,평일,2,213,구의,상행,7.0,16.2,30.2,58.8,39.0,23.9,28.0,27.0,29.6,29.6,33.6,34.8,38.3,48.4,25.9,23.0,30.0,26.6,17.4,12.1
104.0,평일,2,213,구의,하행,12.1,22.2,45.2,49.8,31.4,21.0,27.8,29.9,27.4,27.4,34.1,39.3,48.3,59.8,35.0,30.6,36.4,31.2,15.6,5.1
101.0,평일,2,214,강변,상행,8.6,18.2,36.2,66.4,46.2,26.8,29.0,28.0,29.3,28.4,32.4,32.0,38.2,43.9,24.8,21.6,26.6,24.2,16.4,11.4
102.0,평일,2,214,강변,하행,8.0,21.2,38.2,41.8,27.4,19.5,26.0,28.0,26.0,26.8,34.2,38.4,48.2,62.5,37.4,33.6,40.2,31.9,16.8,6.1
99.0,평일,2,215,잠실나루,상행,8.6,17.6,34.8,67.3,46.6,27.3,29.7,28.1,29.3,29.0,33.3,33.6,38.7,42.3,23.2,21.0,25.3,23.1,15.2,10.2
100.0,평일,2,215,잠실나루,하행,9.0,19.2,32.6,36.5,24.5,17.6,23.9,26.9,26.0,27.2,35.4,41.2,51.6,67.0,39.8,36.0,43.0,35.5,18.6,6.2
97.0,평일,2,216,잠실,상행,11.8,24.2,51.4,90.5,59.6,35.1,30.8,31.0,32.4,31.6,34.0,36.0,41.4,42.2,23.3,22.8,27.8,20.5,11.6,7.2
98.0,평일,2,216,잠실,하행,8.7,19.5,31.8,34.4,23.4,18.0,22.2,26.8,26.4,27.0,35.2,40.8,50.6,67.4,40.2,39.2,44.7,37.0,19.6,6.6
95.0,평일,2,217,잠실새내,상행,12.5,25.4,54.9,95.1,62.6,35.8,30.8,30.0,31.6,29.8,32.2,34.2,37.8,37.6,22.1,21.0,26.0,19.2,10.6,6.0
96.0,평일,2,217,잠실새내,하행,6.6,19.2,27.0,31.8,24.2,19.0,24.0,28.6,28.2,31.0,41.4,48.6,62.6,86.2,53.4,42.1,53.8,49.7,28.0,9.3
93.0,평일,2,218,종합운동장,상행,14.8,24.0,54.6,97.6,66.4,38.0,30.8,31.4,32.0,29.2,32.6,34.1,37.7,36.5,21.2,20.5,25.0,19.6,10.6,5.7
94.0,평일,2,218,종합운동장,하행,5.3,17.4,22.9,27.2,21.6,18.2,23.6,27.0,28.7,31.1,42.1,49.6,65.0,88.6,55.5,42.2,54.4,50.8,27.4,9.8
91.0,평일,2,219,삼성,상행,9.8,20.6,45.7,76.6,55.0,32.7,29.4,31.7,33.8,33.6,41.0,47.4,58.1,59.7,34.8,30.8,37.8,28.4,13.9,6.9
