연번,평일/주말,호선,역변호,출발역,상하구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,
245,,4,433,사당,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,4,433,사당,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,4,434,남태령,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,4,434,남태령,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,5,2511,방화,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,5,2511,방화,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,5,2512,개화산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,5,2512,개화산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,5,2513,김포공항,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,5,2513,김포공항,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,5,2514,송정,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,5,2514,송정,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,5,2515,마곡,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,5,2515,마곡,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,5,2516,발산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,5,2516,발산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,5,2517,우장산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,5,2517,우장산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,5,2518,화곡,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,5,2518,화곡,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,5,2519,까치산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,5,2519,까치산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,5,2520,신정,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,5,2520,신정,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,5,2521,목동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,5,2521,목동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,5,2522,오목교,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,5,2522,오목교,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,5,2523,양평,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,5,2523,양평,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,5,2524,영등포구청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,5,2524,영등포구청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,5,2525,영등포시장,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,5,2525,영등포시장,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,5,2526,신길,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,5,2526,신길,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,5,2527,여의도,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,5,2527,여의도,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,5,2528,여의나루,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,5,2528,여의나루,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,5,2529,마포,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,5,2529,마포,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,5,2530,공덕,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,5,2530,공덕,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,5,2531,애오개,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,5,2531,애오개,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,5,2532,충정로,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,5,2532,충정로,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,5,2533,서대문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,5,2533,서대문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,5,2534,광화문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,5,2534,광화문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,5,2535,종로3가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,5,2535,종로3가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,5,2536,을지로4가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,5,2536,을지로4가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,5,2537,동대문역사문화공원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,5,2537,동대문역사문화공원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,5,2538,청구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,5,2538,청구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,5,2539,신금호,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,5,2539,신금호,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,5,2540,행당,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,5,2540,행당,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,5,2541,왕십리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,5,2541,왕십리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,5,2542,마장,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,5,2542,마장,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,5,2543,답십리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,5,2543,답십리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,5,2544,장한평,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,5,2544,장한평,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,5,2545,군자,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,5,2545,군자,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,5,2546,아차산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,5,2546,아차산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,5,2547,광나루,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,5,2547,광나루,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,5,2548,천호,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,5,2548,천호,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,5,2549,강동(하남),상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,5,2549,강동(하남),하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,5,2550,길동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,5,2550,길동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,5,2551,굽은다리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,5,2551,굽은다리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,5,2552,명일,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,5,2552,명일,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,5,2553,고덕,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,5,2553,고덕,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,5,2554,상일동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,5,2554,상일동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,5,2555,둔촌동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,5,2555,둔촌동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,5,2556,올림픽공원(한국체대),상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,5,2556,올림픽공원(한국체대),하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,5,2557,방이,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,5,2557,방이,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,5,2558,오금,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,5,2558,오금,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,5,2559,개롱,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,5,2559,개롱,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,5,2560,거여,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,5,2560,거여,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,5,2561,마천,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,5,2561,마천,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,5,2562,강일,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,5,2562,강일,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,5,2563,미사,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,5,2563,미사,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,5,2564,하남풍산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,5,2564,하남풍산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,5,2565,하남시청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,5,2565,하남시청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,5,2566,하남검단산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,5,2566,하남검단산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,5,9005,강동(마천),상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,5,9005,강동(마천),하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,6,2611,응암,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,6,2611,응암,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,6,2612,역촌,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,6,2613,불광,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,6,2614,독바위,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,6,2615,연신내,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,6,2616,구산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,6,2617,새절,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,6,2617,새절,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,6,2618,증산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,6,2618,증산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,6,2619,디지털미디어시티,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,6,2619,디지털미디어시티,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,6,2620,월드컵경기장,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,6,2620,월드컵경기장,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,6,2621,마포구청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,6,2621,마포구청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,6,2622,망원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,6,2622,망원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,6,2623,합정,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,6,2623,합정,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,6,2624,상수,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,6,2624,상수,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,6,2625,광흥창,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,6,2625,광흥창,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,6,2626,대흥,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,6,2626,대흥,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,6,2627,공덕,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,6,2627,공덕,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,6,2628,효창공원앞,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,6,2628,효창공원앞,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,6,2629,삼각지,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,6,2629,삼각지,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,6,2630,녹사평,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,6,2630,녹사평,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,6,2631,이태원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,6,2631,이태원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,6,2632,한강진,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,6,2632,한강진,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,6,2633,버티고개,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,6,2633,버티고개,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,6,2634,약수,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,6,2634,약수,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,6,2635,청구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,6,2635,청구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,6,2636,신당,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,6,2636,신당,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,6,2637,동묘앞,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,6,2637,동묘앞,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,6,2638,창신,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,6,2638,창신,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,6,2639,보문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,6,2639,보문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,6,2640,안암,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,6,2640,안암,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,6,2641,고려대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,6,2641,고려대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,6,2642,월곡,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,6,2642,월곡,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,6,2643,상월곡,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,6,2643,상월곡,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,6,2644,돌곶이,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,6,2644,돌곶이,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,6,2645,석계,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,6,2645,석계,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,6,2646,태릉입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,6,2646,태릉입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,6,2647,화랑대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,6,2647,화랑대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,6,2648,봉화산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,6,2648,봉화산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,6,2649,신내,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,6,2649,신내,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,6,9006,응암S,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,7,2711,장암,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,7,2711,장암,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,7,2712,도봉산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,,7,2712,도봉산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,,7,2713,수락산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,7,2713,수락산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,7,2714,마들,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,,7,2714,마들,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,7,2715,노원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,7,2715,노원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,7,2716,중계,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,7,2716,중계,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,7,2717,하계,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,7,2717,하계,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,7,2718,공릉,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,7,2718,공릉,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,7,2719,태릉입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,7,2719,태릉입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,,7,2720,먹골,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,7,2720,먹골,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,7,2721,중화,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,7,2721,중화,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,,7,2722,상봉,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,7,2722,상봉,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,,7,2723,면목,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,7,2723,면목,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,7,2724,사가정,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,7,2724,사가정,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,7,2725,용마산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,,7,2725,용마산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,,7,2726,중곡,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,7,2726,중곡,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,,7,2727,군자,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,,7,2727,군자,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,,7,2728,어린이대공원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,,7,2728,어린이대공원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,,7,2729,건대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,7,2729,건대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,,7,2730,뚝섬유원지,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,,7,2730,뚝섬유원지,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,7,2731,청담,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,7,2731,청담,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,7,2732,강남구청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,,7,2732,강남구청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,,7,2733,학동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,7,2733,학동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,,7,2734,논현,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,,7,2734,논현,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,7,2735,반포,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,,7,2735,반포,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,7,2736,고속터미널,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,,7,2736,고속터미널,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,,7,2737,내방,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,,7,2737,내방,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,,7,2738,총신대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,,7,2738,총신대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,7,2739,남성,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,7,2739,남성,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
