연번,평일/주말,호선,역변호,출발역,상하구분,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,
48,,2,214,강변,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,2,215,잠실나루,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,2,215,잠실나루,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,2,216,잠실,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,2,216,잠실,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,2,217,잠실새내,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,2,217,잠실새내,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,2,218,종합운동장,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,2,218,종합운동장,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,2,219,삼성,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,2,219,삼성,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,2,220,선릉,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,2,220,선릉,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,2,221,역삼,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,2,221,역삼,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,2,222,강남,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,2,222,강남,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,2,223,교대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,2,223,교대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,2,224,서초,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,2,224,서초,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,2,225,방배,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,2,225,방배,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,2,226,사당,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,2,226,사당,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,2,227,낙성대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,2,227,낙성대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,2,228,서울대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,2,228,서울대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,2,229,봉천,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,2,229,봉천,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,2,230,신림,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,2,230,신림,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,2,231,신대방,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,2,231,신대방,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,2,232,구로디지털단지,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,2,232,구로디지털단지,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,2,233,대림,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,2,233,대림,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,2,234,신도림,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,2,234,신도림,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,2,235,문래,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,2,235,문래,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,2,236,영등포구청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,2,236,영등포구청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,2,237,당산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,2,237,당산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,2,238,합정,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,2,238,합정,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,2,239,홍대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,2,239,홍대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,2,240,신촌(지하),상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,2,240,신촌(지하),하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,2,241,이대,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,2,241,이대,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,2,242,아현,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,2,242,아현,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,2,243,충정로,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,2,243,충정로,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,2,244,용답,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,2,244,용답,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,2,245,신답,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,2,245,신답,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,2,246,신설동,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,2,246,신설동,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,2,247,도림천,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,2,247,도림천,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,2,248,양천구청,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,2,248,양천구청,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,2,249,신정네거리,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,2,249,신정네거리,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,2,250,용두,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,2,250,용두,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,2,260,까치산,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,2,260,까치산,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,2,9001,성수E,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,2,9001,성수E,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,2,9002,성수,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,2,9002,성수,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,2,9003,신도림,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,2,9003,신도림,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,3,309,지축,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,3,309,지축,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,3,310,구파발,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,3,310,구파발,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,3,311,연신내,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,3,311,연신내,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,3,312,불광,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,3,312,불광,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,3,313,녹번,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,3,313,녹번,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,3,314,홍제,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,3,314,홍제,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,3,315,무악재,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,3,315,무악재,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,3,316,독립문,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,3,316,독립문,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,3,317,경복궁,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,3,317,경복궁,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,3,318,안국,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,3,318,안국,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,3,319,종로3가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,3,319,종로3가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,3,320,을지로3가,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,3,320,을지로3가,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,3,321,충무로,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,3,321,충무로,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,3,322,동대입구,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,3,322,동대입구,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,3,323,약수,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,3,323,약수,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,3,324,금호,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,3,324,금호,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,3,325,옥수,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,3,325,옥수,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,3,326,압구정,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,3,326,압구정,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,3,327,신사,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,3,327,신사,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,3,328,잠원,상선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,3,328,잠원,하선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
