연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
517.0,평일,8,2810,암사역사공원,상행,1.1,3.0,4.4,8.4,6.7,7.1,7.8,9.0,11.1,13.2,16.8,23.0,31.8,48.6,36.0,26.6,29.9,33.7,23.4,11.5
536.0,평일,8,2810,암사역사공원,하행,11.4,32.0,57.1,68.2,39.4,20.8,17.6,17.9,16.2,12.8,13.0,15.7,16.7,13.6,6.5,5.4,5.8,5.6,4.4,1.8
518.0,평일,8,2811,암사,상행,1.6,3.6,5.8,9.4,7.5,8.2,9.2,10.8,13.2,16.0,20.1,28.3,37.6,56.3,41.4,31.6,36.6,40.6,27.8,10.6
537.0,평일,8,2811,암사,하행,16.2,47.7,79.2,87.2,56.6,31.0,27.0,27.6,25.0,20.2,20.2,22.8,24.5,20.4,10.2,8.8,8.9,8.5,5.8,2.5
519.0,평일,8,2812,천호,상행,2.2,5.3,8.1,16.3,12.3,12.8,14.8,17.6,20.7,24.8,33.0,43.4,53.8,80.6,60.4,45.0,52.0,57.6,39.7,15.1
538.0,평일,8,2812,천호,하행,19.6,66.8,109.2,136.9,92.9,46.0,40.6,42.4,38.8,33.7,34.9,43.2,49.0,44.0,23.0,18.2,20.6,20.2,14.4,4.9
520.0,평일,8,2813,강동구청,상행,5.1,10.6,19.2,32.7,26.1,24.4,27.0,29.9,34.8,38.6,53.1,65.1,82.8,123.5,83.1,67.7,75.2,80.0,49.2,19.0
539.0,평일,8,2813,강동구청,하행,22.3,71.9,115.4,140.4,96.9,48.5,42.5,43.8,40.2,34.8,35.3,44.2,50.8,46.8,22.8,18.6,20.6,20.1,13.6,5.1
521.0,평일,8,2814,몽촌토성,상행,4.7,10.6,21.6,36.4,26.2,24.3,26.7,31.6,36.4,39.6,55.2,68.6,88.6,130.2,87.9,72.2,80.0,86.2,53.8,20.6
540.0,평일,8,2814,몽촌토성,하행,22.0,68.2,116.0,144.0,97.2,49.4,43.2,44.9,41.2,36.4,37.0,46.8,55.5,51.6,24.2,19.3,21.2,21.8,14.4,5.0
522.0,평일,8,2815,잠실,상행,5.0,12.4,22.9,40.8,28.6,26.0,28.1,33.4,37.4,41.2,55.8,68.0,89.2,131.2,90.4,73.6,81.0,87.4,55.2,19.2
541.0,평일,8,2815,잠실,하행,16.2,52.2,82.8,102.8,72.6,37.8,37.8,41.8,42.6,43.2,49.4,62.9,83.9,94.0,51.5,41.1,47.6,54.2,34.8,11.0
523.0,평일,8,2816,석촌,상행,10.9,23.0,65.8,101.7,69.2,49.8,44.9,46.0,49.0,44.4,57.0,64.5,85.0,114.3,65.4,51.3,54.4,55.2,29.8,10.6
542.0,평일,8,2816,석촌,하행,15.4,49.0,83.4,108.0,70.2,37.0,38.0,43.3,43.4,44.3,51.8,65.5,89.7,103.5,62.2,45.0,53.4,60.9,39.3,11.5
524.0,평일,8,2817,송파,상행,13.0,27.0,76.6,114.6,81.6,55.7,47.8,49.2,52.0,46.2,58.8,66.6,86.9,115.6,63.8,49.4,52.2,49.7,26.8,9.9
543.0,평일,8,2817,송파,하행,15.8,48.5,78.8,107.2,70.4,37.2,37.7,41.7,42.0,42.1,48.8,62.2,84.2,95.2,56.6,42.1,48.4,56.0,39.6,12.4
525.0,평일,8,2818,가락시장,상행,12.1,25.4,69.6,103.4,71.6,52.2,45.6,46.4,49.5,46.0,56.6,66.4,86.6,115.0,63.8,49.2,52.2,50.0,26.8,7.2
544.0,평일,8,2818,가락시장,하행,13.0,37.5,66.8,91.4,67.6,34.0,33.0,36.9,37.8,37.8,44.6,56.2,80.2,93.4,55.2,40.3,45.0,54.6,38.6,11.2
526.0,평일,8,2819,문정,상행,19.0,26.3,77.2,111.1,72.5,48.6,42.3,43.3,45.4,41.4,49.2,59.6,78.8,100.2,52.2,43.4,44.4,40.4,22.3,6.1
545.0,평일,8,2819,문정,하행,10.8,31.2,46.2,48.2,40.9,24.7,26.7,30.6,31.8,31.6,40.2,49.8,79.8,95.0,53.4,37.6,42.7,50.1,35.6,12.6
527.0,평일,8,2820,장지,상행,16.0,25.9,76.2,117.6,72.8,44.4,35.8,37.3,37.2,33.0,39.1,48.2,52.6,61.6,37.0,31.6,31.3,28.9,16.8,5.0
546.0,평일,8,2820,장지,하행,9.8,25.6,40.2,40.6,33.5,21.2,20.6,25.6,26.3,27.0,34.8,43.5,69.9,84.0,46.0,34.0,38.4,44.5,31.3,10.4
528.0,평일,8,2821,복정,상행,14.2,20.9,63.2,102.9,63.2,38.2,30.7,32.2,31.1,27.4,31.6,40.3,43.2,50.3,30.8,25.6,24.5,27.0,16.1,4.8
547.0,평일,8,2821,복정,하행,3.6,12.2,16.6,21.1,19.0,10.4,11.0,15.0,17.2,16.6,22.6,29.7,46.4,61.9,37.2,25.8,28.2,34.7,26.4,10.1
530.0,평일,8,2822,산성,상행,11.8,17.3,47.9,67.4,39.8,21.2,17.0,19.5,18.0,14.9,17.0,20.8,19.6,20.0,10.5,9.6,9.7,9.2,4.6,2.0
549.0,평일,8,2822,산성,하행,4.2,9.9,15.6,16.6,16.5,9.0,8.9,12.2,14.0,12.2,18.4,23.2,33.8,43.6,27.4,18.5,19.6,24.0,19.8,7.7
531.0,평일,8,2823,남한산성입구,상행,10.1,14.8,41.8,56.4,32.9,17.2,14.8,17.4,16.1,13.6,16.4,19.8,18.4,19.5,10.2,9.8,9.9,9.6,4.5,1.5
550.0,평일,8,2823,남한산성입구,하행,5.6,9.9,17.3,15.1,9.7,7.1,8.3,10.0,10.8,10.6,14.6,19.0,25.6,31.8,19.5,12.2,12.8,15.6,12.3,6.4
532.0,평일,8,2824,단대오거리,상행,6.2,9.4,26.4,38.4,22.2,12.8,10.5,12.0,11.8,10.8,13.3,15.7,13.8,17.0,10.0,9.4,9.8,9.4,4.9,1.4
551.0,평일,8,2824,단대오거리,하행,6.9,9.0,17.5,15.1,8.8,7.0,7.8,9.0,9.3,9.2,10.3,13.6,16.2,17.0,9.4,6.2,6.7,7.8,6.1,3.2
533.0,평일,8,2825,신흥,상행,2.6,4.4,12.2,20.0,13.0,8.4,7.7,8.8,9.1,9.6,12.8,13.7,10.6,14.7,9.1,8.6,9.0,9.4,4.8,1.4
552.0,평일,8,2825,신흥,하행,7.0,9.0,18.0,16.5,9.0,6.8,7.2,8.1,8.0,7.6,8.2,10.5,12.2,11.6,5.8,3.8,4.0,4.5,3.6,1.9
534.0,평일,8,2826,수진,상행,1.6,2.6,6.9,13.4,9.0,6.6,6.5,7.8,8.6,8.7,12.2,12.6,9.8,14.6,9.3,8.4,8.6,9.7,4.9,1.2
553.0,평일,8,2826,수진,하행,9.4,11.2,19.0,17.3,10.5,7.0,7.3,8.3,7.9,7.0,7.8,10.4,10.8,8.6,3.0,2.4,2.4,2.5,1.4,0.5
535.0,평일,8,2827,모란,상행,0.8,1.4,3.4,9.0,6.8,5.7,5.9,7.4,8.2,8.4,11.8,11.6,9.6,15.0,9.6,9.0,8.6,9.4,5.6,0.9
529.0,평일,8,2828,남위례,상행,13.4,18.6,54.3,76.6,45.4,25.2,19.8,22.4,20.2,17.0,20.0,24.2,23.8,24.0,12.6,11.4,12.1,11.9,6.5,2.4
548.0,평일,8,2828,남위례,하행,3.4,9.8,14.0,16.6,16.4,9.4,9.6,13.2,14.9,14.0,20.5,27.4,40.3,53.7,34.6,22.8,24.8,29.6,23.5,8.9
1348.0,주말,8,2810,암사역사공원,상행,0.8,3.0,3.6,5.4,8.0,9.6,10.4,12.1,15.5,17.9,19.3,24.3,26.9,24.7,21.8,20.1,22.2,21.5,17.1,0.0
1367.0,주말,8,2810,암사역사공원,하행,5.0,9.2,12.0,22.6,27.2,28.4,29.6,32.1,27.6,24.6,23.0,21.9,20.1,14.0,9.8,8.0,7.4,5.2,2.7,0.0
1349.0,주말,8,2811,암사,상행,1.2,3.6,4.2,5.9,9.1,10.7,11.6,14.0,18.5,20.7,22.6,28.0,31.5,29.3,25.5,23.5,25.5,26.0,15.5,0.0
1368.0,주말,8,2811,암사,하행,7.7,15.2,18.8,33.7,41.8,43.7,43.2,45.8,42.1,37.0,32.8,31.2,28.9,20.4,15.2,12.1,10.8,7.9,4.4,0.0
1350.0,주말,8,2812,천호,상행,1.5,5.4,6.1,10.0,13.8,15.1,17.5,21.9,26.8,30.1,34.0,41.8,46.2,43.0,35.9,34.1,36.8,36.4,24.4,0.0
1369.0,주말,8,2812,천호,하행,9.8,24.2,25.5,46.1,56.7,58.8,59.7,62.4,63.3,55.4,55.1,56.0,52.8,41.6,30.5,27.0,21.4,18.3,11.0,0.0
