연번,호선,역번호,역명,평일주말,구분,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
1,8,2805,별내,평일,하행,0,8007,,5:32:00,별내,모란
2,8,2805,별내,평일,하행,0,8009,,5:43:00,별내,모란
3,8,2805,별내,평일,하행,0,8011,,5:54:00,별내,모란
4,8,2805,별내,평일,하행,0,8013,,6:05:00,별내,모란
5,8,2805,별내,평일,하행,0,8015,,6:16:00,별내,모란
6,8,2805,별내,평일,하행,0,8017,,6:27:00,별내,모란
7,8,2805,별내,평일,하행,0,8019,,6:34:30,별내,모란
8,8,2805,별내,평일,하행,0,8021,,6:41:30,별내,모란
9,8,2805,별내,평일,하행,0,8023,,6:47:00,별내,모란
10,8,2805,별내,평일,하행,0,8025,,6:53:00,별내,모란
11,8,2805,별내,평일,하행,0,8027,,6:58:30,별내,모란
12,8,2805,별내,평일,하행,0,8029,,7:03:30,별내,모란
13,8,2805,별내,평일,하행,0,8031,,7:09:00,별내,모란
14,8,2805,별내,평일,하행,0,8033,,7:14:00,별내,모란
15,8,2805,별내,평일,하행,0,8035,,7:19:00,별내,모란
16,8,2805,별내,평일,하행,0,8037,,7:24:00,별내,모란
17,8,2805,별내,평일,하행,0,8039,,7:29:00,별내,모란
18,8,2805,별내,평일,하행,0,8041,,7:34:00,별내,모란
19,8,2805,별내,평일,하행,0,8043,,7:38:30,별내,모란
20,8,2805,별내,평일,하행,0,8045,,7:43:00,별내,모란
21,8,2805,별내,평일,하행,0,8047,,7:47:30,별내,모란
22,8,2805,별내,평일,하행,0,8049,,7:52:00,별내,모란
23,8,2805,별내,평일,하행,0,8051,,7:56:30,별내,모란
24,8,2805,별내,평일,하행,0,8053,,8:01:00,별내,모란
25,8,2805,별내,평일,하행,0,8055,,8:05:30,별내,모란
26,8,2805,별내,평일,하행,0,8057,,8:10:00,별내,모란
27,8,2805,별내,평일,하행,0,8059,,8:14:30,별내,모란
28,8,2805,별내,평일,하행,0,8061,,8:19:00,별내,모란
29,8,2805,별내,평일,하행,0,8063,,8:23:30,별내,모란
30,8,2805,별내,평일,하행,0,8065,,8:28:00,별내,모란
31,8,2805,별내,평일,하행,0,8067,,8:32:30,별내,모란
32,8,2805,별내,평일,하행,0,8069,,8:38:00,별내,모란
33,8,2805,별내,평일,하행,0,8071,,8:44:00,별내,모란
34,8,2805,별내,평일,하행,0,8073,,8:50:00,별내,모란
35,8,2805,별내,평일,하행,0,8075,,8:56:00,별내,모란
36,8,2805,별내,평일,하행,0,8077,,9:02:00,별내,모란
37,8,2805,별내,평일,하행,0,8079,,9:08:00,별내,모란
38,8,2805,별내,평일,하행,0,8081,,9:14:00,별내,모란
39,8,2805,별내,평일,하행,0,8083,,9:20:00,별내,모란
40,8,2805,별내,평일,하행,0,8085,,9:26:00,별내,모란
41,8,2805,별내,평일,하행,0,8087,,9:32:00,별내,모란
42,8,2805,별내,평일,하행,0,8089,,9:38:00,별내,모란
43,8,2805,별내,평일,하행,0,8091,,9:44:00,별내,모란
44,8,2805,별내,평일,하행,0,8093,,9:50:00,별내,모란
45,8,2805,별내,평일,하행,0,8095,,9:56:30,별내,모란
46,8,2805,별내,평일,하행,0,8097,,10:03:00,별내,모란
47,8,2805,별내,평일,하행,0,8099,,10:10:00,별내,모란
48,8,2805,별내,평일,하행,0,8101,,10:17:00,별내,모란
49,8,2805,별내,평일,하행,0,8103,,10:24:00,별내,모란
50,8,2805,별내,평일,하행,0,8105,,10:31:00,별내,모란
51,8,2805,별내,평일,하행,0,8107,,10:38:00,별내,모란
