호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
5호선,올림픽공원역,P550,MON,06,00,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[6, 7, 10, 10, 9, 10, 7, 4]",월요일
5호선,올림픽공원역,P550,MON,06,10,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[9, 9, 11, 11, 9, 8, 5, 2]",월요일
5호선,올림픽공원역,P550,MON,06,20,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[6, 7, 10, 11, 7, 7, 6, 1]",월요일
5호선,올림픽공원역,P550,MON,06,30,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[3, 22, 13, 13, 6, 10, 6, 6]",월요일
5호선,올림픽공원역,P550,MON,06,40,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[23, 28, 32, 34, 23, 13, 8, 7]",월요일
5호선,올림픽공원역,P550,MON,06,50,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[14, 18, 28, 27, 26, 25, 17, 13]",월요일
5호선,올림픽공원역,P550,MON,06,00,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[3, 4, 5, 5, 5, 5, 4, 2]",월요일
5호선,올림픽공원역,P550,MON,06,10,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[5, 4, 5, 5, 5, 4, 3, 1]",월요일
5호선,올림픽공원역,P550,MON,06,20,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[3, 3, 4, 5, 3, 3, 3, 1]",월요일
5호선,올림픽공원역,P550,MON,06,30,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[1, 7, 4, 4, 2, 3, 2, 2]",월요일
5호선,올림픽공원역,P550,MON,06,40,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[9, 11, 12, 13, 9, 5, 3, 3]",월요일
5호선,올림픽공원역,P550,MON,06,50,1,0,548,강동역,P555,마천역,P549,둔촌동역,"[4, 5, 8, 8, 7, 7, 5, 4]",월요일
5호선,올림픽공원역,P550,MON,06,00,0,0,P555,마천역,540,왕십리역,P551,방이역,"[12, 10, 18, 19, 15, 13, 9, 8]",월요일
5호선,올림픽공원역,P550,MON,06,10,0,0,P555,마천역,540,왕십리역,P551,방이역,"[14, 19, 16, 17, 18, 15, 12, 18]",월요일
5호선,올림픽공원역,P550,MON,06,20,0,0,P555,마천역,540,왕십리역,P551,방이역,"[18, 17, 11, 16, 21, 18, 26, 23]",월요일
