호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
5호선,올림픽공원역,P550,SAT,06,40,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[7, 8, 13, 13, 9, 9, 3, 3]",토요일
5호선,올림픽공원역,P550,SAT,06,50,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[6, 9, 8, 8, 6, 7, 3, 0]",토요일
5호선,올림픽공원역,P550,SAT,06,00,0,0,P555,마천역,510,방화역,P551,방이역,"[6, 8, 8, 9, 10, 8, 7, 8]",토요일
5호선,올림픽공원역,P550,SAT,06,10,0,0,P555,마천역,510,방화역,P551,방이역,"[5, 7, 12, 17, 15, 10, 5, 8]",토요일
5호선,올림픽공원역,P550,SAT,06,20,0,0,P555,마천역,510,방화역,P551,방이역,"[9, 7, 7, 6, 6, 7, 6, 8]",토요일
5호선,올림픽공원역,P550,SAT,06,30,0,0,P555,마천역,510,방화역,P551,방이역,"[5, 8, 7, 9, 11, 11, 6, 8]",토요일
5호선,올림픽공원역,P550,SAT,06,40,0,0,P555,마천역,510,방화역,P551,방이역,"[6, 8, 8, 9, 10, 8, 7, 8]",토요일
5호선,올림픽공원역,P550,SAT,06,50,0,0,P555,마천역,510,방화역,P551,방이역,"[6, 4, 9, 9, 8, 10, 6, 12]",토요일
5호선,올림픽공원역,P550,SAT,06,00,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[4, 5, 8, 8, 7, 7, 5, 3]",토요일
5호선,올림픽공원역,P550,SAT,06,10,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[5, 7, 16, 11, 8, 10, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,06,20,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[3, 4, 7, 7, 6, 6, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,06,30,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[5, 5, 29, 5, 5, 5, 14, 5]",토요일
5호선,올림픽공원역,P550,SAT,06,40,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[8, 9, 14, 15, 10, 10, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,06,50,1,0,517,화곡역,P555,마천역,P549,둔촌동역,"[9, 14, 12, 12, 10, 11, 5, 1]",토요일
5호선,올림픽공원역,P550,SAT,07,00,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[3, 4, 7, 7, 6, 6, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,07,10,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[7, 10, 13, 20, 11, 11, 6, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,20,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[5, 9, 14, 12, 12, 8, 9, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,30,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[7, 14, 15, 10, 11, 8, 4, 3]",토요일
5호선,올림픽공원역,P550,SAT,07,40,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[6, 9, 13, 13, 12, 12, 9, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,50,1,0,530,애오개역,P555,마천역,P549,둔촌동역,"[7, 9, 18, 14, 16, 13, 6, 6]",토요일
5호선,올림픽공원역,P550,SAT,07,00,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[5, 8, 12, 12, 11, 11, 8, 5]",토요일
5호선,올림픽공원역,P550,SAT,07,10,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[8, 11, 14, 22, 12, 12, 7, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,20,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[6, 10, 15, 14, 14, 9, 10, 2]",토요일
5호선,올림픽공원역,P550,SAT,07,30,1,0,510,방화역,P555,마천역,P549,둔촌동역,"[7, 14, 15, 10, 11, 8, 4, 3]",토요일
