호선,역명,역코드,요일,시간,분,상하행,직통여부,구간시작역코드,구간시작역,구간종료역코드,구간종료역,직전역코드,직전역,congestionCar,요일(한글)
4호선,미아사거리역,416,MON,06,40,1,0,409,불암산역,443,금정역,415,미아역,"[49, 47, 58, 51, 60, 62, 56, 52, 48, 66]",월요일
4호선,미아사거리역,416,MON,06,50,1,0,409,불암산역,443,금정역,415,미아역,"[53, 57, 64, 59, 74, 66, 74, 57, 53, 75]",월요일
4호선,미아사거리역,416,MON,06,00,0,0,426,서울역,405,진접역,417,길음역,"[8, 24, 46, 36, 30, 36, 68, 37, 26, 18]",월요일
4호선,미아사거리역,416,MON,06,10,0,0,426,서울역,405,진접역,417,길음역,"[13, 3, 20, 24, 11, 18, 24, 13, 16, 16]",월요일
4호선,미아사거리역,416,MON,06,20,0,0,426,서울역,405,진접역,417,길음역,"[7, 12, 19, 17, 10, 11, 18, 15, 8, 12]",월요일
4호선,미아사거리역,416,MON,06,30,0,0,426,서울역,405,진접역,417,길음역,"[7, 15, 13, 15, 8, 18, 21, 14, 14, 4]",월요일
4호선,미아사거리역,416,MON,06,40,0,0,426,서울역,405,진접역,417,길음역,"[5, 11, 14, 12, 11, 11, 15, 8, 11, 11]",월요일
4호선,미아사거리역,416,MON,06,50,0,0,426,서울역,405,진접역,417,길음역,"[5, 10, 9, 17, 12, 16, 21, 15, 12, 12]",월요일
4호선,미아사거리역,416,MON,06,00,0,0,444,산본역,409,불암산역,417,길음역,"[4, 10, 19, 15, 13, 15, 29, 16, 11, 8]",월요일
4호선,미아사거리역,416,MON,06,10,0,0,444,산본역,409,불암산역,417,길음역,"[12, 3, 18, 21, 9, 16, 21, 12, 14, 14]",월요일
4호선,미아사거리역,416,MON,06,20,0,0,444,산본역,409,불암산역,417,길음역,"[8, 13, 20, 19, 11, 12, 20, 17, 9, 13]",월요일
4호선,미아사거리역,416,MON,06,30,0,0,444,산본역,409,불암산역,417,길음역,"[8, 17, 14, 17, 9, 20, 23, 15, 15, 5]",월요일
4호선,미아사거리역,416,MON,06,40,0,0,444,산본역,409,불암산역,417,길음역,"[3, 7, 9, 8, 7, 7, 10, 5, 7, 7]",월요일
4호선,미아사거리역,416,MON,06,50,0,0,444,산본역,409,불암산역,417,길음역,"[5, 10, 9, 17, 12, 16, 21, 15, 12, 12]",월요일
4호선,미아사거리역,416,MON,06,00,0,0,433,사당역,405,진접역,417,길음역,"[5, 15, 29, 23, 19, 23, 43, 24, 17, 11]",월요일
4호선,미아사거리역,416,MON,06,10,0,0,433,사당역,405,진접역,417,길음역,"[10, 2, 15, 18, 8, 14, 18, 10, 12, 12]",월요일
4호선,미아사거리역,416,MON,06,20,0,0,433,사당역,405,진접역,417,길음역,"[7, 12, 19, 17, 10, 11, 18, 15, 8, 12]",월요일
4호선,미아사거리역,416,MON,06,30,0,0,433,사당역,405,진접역,417,길음역,"[7, 15, 13, 15, 8, 18, 21, 14, 14, 4]",월요일
4호선,미아사거리역,416,MON,06,40,0,0,433,사당역,405,진접역,417,길음역,"[4, 8, 10, 9, 8, 8, 11, 6, 8, 8]",월요일
4호선,미아사거리역,416,MON,06,50,0,0,433,사당역,405,진접역,417,길음역,"[7, 13, 12, 22, 16, 21, 28, 19, 15, 16]",월요일
4호선,미아사거리역,416,MON,06,00,1,0,411,노원역,456,오이도역,415,미아역,"[28, 36, 42, 32, 42, 39, 48, 43, 45, 43]",월요일
4호선,미아사거리역,416,MON,06,10,1,0,411,노원역,456,오이도역,415,미아역,"[34, 33, 34, 40, 39, 45, 48, 40, 42, 44]",월요일
4호선,미아사거리역,416,MON,06,20,1,0,411,노원역,456,오이도역,415,미아역,"[29, 38, 39, 38, 42, 48, 48, 45, 38, 44]",월요일
4호선,미아사거리역,416,MON,06,30,1,0,411,노원역,456,오이도역,415,미아역,"[54, 51, 42, 52, 56, 52, 58, 47, 47, 61]",월요일
4호선,미아사거리역,416,MON,06,40,1,0,411,노원역,456,오이도역,415,미아역,"[49, 47, 58, 51, 60, 62, 56, 52, 48, 66]",월요일
4호선,미아사거리역,416,MON,06,50,1,0,411,노원역,456,오이도역,415,미아역,"[53, 57, 64, 59, 74, 66, 74, 57, 53, 75]",월요일
4호선,미아사거리역,416,MON,06,00,1,0,409,불암산역,453,안산역,415,미아역,"[27, 34, 40, 31, 40, 38, 46, 41, 43, 41]",월요일
4호선,미아사거리역,416,MON,06,10,1,0,409,불암산역,453,안산역,415,미아역,"[34, 33, 34, 40, 39, 45, 48, 40, 42, 44]",월요일
4호선,미아사거리역,416,MON,06,20,1,0,409,불암산역,453,안산역,415,미아역,"[22, 28, 28, 28, 30, 35, 35, 33, 28, 32]",월요일
4호선,미아사거리역,416,MON,06,30,1,0,409,불암산역,453,안산역,415,미아역,"[63, 60, 50, 61, 65, 61, 68, 56, 55, 71]",월요일
4호선,미아사거리역,416,MON,06,40,1,0,409,불암산역,453,안산역,415,미아역,"[54, 53, 64, 57, 66, 69, 62, 58, 54, 73]",월요일
4호선,미아사거리역,416,MON,06,50,1,0,409,불암산역,453,안산역,415,미아역,"[61, 65, 73, 67, 84, 76, 84, 65, 60, 86]",월요일
4호선,미아사거리역,416,MON,06,00,1,0,412,창동역,433,사당역,415,미아역,"[11, 13, 16, 12, 16, 15, 18, 16, 17, 16]",월요일
4호선,미아사거리역,416,MON,06,10,1,0,412,창동역,433,사당역,415,미아역,"[26, 25, 26, 30, 29, 34, 36, 30, 31, 33]",월요일
4호선,미아사거리역,416,MON,06,20,1,0,412,창동역,433,사당역,415,미아역,"[22, 28, 28, 28, 30, 35, 35, 33, 28, 32]",월요일
4호선,미아사거리역,416,MON,06,30,1,0,412,창동역,433,사당역,415,미아역,"[40, 39, 32, 39, 42, 39, 44, 36, 35, 46]",월요일
4호선,미아사거리역,416,MON,06,40,1,0,412,창동역,433,사당역,415,미아역,"[32, 31, 38, 34, 39, 41, 37, 34, 32, 43]",월요일
4호선,미아사거리역,416,MON,06,50,1,0,412,창동역,433,사당역,415,미아역,"[45, 48, 53, 49, 62, 56, 62, 48, 44, 63]",월요일
4호선,미아사거리역,416,MON,06,00,0,0,434,남태령역,405,진접역,417,길음역,"[4, 11, 21, 17, 14, 17, 31, 17, 12, 8]",월요일
4호선,미아사거리역,416,MON,06,10,0,0,434,남태령역,405,진접역,417,길음역,"[13, 3, 19, 23, 10, 17, 23, 13, 15, 15]",월요일
4호선,미아사거리역,416,MON,06,20,0,0,434,남태령역,405,진접역,417,길음역,"[8, 13, 22, 20, 12, 13, 21, 18, 10, 13]",월요일
4호선,미아사거리역,416,MON,06,30,0,0,434,남태령역,405,진접역,417,길음역,"[4, 9, 8, 9, 5, 11, 13, 9, 9, 3]",월요일
4호선,미아사거리역,416,MON,06,40,0,0,434,남태령역,405,진접역,417,길음역,"[5, 11, 14, 12, 11, 11, 15, 8, 11, 11]",월요일
4호선,미아사거리역,416,MON,06,50,0,0,434,남태령역,405,진접역,417,길음역,"[5, 10, 9, 17, 12, 16, 21, 15, 12, 12]",월요일
4호선,미아사거리역,416,MON,06,00,1,0,412,창동역,456,오이도역,415,미아역,"[27, 34, 40, 31, 40, 38, 46, 41, 43, 41]",월요일
4호선,미아사거리역,416,MON,06,10,1,0,412,창동역,456,오이도역,415,미아역,"[34, 33, 34, 40, 39, 45, 48, 40, 42, 44]",월요일
