연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
1,주말,1,150,서울역,승차,86,111,157,306,333,416,579,737,696,674,837,796,839,658,579,479,510,445,101,
2,주말,1,150,서울역,하차,85,355,438,592,841,747,625,838,788,791,781,710,626,437,425,354,307,134,77,
3,주말,1,151,시청,승차,43,45,75,111,95,76,117,190,160,189,227,233,347,294,186,216,204,110,29,
4,주말,1,151,시청,하차,40,145,176,312,223,189,208,223,198,200,158,140,152,121,57,54,64,23,17,
5,주말,1,152,종각,승차,49,59,89,126,125,113,191,340,300,398,513,548,504,572,492,593,513,130,31,
6,주말,1,152,종각,하차,34,116,178,304,391,362,378,400,433,480,432,478,415,274,117,75,72,29,19,
7,주말,1,153,종로3가,승차,48,64,49,84,155,227,323,472,512,544,567,508,499,408,360,382,330,100,27,
8,주말,1,153,종로3가,하차,37,82,94,169,265,403,437,543,603,632,519,393,294,234,114,92,78,41,36,
9,주말,1,154,종로5가,승차,25,39,51,76,81,159,215,293,354,396,451,397,357,296,227,161,106,45,11,
10,주말,1,154,종로5가,하차,18,61,106,145,166,260,317,391,459,438,388,349,256,143,79,52,47,39,23,
11,주말,1,155,동대문,승차,65,68,89,123,178,177,231,286,317,391,375,416,404,266,192,224,128,75,27,
12,주말,1,155,동대문,하차,20,62,70,94,135,195,244,351,409,385,346,365,289,242,188,144,177,82,68,
13,주말,1,156,신설동,승차,79,88,99,139,167,200,221,256,269,285,288,314,323,206,141,143,112,56,23,
14,주말,1,156,신설동,하차,24,67,88,100,161,165,227,260,255,236,257,239,233,202,150,135,181,90,57,
15,주말,1,157,제기동,승차,80,82,101,121,194,256,348,449,500,569,506,467,316,221,118,125,94,53,15,
16,주말,1,157,제기동,하차,20,75,82,133,170,279,443,462,490,495,477,409,267,167,142,157,152,97,42,
17,주말,1,158,청량리(서울시립대입구),승차,97,101,139,202,266,354,431,550,620,732,744,660,546,337,228,216,179,76,21,
18,주말,1,158,청량리(서울시립대입구),하차,30,109,133,182,243,378,485,576,603,763,700,587,517,356,232,263,246,134,94,
19,주말,1,159,동묘앞,승차,21,35,47,53,88,137,245,303,407,573,736,633,444,217,125,87,74,40,16,
20,주말,1,159,동묘앞,하차,17,53,62,110,159,265,464,558,657,701,519,413,209,99,63,77,79,65,50,
