연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
1,주말,1,150,서울역,승차,470,286,397,786,1421,1459,2623,2851,3124,2304,3178,3610,3858,3376,3384,2537,3914,2660,917,112
2,주말,1,150,서울역,하차,278,880,859,964,1407,1622,1681,2070,2345,2606,2682,2743,3074,2492,2120,1798,1618,962,551,179
3,주말,1,151,시청,승차,204,105,112,162,288,396,431,581,652,697,727,921,955,1043,885,805,730,556,188,5
4,주말,1,151,시청,하차,73,203,314,483,669,611,668,731,689,784,629,523,483,392,287,257,189,157,122,32
5,주말,1,152,종각,승차,791,390,245,270,323,482,767,925,1006,1277,1533,1857,2032,1982,1796,1688,1724,1349,523,20
6,주말,1,152,종각,하차,61,184,254,676,1031,992,1084,1406,1670,1653,1453,1406,1265,1027,694,426,313,243,145,33
7,주말,1,153,종로3가,승차,417,303,139,194,346,541,822,1052,1160,1378,1738,1906,1948,1440,1340,1143,1087,752,281,5
8,주말,1,153,종로3가,하차,55,135,165,312,610,967,1275,1677,2098,1942,1507,1118,968,740,494,289,296,215,165,59
9,주말,1,154,종로5가,승차,54,63,81,110,207,372,482,738,841,871,929,1050,944,819,581,568,387,230,107,3
10,주말,1,154,종로5가,하차,18,76,127,277,460,590,780,1014,1027,942,836,758,666,538,294,246,221,176,108,24
11,주말,1,155,동대문,승차,136,136,165,293,412,648,645,862,1127,1288,1458,1373,1102,852,514,424,411,250,144,4
12,주말,1,155,동대문,하차,38,157,188,273,495,902,1265,1490,1405,1426,1179,968,806,728,626,547,506,403,288,78
13,주말,1,156,신설동,승차,126,122,141,257,408,491,545,660,644,693,765,754,670,490,283,242,201,170,43,1
14,주말,1,156,신설동,하차,36,122,140,188,282,499,482,574,608,588,552,489,511,428,379,397,474,407,298,47
15,주말,1,157,제기동,승차,267,136,124,242,330,453,570,737,933,1114,1292,1137,794,506,267,216,187,109,33,2
16,주말,1,157,제기동,하차,28,91,91,165,321,627,897,1012,1200,1041,946,746,537,426,318,322,300,252,197,50
17,주말,1,158,청량리(서울시립대입구),승차,258,209,291,469,819,875,923,1177,1398,1521,1738,2148,1646,1269,1081,984,753,519,178,2
18,주말,1,158,청량리(서울시립대입구),하차,75,238,275,409,568,883,1040,1542,1833,1896,1752,1419,1364,1147,843,834,654,724,430,84
19,주말,1,159,동묘앞,승차,36,58,69,90,157,341,508,746,947,1339,1615,1670,1360,590,251,138,130,87,37,2
20,주말,1,159,동묘앞,하차,39,99,134,221,343,712,1142,1369,1426,1534,1199,750,407,207,194,154,176,152,167,107
547,평일,1,150,서울역,승차,411,536,2297,3665,2103,2251,3164,3422,3217,2409,3799,4037,4924,9102,4883,3580,3606,1986,1094,188
548,평일,1,150,서울역,하차,356,2366,4852,9813,4784,2450,2227,2407,2435,2445,2622,2530,2676,2958,2418,1563,1243,1098,583,210
549,평일,1,151,시청,승차,74,120,265,328,366,512,665,701,844,1081,1283,1457,2277,5925,3258,2220,2147,1233,442,24
550,평일,1,151,시청,하차,186,876,3596,7506,3228,1192,1060,1044,952,987,861,734,703,696,436,321,246,139,97,25
551,평일,1,152,종각,승차,84,172,337,485,615,855,1355,1522,2037,2380,2645,3008,4274,10669,6323,4558,4927,3633,1440,93
552,평일,1,152,종각,하차,184,1238,5986,11466,7197,2721,2173,2265,2651,2094,1862,1653,1842,2473,1663,630,387,291,130,43
553,평일,1,153,종로3가,승차,165,112,258,373,471,843,1674,2034,2676,2780,3061,3374,3606,5084,3712,2308,2775,2178,803,90
554,평일,1,153,종로3가,하차,89,483,1417,4039,5008,3341,2970,2923,3073,2590,2154,1814,1605,2012,1327,420,277,237,167,72
555,평일,1,154,종로5가,승차,57,100,194,310,473,659,937,1378,1628,1905,2171,2124,2731,4706,2634,1644,1246,806,292,26
556,평일,1,154,종로5가,하차,116,512,1660,5150,3291,1815,1733,1996,1837,1687,1498,1158,1076,1010,678,382,247,180,129,34
557,평일,1,155,동대문,승차,241,303,526,811,735,672,658,712,876,942,967,949,1056,1057,841,486,483,403,240,19
558,평일,1,155,동대문,하차,56,200,411,887,916,780,909,1136,1110,1184,1110,985,989,1094,1275,876,720,594,527,122
559,평일,1,156,신설동,승차,269,378,823,1051,762,728,779,813,895,916,1030,1091,1267,2667,1192,646,601,366,174,19
560,평일,1,156,신설동,하차,66,297,1197,2917,1670,834,748,826,788,848,786,748,877,1023,902,586,578,482,355,74
561,평일,1,157,제기동,승차,142,311,901,1250,766,752,1062,1329,1684,2179,2297,2159,1779,1698,874,459,397,283,100,6
562,평일,1,157,제기동,하차,70,306,808,2071,1345,1360,1757,1989,2156,2152,1620,1128,838,970,878,520,426,430,246,49
563,평일,1,158,청량리(서울시립대입구),승차,483,758,1944,2455,1445,1209,1362,1793,1807,1964,2331,2533,2441,2062,1291,1023,727,487,236,16
564,평일,1,158,청량리(서울시립대입구),하차,101,467,857,1720,1554,1317,1707,1891,2534,2252,2023,1879,1798,2477,2124,1187,985,1120,631,220
565,평일,1,159,동묘앞,승차,97,122,226,310,277,264,416,441,613,838,946,1022,921,867,445,257,185,110,82,16
566,평일,1,159,동묘앞,하차,28,102,294,875,556,451,545,706,874,975,844,635,480,438,384,251,192,199,154,90
1093,평일,1,150,서울역,승차,417,491,1557,3135,1950,2190,2960,3050,3244,2488,3488,3942,4596,9372,5006,3417,3453,2080,1057,167
1094,평일,1,150,서울역,하차,303,1719,4452,10406,4863,2332,2373,2252,2390,2367,2514,2513,2476,3083,2344,1565,1334,1107,646,288
1095,평일,1,151,시청,승차,71,106,287,313,380,647,787,855,1052,1317,1527,1718,2334,5870,3318,2269,2376,1458,448,39
1096,평일,1,151,시청,하차,178,807,3465,8323,3155,1452,1441,1101,1259,1079,1006,860,788,809,569,313,236,169,88,26
1097,평일,1,152,종각,승차,102,171,329,518,547,871,1323,1638,2148,2436,2872,3304,4403,10413,6104,4581,5320,4168,1749,140
1098,평일,1,152,종각,하차,194,1058,5143,13622,6348,2838,2493,2346,2668,2135,1862,1655,1960,2838,2044,627,420,240,138,40
1099,평일,1,153,종로3가,승차,162,111,233,420,525,881,1701,2116,2633,2999,3189,3563,3637,5029,3844,2351,2796,2144,849,81
1100,평일,1,153,종로3가,하차,88,487,1423,4325,4564,3518,3055,3292,3177,2773,2324,1750,1721,2012,1407,436,349,223,156,77
1101,평일,1,154,종로5가,승차,79,119,212,346,457,708,1030,1412,1820,2102,2429,2317,2950,5410,3049,1808,1453,1062,423,39
1102,평일,1,154,종로5가,하차,132,550,1928,5842,3191,2308,2164,2093,2099,1889,1628,1412,1260,1201,711,406,262,190,131,34
1103,평일,1,155,동대문,승차,604,396,618,927,862,700,787,876,973,971,1059,1035,1124,1233,875,575,563,510,259,29
1104,평일,1,155,동대문,하차,84,244,480,1107,1154,926,1050,1190,1298,1138,1071,967,969,1034,1276,937,665,552,543,174
1105,평일,1,156,신설동,승차,326,412,842,1148,730,676,827,888,921,944,1001,1009,1502,2736,1278,763,727,503,165,23
1106,평일,1,156,신설동,하차,90,321,1100,3231,1668,868,785,754,801,821,775,776,948,1035,885,554,559,555,287,91
1107,평일,1,157,제기동,승차,146,318,947,1379,807,850,1104,1560,1879,2087,2414,2350,1889,1901,939,492,447,285,123,7
1108,평일,1,157,제기동,하차,88,319,775,2106,1304,1458,1972,2195,2501,2130,1671,1408,934,920,898,508,470,438,264,67
1109,평일,1,158,청량리(서울시립대입구),승차,475,693,1910,2716,1515,1223,1427,1722,1852,2140,2338,2638,2549,2187,1296,1095,787,521,261,18
1110,평일,1,158,청량리(서울시립대입구),하차,121,429,840,1782,1389,1487,1834,2115,2645,2442,2167,1906,1812,2485,2266,1276,1036,1239,736,230
1111,평일,1,159,동묘앞,승차,93,136,253,336,279,273,365,506,660,872,1071,1005,1031,831,506,266,191,137,75,11
1112,평일,1,159,동묘앞,하차,24,130,310,950,611,469,661,804,892,1066,843,656,470,395,334,211,221,193,144,87
1639,평일,1,150,서울역,승차,391,543,1582,2952,2071,2271,2928,3079,3026,2650,3463,3839,5209,9626,4832,3436,3240,2103,1111,185
1640,평일,1,150,서울역,하차,279,1667,4383,10135,5369,2502,2321,2472,2366,2455,2316,2617,2612,3342,2333,1469,1313,1248,671,269
1641,평일,1,151,시청,승차,79,116,268,343,386,492,743,785,1065,1265,1569,1706,2531,6365,3089,2080,2213,1414,570,30
1642,평일,1,151,시청,하차,165,752,3125,8243,3279,1544,1336,1220,1496,1190,1013,851,911,992,590,267,242,169,96,29
1643,평일,1,152,종각,승차,101,185,343,518,562,883,1419,1696,2335,2478,2904,3130,4542,10985,5972,4394,5456,4570,1986,193
1644,평일,1,152,종각,하차,199,1064,5216,13405,6574,3098,2594,2530,2694,2114,1839,1675,2153,3197,2302,724,464,260,186,50
1645,평일,1,153,종로3가,승차,204,135,254,416,462,912,1599,2129,2982,3077,3359,3713,3789,5190,3950,2485,3109,2600,982,109
1646,평일,1,153,종로3가,하차,94,495,1363,4234,4763,3506,3401,3395,3597,2858,2218,2029,1726,2485,1617,545,306,233,153,76
1647,평일,1,154,종로5가,승차,77,121,217,339,471,668,1070,1588,1766,2124,2413,2663,3118,5224,2899,1679,1510,1222,470,43
1648,평일,1,154,종로5가,하차,136,510,1843,5710,3629,2042,2321,2094,2310,1889,1714,1316,1165,1360,847,312,282,166,141,37
1649,평일,1,155,동대문,승차,642,412,613,940,847,710,753,922,1028,1148,1058,1048,1188,1175,783,664,590,477,282,51
1650,평일,1,155,동대문,하차,87,286,531,1150,1222,1073,1191,1247,1185,1200,1019,980,1029,1074,1312,910,672,591,557,177
1651,평일,1,156,신설동,승차,289,418,860,1199,788,671,814,868,954,947,1014,1043,1515,2813,1304,713,701,565,199,15
1652,평일,1,156,신설동,하차,86,284,1129,3264,1625,913,867,855,849,835,747,834,915,1035,1089,554,521,492,347,103
1653,평일,1,157,제기동,승차,150,321,955,1375,894,835,1245,1509,1874,2227,2480,2326,1900,1844,941,556,478,316,139,11
1654,평일,1,157,제기동,하차,79,347,778,2062,1375,1402,2121,2102,2361,2300,1868,1173,955,924,1116,507,457,460,328,62
1655,평일,1,158,청량리(서울시립대입구),승차,482,704,1865,2708,1547,1216,1440,1758,1955,2067,2314,2638,2461,2200,1331,1172,800,586,253,11
1656,평일,1,158,청량리(서울시립대입구),하차,115,459,766,1769,1357,1498,1908,2025,2471,2581,2264,1974,1905,2533,2448,1104,986,1250,785,240
1657,평일,1,159,동묘앞,승차,114,126,255,356,272,280,422,472,618,880,1020,1005,1023,876,493,264,215,161,86,7
1658,평일,1,159,동묘앞,하차,39,115,326,952,610,485,618,733,911,1006,810,657,465,376,343,261,197,199,152,118
2185,평일,1,150,서울역,승차,456,508,1548,3092,2250,2257,3273,3215,3204,2718,3795,3760,4941,9475,5018,3538,3806,2156,1200,170
2186,평일,1,150,서울역,하차,272,1836,4294,10716,4973,2539,2491,2527,2527,2503,2632,2540,2875,3211,2488,1665,1397,1210,684,311
2187,평일,1,151,시청,승차,85,111,269,292,464,558,748,853,1067,1186,1502,1687,2415,5818,3110,2296,2480,1668,633,58
2188,평일,1,151,시청,하차,184,796,3368,8156,3132,1632,1443,1231,1419,1122,946,895,848,1007,638,281,259,195,89,53
2189,평일,1,152,종각,승차,147,192,353,551,593,931,1396,1675,2303,2672,3043,3464,4543,10066,5949,4796,5654,4834,2243,200
2190,평일,1,152,종각,하차,191,1051,5234,13412,6695,3195,2757,2446,2794,2305,1659,1850,1948,3229,2276,687,432,315,170,66
2191,평일,1,153,종로3가,승차,187,147,251,437,535,872,1619,2191,2764,3128,3235,3628,4012,5107,4082,2522,2967,2555,968,124
2192,평일,1,153,종로3가,하차,86,485,1484,4219,4761,3757,3452,3349,3288,2879,2181,1989,1913,2303,1583,523,350,267,170,92
2193,평일,1,154,종로5가,승차,85,118,196,349,460,794,1160,1418,2102,2294,2491,2425,3258,5422,3020,1725,1563,1349,491,35
2194,평일,1,154,종로5가,하차,134,518,1739,5847,3652,2391,2345,2036,2384,2044,1549,1475,1245,1378,958,338,296,189,150,42
2195,평일,1,155,동대문,승차,609,431,565,970,883,684,683,924,1023,1067,1039,1029,1209,1176,881,716,596,524,308,44
2196,평일,1,155,동대문,하차,77,278,522,1134,1145,1047,1189,1192,1209,1054,1103,979,1063,1160,1320,899,641,643,562,178
2197,평일,1,156,신설동,승차,305,364,872,1095,807,657,915,820,929,839,939,950,1553,2749,1297,688,673,501,217,14
2198,평일,1,156,신설동,하차,100,304,963,3111,1619,828,849,787,805,739,767,793,936,1111,945,542,558,557,378,103
