연번,호선,역번호,역명,상행(내선순환),출구 번호,하행(외선순환),출구번호,기타
144,5호선,2541,왕십리(성동구청),마장 방면,"5-3, 7-2",행당 방면,"4-2, 7-2",
145,5호선,2542,마장,답십리 방면,"6-1,",왕십리 방면,"3-4,",
146,5호선,2543,답십리,장한평 방면,"4-1, 5-4",마장 방면,"4-1, 4-4, 5-4",
147,5호선,2544,장한평,군자 방면,"4-1, ",답십리 방면,"5-3,",
148,5호선,2545,군자(능동),아차산 방면,"1-1, 8-4,",장한평 방면,"1-1, 8-4",
149,5호선,2546,아차산(어린이대공원후문),광나루 방면,"4-2,",군자 방면,"5-3,",
150,5호선,2547,광나루(장신대),천호 방면,"3-3, 5-4",아차산 방면,"4-2, 6-2",
151,5호선,2548,천호(풍납토성),강동 방면,"4-4,",광나루 방면,"5-1,",
152,5호선,2549,강동,길동(둔촌동) 방면,"1-1, 8-4, ",천호 방면,"1-1, 8-4",
153,5호선,2550,길동,굽은다리 방면,"5-3, ",강동 방면,"4-2,",
154,5호선,2551,굽은다리(강동구민회관앞),명일 방면,"4-1, ",길동 방면,"5-4,",
155,5호선,2552,명일,고덕 방면,"5-4,",굽은다리 방면 ,"4-1,",
156,5호선,2553,고덕,상일동 방면,"5-2, ",명일 방면,"4-3,",
157,5호선,2554,상일동,강일 방면,"1-1, 8-4",고덕 방면,"1-1, 8-4",
158,5호선,2555,둔촌동,올림픽공원 방면,"4-1, 5-4",강동 방면,"4-1, 5-4",
159,5호선,2556,올림픽공원(한국체대),방이 방면,"3-4, 5-4, ",둔촌동 방면,"4-1, 6-1",
160,5호선,2557,방이,오금 방면,"4-1, 5-1, 5-4",올림픽공원 방면,"4-1, 5-4",
161,5호선,2558,오금,개롱 방면,"4-1,",방이 방면,"5-4,",
162,5호선,2559,개롱,거여 방면,"4-1, 5-4",오금 방면,"4-1, 5-4",
163,5호선,2560,거여,마천 방면,"4-1, 5-4",개롱 방면,"4-1, 5-4",
164,5호선,2561,마천,마천(종점) 방면,"4-1, 6-4",,,
165,5호선,2562,강일,미사 방면,"2-3, 7-2",상일동 방면,"2-3, 7-2",
166,5호선,2563,미사,하남풍산 방면,"3-4, 6-1",강일 방면,"3-4, 6-1",
167,5호선,2564,하남풍산,하남시청 방면,"3-3, 6-1",미사 방면,"3-3, 6-1",
168,5호선,2565,하남시청(덕풍·신장),하남검단산 방면,"3-3, 6-2",하남풍산 방면,"3-3, 6-2",
169,5호선,2566,하남검단산,하남검단산(종점),"3-3, 7-1",,,
170,6호선,2611,응암,새절 방면,"5-2,",역촌 방면,"4-3,",
171,6호선,2612,역촌,불광 방면(외선),"4-2,",,,
172,6호선,2613,불광,독바위 방면(외선),"2-3,",,,
173,6호선,2614,독바위,연신내 방면(외선),"3-2,",,,
174,6호선,2615,연신내,구산 방면(외선),"6-1, 6-2",,,
175,6호선,2616,구산,응암 방면(외선),"5-4,",,,
176,6호선,2617,새절(신사),증산 방면,"5-4,",응암 방면,"3-4,",
177,6호선,2618,증산(명지대앞),디지털미디어시티 방면,"5-3, ",새절 방면,"4-1,",
178,6호선,2619,디지털미디어시티,월드컵경기장 방면,"1-1, 7-2, 8-4",증산 방면,"1-1, 2-2, 8-4",
179,6호선,2620,월드컵경기장(성산),마포구청 방면,"1-1, 5-4, 8-4",디지털미디어 방면,"1-1, 3-4, 8-4",
180,6호선,2621,마포구청,망원 방면,"1-3, 7-3,",월드컵경기장 방면,"2-1, 8-1",
181,6호선,2622,망원,합정 방면,"4-3, ",마포구청 방면,"5-2,",
182,6호선,2623,합정,상수 방면,"6-2,",망원 방면,"3-3,",
183,6호선,2624,상수,광흥창 방면,"6-1,",합정 방면,"3-3,",
184,6호선,2625,광흥창(서강),대흥 방면,"1-1, 8-4, ",상수 방면,"1-1, 8-4",
185,6호선,2626,대흥(서강대앞),공덕 방면,"5-4,",광흥창 방면,"3-4,",
186,6호선,2627,공덕,효창공원앞 방면,"3-4 8-4,",대흥 방면,1-1 5-4,
187,6호선,2628,효창공원앞,삼각지 방면,"3-1,",공덕 방면,"6-4,",
