호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
3호선,가락시장역,5,0,0,"[17, 19, 22, 24, 19, 21, 17, 12, 12, 9]",10
3호선,가락시장역,5,0,1,"[6, 7, 8, 9, 6, 6, 6, 3, 4, 2]",10
3호선,가락시장역,5,1,0,"[7, 7, 8, 7, 10, 7, 6, 6, 10, 7]",7
3호선,가락시장역,5,1,1,"[3, 4, 5, 4, 5, 4, 3, 4, 6, 4]",1
3호선,가락시장역,6,0,0,"[17, 19, 22, 24, 19, 21, 17, 12, 12, 9]",10
3호선,가락시장역,6,0,1,"[6, 7, 8, 9, 6, 6, 6, 3, 4, 2]",10
3호선,가락시장역,6,1,0,"[7, 7, 8, 7, 10, 7, 6, 6, 10, 7]",7
3호선,가락시장역,6,1,1,"[3, 4, 5, 4, 5, 4, 3, 4, 6, 4]",1
3호선,가락시장역,7,0,0,"[32, 35, 37, 35, 31, 36, 34, 26, 24, 18]",10
3호선,가락시장역,7,0,1,"[4, 6, 8, 7, 7, 4, 5, 4, 4, 2]",10
3호선,가락시장역,7,1,0,"[12, 14, 12, 9, 12, 13, 12, 14, 16, 13]",4
3호선,가락시장역,7,1,1,"[3, 3, 4, 2, 6, 3, 3, 3, 5, 4]",4
3호선,가락시장역,8,0,0,"[34, 38, 42, 39, 34, 41, 38, 28, 23, 19]",10
3호선,가락시장역,8,0,1,"[10, 16, 14, 9, 10, 8, 8, 6, 6, 5]",10
3호선,가락시장역,8,1,0,"[22, 22, 24, 19, 22, 17, 16, 18, 22, 24]",7
3호선,가락시장역,8,1,1,"[6, 8, 6, 7, 7, 6, 6, 5, 7, 6]",8
3호선,가락시장역,9,0,0,"[14, 18, 20, 16, 14, 17, 14, 11, 8, 7]",10
3호선,가락시장역,9,0,1,"[9, 15, 17, 11, 11, 13, 12, 7, 6, 4]",10
3호선,가락시장역,9,1,0,"[7, 9, 9, 8, 10, 8, 7, 6, 9, 7]",8
3호선,가락시장역,9,1,1,"[6, 7, 6, 9, 8, 6, 7, 6, 7, 5]",10
3호선,가락시장역,10,0,0,"[8, 12, 12, 10, 10, 10, 9, 6, 5, 3]",10
3호선,가락시장역,10,0,1,"[9, 15, 14, 9, 9, 9, 8, 7, 4, 3]",10
3호선,가락시장역,10,1,0,"[5, 7, 7, 8, 9, 8, 6, 6, 6, 5]",1
3호선,가락시장역,10,1,1,"[6, 7, 9, 9, 8, 8, 7, 7, 7, 6]",1
3호선,가락시장역,11,0,0,"[7, 12, 12, 10, 10, 8, 7, 4, 4, 3]",10
3호선,가락시장역,11,0,1,"[9, 12, 14, 9, 8, 9, 9, 6, 4, 3]",10
3호선,가락시장역,11,1,0,"[9, 8, 10, 10, 11, 11, 9, 6, 8, 7]",8
3호선,가락시장역,11,1,1,"[8, 10, 9, 13, 11, 10, 7, 9, 7, 5]",10
3호선,가락시장역,12,0,0,"[9, 12, 12, 9, 10, 8, 8, 6, 4, 3]",10
3호선,가락시장역,12,0,1,"[11, 18, 14, 8, 12, 10, 8, 6, 5, 3]",10
3호선,가락시장역,12,1,0,"[8, 6, 9, 9, 11, 10, 8, 7, 8, 6]",2
3호선,가락시장역,12,1,1,"[8, 8, 12, 12, 16, 11, 10, 10, 10, 6]",10
3호선,가락시장역,13,0,0,"[7, 12, 10, 8, 8, 7, 7, 4, 4, 4]",8
3호선,가락시장역,13,0,1,"[9, 12, 14, 11, 8, 7, 7, 5, 3, 2]",10
3호선,가락시장역,13,1,0,"[10, 10, 10, 10, 11, 11, 9, 7, 11, 9]",8
3호선,가락시장역,13,1,1,"[9, 12, 11, 11, 14, 12, 12, 11, 10, 10]",1
3호선,가락시장역,14,0,0,"[9, 15, 12, 9, 9, 7, 7, 5, 5, 3]",10
3호선,가락시장역,14,0,1,"[7, 12, 10, 8, 7, 7, 5, 6, 3, 2]",10
3호선,가락시장역,14,1,0,"[13, 13, 14, 15, 16, 16, 12, 10, 15, 12]",8
3호선,가락시장역,14,1,1,"[6, 8, 12, 10, 13, 13, 10, 11, 10, 9]",1
3호선,가락시장역,15,0,0,"[8, 11, 13, 8, 7, 7, 7, 5, 4, 4]",9
3호선,가락시장역,15,0,1,"[8, 9, 11, 6, 8, 6, 7, 4, 4, 2]",10
3호선,가락시장역,15,1,0,"[13, 14, 12, 14, 17, 15, 14, 11, 14, 12]",8
3호선,가락시장역,15,1,1,"[12, 12, 15, 16, 16, 16, 12, 11, 12, 10]",10
3호선,가락시장역,16,0,0,"[11, 14, 13, 9, 10, 10, 10, 6, 6, 4]",10
3호선,가락시장역,16,0,1,"[8, 9, 12, 8, 6, 8, 5, 4, 3, 2]",10
3호선,가락시장역,16,1,0,"[18, 20, 23, 21, 24, 24, 22, 21, 28, 23]",1
3호선,가락시장역,16,1,1,"[12, 12, 15, 16, 18, 16, 14, 13, 16, 15]",1
3호선,가락시장역,17,0,0,"[13, 17, 16, 13, 9, 10, 9, 7, 5, 5]",9
3호선,가락시장역,17,0,1,"[7, 14, 13, 8, 7, 6, 7, 4, 3, 2]",10
3호선,가락시장역,17,1,0,"[27, 32, 36, 35, 35, 32, 32, 33, 44, 36]",1
3호선,가락시장역,17,1,1,"[14, 15, 17, 21, 19, 19, 18, 15, 19, 17]",1
3호선,가락시장역,18,0,0,"[16, 17, 14, 10, 9, 9, 9, 7, 7, 5]",10
3호선,가락시장역,18,0,1,"[6, 9, 6, 6, 6, 6, 5, 3, 3, 3]",8
3호선,가락시장역,18,1,0,"[35, 43, 42, 43, 42, 33, 40, 40, 56, 44]",6
3호선,가락시장역,18,1,1,"[10, 15, 14, 14, 16, 14, 12, 13, 13, 13]",1
3호선,가락시장역,19,0,0,"[6, 8, 8, 4, 5, 4, 4, 4, 3, 2]",10
3호선,가락시장역,19,0,1,"[3, 6, 4, 4, 4, 3, 3, 3, 2, 2]",9
3호선,가락시장역,19,1,0,"[20, 24, 18, 22, 28, 21, 20, 24, 27, 25]",3
3호선,가락시장역,19,1,1,"[8, 8, 9, 13, 12, 10, 8, 9, 9, 11]",1
3호선,가락시장역,20,0,0,"[4, 6, 6, 4, 2, 4, 4, 3, 2, 2]",5
