호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
2호선,강남역,5,0,0,"[52, 67, 63, 67, 72, 61, 59, 56, 39, 23]",10
2호선,강남역,5,0,1,"[24, 25, 27, 31, 35, 30, 28, 23, 20, 13]",10
2호선,강남역,5,1,0,"[21, 21, 21, 26, 24, 25, 22, 20, 17, 15]",10
2호선,강남역,5,1,1,"[12, 15, 13, 16, 18, 15, 14, 11, 12, 10]",10
2호선,강남역,6,0,0,"[52, 67, 63, 67, 72, 61, 59, 56, 39, 23]",10
2호선,강남역,6,0,1,"[24, 25, 27, 31, 35, 30, 28, 23, 20, 13]",10
2호선,강남역,6,1,0,"[21, 21, 21, 26, 24, 25, 22, 20, 17, 15]",10
2호선,강남역,6,1,1,"[12, 15, 13, 16, 18, 15, 14, 11, 12, 10]",10
2호선,강남역,7,0,0,"[51, 58, 54, 57, 50, 57, 55, 45, 47, 43]",10
2호선,강남역,7,0,1,"[14, 18, 17, 19, 17, 17, 17, 13, 13, 9]",10
2호선,강남역,7,1,0,"[15, 20, 25, 28, 25, 24, 27, 25, 23, 21]",1
2호선,강남역,7,1,1,"[9, 11, 12, 14, 13, 12, 10, 11, 9, 9]",1
2호선,강남역,8,0,0,"[52, 55, 53, 50, 47, 48, 53, 48, 46, 47]",9
2호선,강남역,8,0,1,"[17, 21, 21, 21, 20, 19, 21, 16, 15, 12]",10
2호선,강남역,8,1,0,"[50, 58, 65, 66, 59, 58, 70, 63, 53, 56]",1
2호선,강남역,8,1,1,"[13, 17, 18, 19, 18, 15, 19, 14, 15, 13]",1
2호선,강남역,9,0,0,"[82, 103, 109, 135, 115, 110, 116, 99, 90, 62]",10
2호선,강남역,9,0,1,"[28, 35, 35, 40, 36, 34, 35, 28, 27, 18]",10
2호선,강남역,9,1,0,"[36, 41, 38, 51, 46, 49, 45, 42, 35, 33]",10
2호선,강남역,9,1,1,"[26, 30, 33, 34, 28, 29, 27, 23, 22, 20]",10
2호선,강남역,10,0,0,"[39, 48, 55, 68, 67, 60, 58, 49, 42, 30]",10
2호선,강남역,10,0,1,"[49, 61, 63, 92, 95, 75, 68, 54, 50, 34]",10
2호선,강남역,10,1,0,"[27, 31, 36, 39, 39, 43, 35, 34, 26, 22]",10
2호선,강남역,10,1,1,"[24, 24, 28, 36, 41, 42, 34, 30, 23, 22]",10
2호선,강남역,11,0,0,"[39, 48, 55, 68, 67, 60, 58, 49, 42, 30]",10
2호선,강남역,11,0,1,"[47, 62, 62, 78, 95, 77, 72, 55, 48, 38]",10
2호선,강남역,11,1,0,"[26, 31, 36, 40, 40, 43, 36, 34, 26, 22]",10
2호선,강남역,11,1,1,"[25, 31, 35, 43, 44, 42, 39, 31, 27, 23]",10
2호선,강남역,12,0,0,"[33, 37, 44, 58, 56, 52, 48, 41, 35, 26]",10
2호선,강남역,12,0,1,"[49, 52, 66, 81, 93, 75, 69, 58, 50, 37]",10
2호선,강남역,12,1,0,"[31, 35, 39, 49, 47, 46, 45, 38, 27, 22]",10
2호선,강남역,12,1,1,"[30, 40, 41, 51, 51, 54, 48, 40, 34, 27]",10
2호선,강남역,13,0,0,"[33, 37, 44, 58, 56, 52, 48, 41, 35, 26]",10
2호선,강남역,13,0,1,"[46, 59, 68, 90, 87, 78, 71, 62, 58, 35]",10
2호선,강남역,13,1,0,"[33, 37, 42, 50, 48, 48, 46, 40, 30, 24]",10
2호선,강남역,13,1,1,"[33, 43, 49, 55, 56, 56, 53, 45, 36, 34]",1
2호선,강남역,14,0,0,"[28, 39, 46, 53, 53, 50, 47, 41, 29, 22]",10
2호선,강남역,14,0,1,"[44, 54, 67, 82, 89, 68, 62, 54, 46, 31]",10
2호선,강남역,14,1,0,"[40, 46, 52, 53, 55, 55, 52, 46, 38, 28]",10
2호선,강남역,14,1,1,"[31, 44, 47, 55, 54, 55, 52, 39, 34, 31]",1
2호선,강남역,15,0,0,"[30, 36, 45, 55, 56, 47, 49, 39, 33, 25]",10
2호선,강남역,15,0,1,"[39, 43, 60, 75, 83, 62, 54, 44, 42, 31]",10
2호선,강남역,15,1,0,"[50, 59, 64, 75, 78, 78, 75, 65, 49, 39]",10
2호선,강남역,15,1,1,"[36, 47, 52, 58, 61, 53, 54, 45, 38, 35]",10
2호선,강남역,16,0,0,"[21, 28, 30, 31, 34, 28, 25, 25, 23, 18]",10
2호선,강남역,16,0,1,"[46, 51, 56, 67, 74, 65, 55, 48, 41, 30]",10
2호선,강남역,16,1,0,"[38, 47, 52, 66, 55, 51, 61, 51, 44, 36]",10
2호선,강남역,16,1,1,"[41, 53, 55, 64, 64, 62, 56, 46, 41, 34]",10
2호선,강남역,17,0,0,"[39, 56, 55, 51, 53, 55, 55, 45, 38, 32]",10
2호선,강남역,17,0,1,"[47, 53, 55, 65, 72, 66, 56, 48, 41, 30]",10
