호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
8호선,가락시장역,5,0,0,"[19, 28, 23, 28, 37, 42]",1
8호선,가락시장역,5,0,1,"[14, 20, 18, 18, 18, 23]",1
8호선,가락시장역,5,1,0,"[48, 58, 60, 56, 53, 38]",6
8호선,가락시장역,5,1,1,"[22, 25, 27, 25, 26, 15]",6
8호선,가락시장역,6,0,0,"[19, 28, 23, 28, 37, 42]",1
8호선,가락시장역,6,0,1,"[14, 20, 18, 18, 18, 23]",1
8호선,가락시장역,6,1,0,"[48, 58, 60, 56, 53, 38]",6
8호선,가락시장역,6,1,1,"[22, 25, 27, 25, 26, 15]",6
8호선,가락시장역,7,0,0,"[60, 78, 79, 85, 89, 100]",1
8호선,가락시장역,7,0,1,"[17, 28, 26, 28, 29, 31]",1
8호선,가락시장역,7,1,0,"[76, 92, 102, 97, 102, 80]",1
8호선,가락시장역,7,1,1,"[25, 27, 32, 29, 23, 21]",6
8호선,가락시장역,8,0,0,"[86, 120, 124, 118, 120, 124]",1
8호선,가락시장역,8,0,1,"[34, 41, 46, 50, 46, 57]",1
8호선,가락시장역,8,1,0,"[84, 99, 133, 129, 117, 95]",1
8호선,가락시장역,8,1,1,"[35, 43, 52, 47, 38, 28]",6
8호선,가락시장역,9,0,0,"[54, 67, 69, 68, 67, 77]",1
8호선,가락시장역,9,0,1,"[50, 56, 62, 64, 63, 61]",1
8호선,가락시장역,9,1,0,"[54, 67, 79, 78, 74, 50]",6
8호선,가락시장역,9,1,1,"[47, 58, 65, 55, 41, 36]",6
8호선,가락시장역,10,0,0,"[33, 47, 51, 51, 51, 54]",1
8호선,가락시장역,10,0,1,"[48, 64, 71, 69, 64, 67]",1
8호선,가락시장역,10,1,0,"[31, 42, 46, 40, 32, 22]",6
8호선,가락시장역,10,1,1,"[41, 65, 62, 60, 43, 31]",6
8호선,가락시장역,11,0,0,"[29, 41, 47, 47, 38, 41]",1
8호선,가락시장역,11,0,1,"[46, 66, 77, 78, 65, 65]",1
8호선,가락시장역,11,1,0,"[34, 44, 52, 43, 35, 23]",6
8호선,가락시장역,11,1,1,"[49, 60, 72, 55, 45, 30]",6
8호선,가락시장역,12,0,0,"[31, 41, 48, 41, 40, 43]",1
8호선,가락시장역,12,0,1,"[52, 74, 83, 77, 70, 64]",1
8호선,가락시장역,12,1,0,"[38, 53, 58, 47, 34, 24]",6
8호선,가락시장역,12,1,1,"[43, 61, 79, 58, 47, 33]",6
8호선,가락시장역,13,0,0,"[31, 44, 49, 47, 39, 39]",1
8호선,가락시장역,13,0,1,"[54, 71, 78, 85, 65, 63]",1
8호선,가락시장역,13,1,0,"[39, 51, 54, 47, 38, 27]",6
8호선,가락시장역,13,1,1,"[46, 67, 78, 65, 47, 37]",6
8호선,가락시장역,14,0,0,"[34, 45, 49, 43, 35, 33]",6
8호선,가락시장역,14,0,1,"[47, 69, 77, 77, 66, 51]",1
8호선,가락시장역,14,1,0,"[39, 50, 57, 45, 36, 24]",6
8호선,가락시장역,14,1,1,"[53, 60, 71, 59, 56, 37]",6
8호선,가락시장역,15,0,0,"[38, 52, 58, 52, 40, 38]",1
8호선,가락시장역,15,0,1,"[48, 70, 82, 75, 63, 52]",1
8호선,가락시장역,15,1,0,"[44, 56, 64, 50, 40, 30]",6
8호선,가락시장역,15,1,1,"[50, 74, 87, 71, 57, 39]",6
8호선,가락시장역,16,0,0,"[45, 60, 69, 58, 51, 50]",1
8호선,가락시장역,16,0,1,"[48, 77, 89, 78, 71, 60]",1
8호선,가락시장역,16,1,0,"[57, 72, 74, 65, 53, 39]",6
8호선,가락시장역,16,1,1,"[56, 78, 90, 78, 69, 51]",6
8호선,가락시장역,17,0,0,"[74, 88, 90, 80, 67, 69]",5
8호선,가락시장역,17,0,1,"[56, 71, 74, 78, 58, 51]",6
8호선,가락시장역,17,1,0,"[80, 96, 109, 93, 70, 54]",6
8호선,가락시장역,17,1,1,"[67, 84, 92, 82, 65, 49]",6
8호선,가락시장역,18,0,0,"[104, 110, 104, 94, 78, 76]",6
8호선,가락시장역,18,0,1,"[39, 56, 59, 59, 48, 39]",1
8호선,가락시장역,18,1,0,"[88, 111, 138, 118, 94, 71]",6
8호선,가락시장역,18,1,1,"[61, 86, 86, 64, 58, 47]",6
8호선,가락시장역,19,0,0,"[58, 77, 70, 61, 52, 54]",5
8호선,가락시장역,19,0,1,"[28, 39, 46, 39, 29, 24]",6
8호선,가락시장역,19,1,0,"[58, 65, 77, 68, 53, 42]",6
8호선,가락시장역,19,1,1,"[51, 62, 68, 60, 46, 41]",6
8호선,가락시장역,20,0,0,"[45, 55, 57, 44, 40, 38]",6
8호선,가락시장역,20,0,1,"[23, 36, 42, 31, 25, 22]",6
8호선,가락시장역,20,1,0,"[43, 50, 54, 47, 40, 29]",6
8호선,가락시장역,20,1,1,"[49, 68, 70, 56, 46, 37]",6
