호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
4호선,길음역,5,0,0,"[8, 11, 14, 15, 11, 14, 20, 13, 11, 11]",1
4호선,길음역,5,0,1,"[8, 13, 14, 14, 11, 12, 13, 13, 9, 8]",1
4호선,길음역,5,1,0,"[45, 47, 50, 48, 56, 57, 60, 53, 50, 62]",1
4호선,길음역,5,1,1,"[21, 20, 21, 23, 28, 30, 31, 27, 25, 29]",2
4호선,길음역,6,0,0,"[8, 11, 14, 15, 11, 14, 20, 13, 11, 11]",1
4호선,길음역,6,0,1,"[8, 13, 14, 14, 11, 12, 13, 13, 9, 8]",1
4호선,길음역,6,1,0,"[45, 47, 50, 48, 56, 57, 60, 53, 50, 62]",1
4호선,길음역,6,1,1,"[21, 20, 21, 23, 28, 30, 31, 27, 25, 29]",2
4호선,길음역,7,0,0,"[12, 15, 13, 16, 13, 12, 15, 15, 12, 10]",10
4호선,길음역,7,0,1,"[7, 11, 12, 9, 9, 9, 8, 8, 6, 6]",9
4호선,길음역,7,1,0,"[93, 96, 102, 97, 110, 111, 116, 108, 98, 105]",1
4호선,길음역,7,1,1,"[28, 33, 26, 36, 38, 38, 37, 34, 33, 31]",3
4호선,길음역,8,0,0,"[15, 19, 21, 19, 18, 18, 20, 17, 15, 13]",10
4호선,길음역,8,0,1,"[14, 16, 20, 18, 15, 15, 19, 14, 13, 11]",10
4호선,길음역,8,1,0,"[86, 96, 107, 107, 117, 112, 126, 107, 101, 99]",1
4호선,길음역,8,1,1,"[41, 44, 42, 49, 59, 68, 63, 63, 53, 64]",1
4호선,길음역,9,0,0,"[9, 14, 14, 15, 12, 13, 16, 14, 10, 9]",1
4호선,길음역,9,0,1,"[16, 23, 23, 21, 20, 20, 19, 17, 14, 12]",10
4호선,길음역,9,1,0,"[57, 61, 63, 67, 70, 74, 77, 63, 62, 61]",1
4호선,길음역,9,1,1,"[48, 53, 57, 60, 68, 74, 74, 63, 61, 71]",1
4호선,길음역,10,0,0,"[12, 16, 19, 17, 15, 15, 18, 16, 15, 11]",10
4호선,길음역,10,0,1,"[18, 25, 26, 24, 22, 23, 21, 20, 18, 15]",10
4호선,길음역,10,1,0,"[34, 34, 39, 40, 46, 49, 47, 43, 37, 38]",1
4호선,길음역,10,1,1,"[45, 49, 55, 59, 63, 75, 71, 56, 50, 50]",1
4호선,길음역,11,0,0,"[15, 21, 22, 20, 18, 20, 22, 20, 18, 15]",1
4호선,길음역,11,0,1,"[20, 29, 32, 28, 28, 23, 25, 24, 19, 18]",10
4호선,길음역,11,1,0,"[30, 32, 37, 36, 45, 45, 40, 39, 32, 34]",1
4호선,길음역,11,1,1,"[37, 41, 46, 52, 61, 62, 56, 55, 46, 47]",1
4호선,길음역,12,0,0,"[17, 23, 25, 27, 22, 20, 23, 22, 18, 16]",10
4호선,길음역,12,0,1,"[17, 27, 32, 24, 26, 27, 27, 25, 21, 16]",10
4호선,길음역,12,1,0,"[29, 34, 38, 36, 43, 45, 40, 35, 36, 33]",1
4호선,길음역,12,1,1,"[34, 32, 43, 45, 47, 48, 54, 47, 37, 38]",2
4호선,길음역,13,0,0,"[23, 27, 30, 30, 28, 29, 28, 25, 22, 17]",10
4호선,길음역,13,0,1,"[21, 27, 32, 28, 29, 32, 27, 29, 24, 19]",10
4호선,길음역,13,1,0,"[25, 27, 31, 31, 32, 35, 38, 30, 23, 26]",9
4호선,길음역,13,1,1,"[32, 32, 38, 39, 47, 49, 44, 44, 32, 36]",1
4호선,길음역,14,0,0,"[25, 38, 39, 39, 34, 33, 39, 38, 31, 22]",10
4호선,길음역,14,0,1,"[23, 32, 31, 32, 29, 28, 30, 32, 21, 20]",10
4호선,길음역,14,1,0,"[19, 21, 25, 26, 31, 32, 30, 25, 21, 21]",1
4호선,길음역,14,1,1,"[30, 30, 37, 38, 43, 42, 44, 39, 33, 31]",1
4호선,길음역,15,0,0,"[34, 50, 50, 49, 47, 46, 48, 51, 41, 32]",10
4호선,길음역,15,0,1,"[31, 38, 39, 41, 35, 36, 37, 35, 30, 29]",10
4호선,길음역,15,1,0,"[22, 25, 27, 29, 33, 34, 33, 28, 27, 24]",1
4호선,길음역,15,1,1,"[26, 28, 33, 36, 43, 41, 37, 34, 32, 29]",1
4호선,길음역,16,0,0,"[47, 65, 61, 65, 51, 55, 60, 62, 51, 41]",10
4호선,길음역,16,0,1,"[38, 48, 53, 52, 47, 47, 51, 48, 35, 31]",10
4호선,길음역,16,1,0,"[23, 22, 25, 28, 30, 30, 31, 28, 25, 24]",2
4호선,길음역,16,1,1,"[26, 28, 28, 33, 40, 37, 36, 34, 27, 30]",1
4호선,길음역,17,0,0,"[77, 92, 100, 102, 88, 84, 105, 105, 85, 74]",10
4호선,길음역,17,0,1,"[43, 54, 56, 62, 50, 48, 54, 55, 50, 36]",10
4호선,길음역,17,1,0,"[16, 17, 16, 20, 22, 22, 22, 21, 18, 18]",1
4호선,길음역,17,1,1,"[19, 21, 28, 26, 34, 36, 39, 31, 26, 25]",1
4호선,길음역,18,0,0,"[114, 131, 134, 148, 132, 138, 158, 146, 123, 106]",10
4호선,길음역,18,0,1,"[40, 58, 55, 59, 48, 49, 54, 46, 43, 39]",10
4호선,길음역,18,1,0,"[15, 16, 15, 17, 17, 21, 22, 17, 20, 18]",1
4호선,길음역,18,1,1,"[18, 19, 19, 20, 25, 28, 31, 24, 22, 21]",1
4호선,길음역,19,0,0,"[75, 87, 95, 90, 77, 84, 91, 85, 74, 62]",10
4호선,길음역,19,0,1,"[43, 53, 59, 57, 47, 45, 47, 47, 39, 33]",10
4호선,길음역,19,1,0,"[9, 10, 11, 11, 14, 13, 13, 12, 10, 12]",1
4호선,길음역,19,1,1,"[11, 11, 14, 12, 20, 18, 15, 14, 13, 12]",1
4호선,길음역,20,0,0,"[48, 58, 55, 62, 48, 51, 59, 55, 47, 39]",10
4호선,길음역,20,0,1,"[39, 56, 63, 62, 48, 59, 56, 54, 41, 35]",10
4호선,길음역,20,1,0,"[8, 8, 7, 8, 9, 10, 11, 10, 10, 10]",3
4호선,길음역,20,1,1,"[11, 10, 11, 12, 14, 17, 17, 11, 12, 11]",2
4호선,길음역,21,0,0,"[38, 47, 48, 50, 43, 46, 49, 47, 41, 29]",10
4호선,길음역,21,0,1,"[57, 65, 71, 55, 59, 54, 55, 62, 51, 38]",10
4호선,길음역,21,1,0,"[8, 9, 8, 9, 9, 10, 12, 9, 9, 9]",1
4호선,길음역,21,1,1,"[11, 10, 11, 10, 15, 11, 14, 11, 11, 11]",2
4호선,길음역,22,0,0,"[45, 50, 47, 52, 44, 48, 54, 52, 39, 36]",10
4호선,길음역,22,0,1,"[51, 64, 63, 59, 50, 52, 57, 54, 53, 38]",10
4호선,길음역,22,1,0,"[7, 9, 7, 7, 9, 10, 9, 9, 10, 9]",1
4호선,길음역,22,1,1,"[8, 9, 10, 14, 17, 16, 14, 11, 14, 11]",1
4호선,길음역,23,0,0,"[34, 43, 40, 41, 35, 40, 45, 41, 40, 28]",10
4호선,길음역,23,0,1,"[43, 57, 48, 51, 48, 49, 52, 46, 44, 34]",10
4호선,길음역,23,1,0,"[6, 7, 6, 7, 9, 6, 7, 8, 7, 7]",1
4호선,길음역,23,1,1,"[8, 8, 7, 8, 11, 12, 10, 13, 12, 8]",3
4호선,길음역,0,0,0,"[8, 11, 14, 15, 11, 14, 20, 13, 11, 11]",1
4호선,길음역,0,0,1,"[8, 13, 14, 14, 11, 12, 13, 13, 9, 8]",1
4호선,길음역,0,1,0,"[45, 47, 50, 48, 56, 57, 60, 53, 50, 62]",1
4호선,길음역,0,1,1,"[21, 20, 21, 23, 28, 30, 31, 27, 25, 29]",2
4호선,남태령역,5,0,0,"[57, 45, 42, 52, 44, 43, 56, 54, 60, 71]",3
4호선,남태령역,5,0,1,"[22, 26, 23, 22, 22, 19, 22, 24, 28, 38]",6
4호선,남태령역,5,1,0,"[33, 35, 42, 38, 38, 35, 35, 35, 31, 23]",10
4호선,남태령역,5,1,1,"[13, 22, 23, 22, 21, 20, 13, 17, 12, 9]",10
4호선,남태령역,6,0,0,"[57, 45, 42, 52, 44, 43, 56, 54, 60, 71]",3
4호선,남태령역,6,0,1,"[22, 26, 23, 22, 22, 19, 22, 24, 28, 38]",6
4호선,남태령역,6,1,0,"[33, 35, 42, 38, 38, 35, 35, 35, 31, 23]",10
4호선,남태령역,6,1,1,"[13, 22, 23, 22, 21, 20, 13, 17, 12, 9]",10
4호선,남태령역,7,0,0,"[97, 92, 105, 130, 111, 132, 127, 128, 130, 137]",2
4호선,남태령역,7,0,1,"[21, 25, 27, 33, 28, 30, 24, 31, 31, 34]",1
4호선,남태령역,7,1,0,"[63, 69, 78, 74, 69, 63, 63, 67, 53, 45]",10
4호선,남태령역,7,1,1,"[14, 18, 20, 24, 19, 22, 18, 13, 11, 7]",10
4호선,남태령역,8,0,0,"[101, 111, 125, 125, 115, 109, 114, 121, 117, 118]",1
4호선,남태령역,8,0,1,"[43, 49, 48, 46, 47, 45, 45, 41, 48, 61]",8
4호선,남태령역,8,1,0,"[62, 64, 64, 65, 60, 67, 69, 58, 59, 39]",10
4호선,남태령역,8,1,1,"[24, 27, 41, 34, 33, 29, 34, 17, 18, 17]",8
4호선,남태령역,9,0,0,"[75, 71, 84, 76, 83, 80, 89, 88, 90, 98]",2
4호선,남태령역,9,0,1,"[54, 56, 64, 62, 73, 69, 61, 59, 73, 69]",1
4호선,남태령역,9,1,0,"[28, 30, 34, 30, 25, 26, 29, 23, 17, 10]",10
4호선,남태령역,9,1,1,"[70, 93, 83, 84, 59, 56, 64, 51, 40, 30]",10
4호선,남태령역,10,0,0,"[50, 53, 57, 57, 55, 64, 58, 61, 66, 70]",1
4호선,남태령역,10,0,1,"[75, 57, 76, 82, 85, 81, 89, 81, 85, 74]",2
4호선,남태령역,10,1,0,"[16, 22, 31, 29, 26, 24, 19, 15, 12, 10]",10
4호선,남태령역,10,1,1,"[57, 64, 90, 73, 64, 67, 50, 39, 43, 27]",10
4호선,남태령역,11,0,0,"[42, 40, 46, 52, 48, 47, 46, 48, 54, 55]",2
