호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
5호선,강동역,5,0,0,"[54, 55, 52, 51, 46, 45, 41, 46]",7
5호선,강동역,5,0,1,"[19, 22, 18, 15, 17, 13, 12, 20]",7
5호선,강동역,5,1,0,"[24, 24, 31, 23, 23, 25, 19, 16]",8
5호선,강동역,5,1,1,"[13, 12, 20, 15, 15, 16, 12, 9]",8
5호선,강동역,6,0,0,"[54, 55, 52, 51, 46, 45, 41, 46]",7
5호선,강동역,6,0,1,"[19, 22, 18, 15, 17, 13, 12, 20]",7
5호선,강동역,6,1,0,"[24, 24, 31, 23, 23, 25, 19, 16]",8
5호선,강동역,6,1,1,"[13, 12, 20, 15, 15, 16, 12, 9]",8
5호선,강동역,7,0,0,"[78, 73, 76, 72, 69, 65, 60, 67]",7
5호선,강동역,7,0,1,"[28, 25, 25, 26, 29, 23, 25, 29]",6
5호선,강동역,7,1,0,"[43, 49, 51, 54, 53, 56, 42, 36]",8
5호선,강동역,7,1,1,"[12, 14, 20, 17, 16, 16, 13, 11]",8
5호선,강동역,8,0,0,"[81, 78, 81, 69, 74, 68, 66, 64]",8
5호선,강동역,8,0,1,"[39, 41, 39, 36, 37, 34, 36, 46]",6
5호선,강동역,8,1,0,"[40, 49, 58, 57, 68, 75, 54, 43]",1
5호선,강동역,8,1,1,"[17, 25, 29, 34, 32, 30, 21, 17]",1
5호선,강동역,9,0,0,"[60, 65, 65, 58, 55, 53, 54, 58]",6
5호선,강동역,9,0,1,"[48, 53, 54, 49, 46, 45, 46, 48]",6
5호선,강동역,9,1,0,"[15, 17, 23, 22, 22, 24, 17, 12]",8
5호선,강동역,9,1,1,"[20, 25, 38, 30, 31, 34, 23, 20]",1
5호선,강동역,10,0,0,"[47, 52, 46, 46, 45, 42, 45, 43]",6
5호선,강동역,10,0,1,"[52, 51, 59, 58, 55, 52, 51, 48]",8
5호선,강동역,10,1,0,"[12, 15, 20, 19, 20, 20, 15, 12]",1
5호선,강동역,10,1,1,"[19, 24, 36, 34, 32, 33, 24, 17]",8
5호선,강동역,11,0,0,"[41, 41, 39, 39, 40, 36, 36, 35]",8
5호선,강동역,11,0,1,"[54, 59, 62, 58, 54, 53, 48, 48]",7
5호선,강동역,11,1,0,"[18, 20, 28, 28, 26, 25, 20, 16]",8
5호선,강동역,11,1,1,"[23, 31, 41, 34, 35, 40, 26, 22]",8
5호선,강동역,12,0,0,"[38, 37, 38, 36, 40, 36, 33, 32]",8
5호선,강동역,12,0,1,"[56, 60, 66, 65, 61, 60, 53, 57]",7
5호선,강동역,12,1,0,"[23, 29, 36, 33, 34, 35, 28, 18]",8
5호선,강동역,12,1,1,"[31, 35, 53, 41, 43, 45, 33, 26]",8
5호선,강동역,13,0,0,"[38, 35, 30, 34, 40, 35, 31, 28]",8
5호선,강동역,13,0,1,"[49, 49, 53, 50, 52, 55, 44, 44]",7
5호선,강동역,13,1,0,"[25, 32, 40, 39, 37, 36, 27, 21]",8
5호선,강동역,13,1,1,"[30, 43, 54, 51, 44, 51, 40, 31]",1
5호선,강동역,14,0,0,"[29, 30, 28, 31, 30, 26, 24, 26]",7
5호선,강동역,14,0,1,"[42, 52, 51, 53, 49, 49, 46, 40]",8
5호선,강동역,14,1,0,"[26, 32, 44, 39, 38, 42, 30, 21]",8
5호선,강동역,14,1,1,"[31, 38, 57, 47, 46, 48, 36, 28]",8
5호선,강동역,15,0,0,"[35, 33, 34, 35, 36, 30, 30, 30]",6
5호선,강동역,15,0,1,"[42, 45, 51, 47, 46, 44, 42, 41]",8
5호선,강동역,15,1,0,"[33, 45, 55, 51, 52, 59, 41, 32]",8
5호선,강동역,15,1,1,"[35, 45, 57, 55, 51, 61, 42, 36]",1
5호선,강동역,16,0,0,"[42, 37, 44, 41, 40, 39, 35, 38]",7
5호선,강동역,16,0,1,"[46, 49, 54, 51, 56, 45, 43, 39]",8
5호선,강동역,16,1,0,"[41, 56, 70, 59, 58, 67, 54, 34]",8
5호선,강동역,16,1,1,"[43, 60, 77, 63, 65, 67, 54, 36]",8
