호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
1호선,동대문역,19,0,0,"[39, 37, 41, 45, 43, 46, 46, 49, 56, 61]",2
1호선,동대문역,19,0,1,"[25, 19, 23, 28, 29, 27, 33, 33, 36, 38]",2
1호선,동대문역,19,1,0,"[22, 18, 18, 17, 18, 19, 14, 11, 8, 10]",9
1호선,동대문역,19,1,1,"[21, 22, 18, 20, 25, 23, 16, 11, 12, 12]",8
1호선,동대문역,20,0,0,"[31, 31, 30, 35, 38, 36, 40, 37, 49, 55]",3
1호선,동대문역,20,0,1,"[20, 22, 24, 27, 30, 36, 32, 30, 38, 43]",1
1호선,동대문역,20,1,0,"[17, 15, 14, 15, 15, 14, 13, 10, 8, 9]",9
1호선,동대문역,20,1,1,"[17, 15, 15, 16, 15, 15, 11, 11, 10, 10]",9
1호선,동대문역,21,0,0,"[34, 26, 29, 33, 32, 33, 34, 41, 48, 51]",2
1호선,동대문역,21,0,1,"[22, 20, 22, 25, 26, 36, 33, 33, 35, 42]",2
1호선,동대문역,21,1,0,"[14, 15, 13, 13, 13, 13, 9, 8, 7, 7]",9
1호선,동대문역,21,1,1,"[17, 15, 15, 13, 18, 14, 11, 10, 7, 9]",9
1호선,동대문역,22,0,0,"[22, 21, 23, 24, 25, 27, 27, 33, 38, 42]",2
1호선,동대문역,22,0,1,"[24, 16, 19, 25, 27, 27, 29, 26, 37, 42]",2
1호선,동대문역,22,1,0,"[13, 11, 13, 11, 12, 14, 8, 7, 6, 7]",9
1호선,동대문역,22,1,1,"[10, 13, 12, 10, 11, 13, 9, 7, 7, 6]",10
1호선,동대문역,23,0,0,"[21, 18, 19, 19, 17, 17, 24, 24, 23, 30]",5
1호선,동대문역,23,0,1,"[27, 20, 27, 20, 31, 37, 33, 27, 47, 38]",2
1호선,동대문역,23,1,0,"[12, 9, 10, 10, 9, 9, 8, 5, 7, 7]",8
1호선,동대문역,23,1,1,"[8, 11, 9, 10, 8, 10, 8, 5, 5, 5]",8
1호선,동대문역,0,0,0,"[10, 9, 11, 14, 15, 11, 9, 11, 17, 18]",2
1호선,동대문역,0,0,1,"[14, 10, 9, 14, 15, 11, 12, 10, 16, 17]",3
1호선,동대문역,0,1,0,"[44, 39, 37, 36, 37, 32, 27, 23, 22, 19]",10
1호선,동대문역,0,1,1,"[21, 22, 18, 15, 20, 16, 12, 10, 8, 10]",9
1호선,동묘앞역,5,0,0,"[9, 7, 9, 14, 16, 10, 9, 12, 16, 18]",2
1호선,동묘앞역,5,0,1,"[13, 8, 8, 14, 14, 9, 12, 9, 15, 16]",2
1호선,동묘앞역,5,1,0,"[56, 48, 46, 45, 46, 41, 34, 31, 27, 27]",9
1호선,동묘앞역,5,1,1,"[26, 30, 25, 21, 27, 23, 17, 14, 12, 15]",9
1호선,동묘앞역,6,0,0,"[9, 7, 9, 14, 16, 10, 9, 12, 16, 18]",2
1호선,동묘앞역,6,0,1,"[13, 8, 8, 14, 14, 9, 12, 9, 15, 16]",2
1호선,동묘앞역,6,1,0,"[56, 48, 46, 45, 46, 41, 34, 31, 27, 27]",9
1호선,동묘앞역,6,1,1,"[26, 30, 25, 21, 27, 23, 17, 14, 12, 15]",9
1호선,동묘앞역,7,0,0,"[14, 12, 15, 21, 22, 19, 16, 17, 19, 23]",2
1호선,동묘앞역,7,0,1,"[9, 7, 8, 13, 14, 14, 10, 9, 13, 15]",2
1호선,동묘앞역,7,1,0,"[99, 86, 84, 88, 79, 77, 65, 56, 56, 49]",10
1호선,동묘앞역,7,1,1,"[31, 26, 30, 23, 26, 24, 15, 17, 16, 13]",10
1호선,동묘앞역,8,0,0,"[19, 18, 26, 28, 32, 31, 27, 25, 33, 38]",2
