호선,역명,시간,상하행,평일주말,혼잡도리스트,추천칸
2호선,강남역,5,0,0,"[52, 67, 63, 67, 72, 61, 59, 56]",1
2호선,강남역,5,0,1,"[24, 25, 27, 31, 35, 30, 28, 23]",8
2호선,강남역,5,1,0,"[21, 21, 21, 26, 24, 25, 22, 20]",8
2호선,강남역,5,1,1,"[12, 15, 13, 16, 18, 15, 14, 11]",8
2호선,강남역,6,0,0,"[52, 67, 63, 67, 72, 61, 59, 56]",1
2호선,강남역,6,0,1,"[24, 25, 27, 31, 35, 30, 28, 23]",8
2호선,강남역,6,1,0,"[21, 21, 21, 26, 24, 25, 22, 20]",8
2호선,강남역,6,1,1,"[12, 15, 13, 16, 18, 15, 14, 11]",8
2호선,강남역,7,0,0,"[54, 63, 59, 65, 56, 63, 61, 50]",8
2호선,강남역,7,0,1,"[24, 29, 29, 34, 32, 30, 30, 24]",1
2호선,강남역,7,1,0,"[17, 22, 26, 30, 27, 27, 29, 26]",1
2호선,강남역,7,1,1,"[13, 15, 15, 18, 17, 16, 15, 14]",1
2호선,강남역,8,0,0,"[55, 60, 59, 59, 54, 54, 60, 53]",8
2호선,강남역,8,0,1,"[24, 30, 31, 33, 29, 29, 31, 24]",1
2호선,강남역,8,1,0,"[49, 56, 62, 65, 58, 58, 67, 61]",1
2호선,강남역,8,1,1,"[16, 20, 21, 22, 21, 19, 21, 17]",1
2호선,강남역,9,0,0,"[82, 103, 109, 135, 115, 110, 116, 99]",1
2호선,강남역,9,0,1,"[47, 59, 61, 73, 64, 61, 63, 53]",1
2호선,강남역,9,1,0,"[36, 41, 38, 51, 46, 49, 45, 42]",1
2호선,강남역,9,1,1,"[30, 34, 35, 40, 34, 36, 34, 30]",1
2호선,강남역,10,0,0,"[39, 48, 55, 68, 67, 60, 58, 49]",1
2호선,강남역,10,0,1,"[49, 61, 63, 92, 95, 75, 68, 54]",1
2호선,강남역,10,1,0,"[27, 31, 36, 39, 39, 43, 35, 34]",1
2호선,강남역,10,1,1,"[24, 24, 28, 36, 41, 42, 34, 30]",1
2호선,강남역,11,0,0,"[39, 48, 55, 68, 67, 60, 58, 49]",1
2호선,강남역,11,0,1,"[47, 62, 62, 78, 95, 77, 72, 55]",1
2호선,강남역,11,1,0,"[26, 31, 36, 40, 41, 43, 37, 33]",1
2호선,강남역,11,1,1,"[25, 31, 35, 43, 44, 42, 39, 31]",1
2호선,강남역,12,0,0,"[33, 37, 44, 58, 56, 52, 48, 41]",1
2호선,강남역,12,0,1,"[49, 52, 66, 81, 93, 75, 69, 58]",1
2호선,강남역,12,1,0,"[31, 35, 39, 49, 47, 46, 45, 38]",1
2호선,강남역,12,1,1,"[30, 40, 41, 51, 51, 54, 48, 40]",1
2호선,강남역,13,0,0,"[33, 37, 44, 58, 56, 52, 48, 41]",1
2호선,강남역,13,0,1,"[46, 59, 68, 90, 87, 78, 71, 62]",1
2호선,강남역,13,1,0,"[35, 40, 45, 51, 50, 50, 48, 42]",1
2호선,강남역,13,1,1,"[33, 43, 49, 55, 56, 56, 53, 45]",1
2호선,강남역,14,0,0,"[28, 39, 46, 53, 53, 50, 47, 41]",1
2호선,강남역,14,0,1,"[44, 54, 67, 82, 89, 68, 62, 54]",1
2호선,강남역,14,1,0,"[40, 46, 52, 53, 55, 55, 52, 46]",1
