호선,역명,요일,시간,분,상하행,key,실제칸값,예측칸값,로스율(상대)_1칸
8호선,천호역,MON,6,0,1,천호역_6_1_0,21,64,204.76190476190476
8호선,천호역,MON,6,10,1,천호역_6_1_0,63,64,1.5873015873015872
8호선,천호역,MON,6,20,1,천호역_6_1_0,66,64,3.0303030303030303
8호선,천호역,MON,6,30,1,천호역_6_1_0,72,64,11.11111111111111
8호선,천호역,MON,6,40,1,천호역_6_1_0,74,64,13.513513513513514
8호선,천호역,MON,6,50,1,천호역_6_1_0,59,64,8.47457627118644
8호선,천호역,MON,6,0,0,천호역_6_0_0,21,15,28.57142857142857
8호선,천호역,MON,6,10,0,천호역_6_0_0,13,15,15.384615384615385
8호선,천호역,MON,6,20,0,천호역_6_0_0,13,15,15.384615384615385
8호선,천호역,MON,6,30,0,천호역_6_0_0,15,15,0.0
8호선,천호역,MON,6,40,0,천호역_6_0_0,15,15,0.0
8호선,천호역,MON,6,50,0,천호역_6_0_0,19,15,21.052631578947366
8호선,천호역,MON,6,0,1,천호역_6_1_0,50,64,28.000000000000004
8호선,천호역,MON,6,10,1,천호역_6_1_0,63,64,1.5873015873015872
8호선,천호역,MON,6,20,1,천호역_6_1_0,66,64,3.0303030303030303
8호선,천호역,MON,6,30,1,천호역_6_1_0,72,64,11.11111111111111
8호선,천호역,MON,6,40,1,천호역_6_1_0,74,64,13.513513513513514
8호선,천호역,MON,6,50,1,천호역_6_1_0,59,64,8.47457627118644
8호선,천호역,MON,6,0,0,천호역_6_0_0,21,15,28.57142857142857
8호선,천호역,MON,6,10,0,천호역_6_0_0,13,15,15.384615384615385
8호선,천호역,MON,6,20,0,천호역_6_0_0,13,15,15.384615384615385
8호선,천호역,MON,6,30,0,천호역_6_0_0,15,15,0.0
8호선,천호역,MON,6,40,0,천호역_6_0_0,15,15,0.0
8호선,천호역,MON,6,50,0,천호역_6_0_0,19,15,21.052631578947366
8호선,천호역,MON,6,0,1,천호역_6_1_0,50,64,28.000000000000004
8호선,천호역,MON,6,10,1,천호역_6_1_0,63,64,1.5873015873015872
8호선,천호역,MON,6,20,1,천호역_6_1_0,66,64,3.0303030303030303
8호선,천호역,MON,6,30,1,천호역_6_1_0,72,64,11.11111111111111
8호선,천호역,MON,6,40,1,천호역_6_1_0,74,64,13.513513513513514
8호선,천호역,MON,6,50,1,천호역_6_1_0,59,64,8.47457627118644
