연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
434.0,평일,7,2711,장암,하행,1.4,5.4,12.6,7.6,3.0,1.4,1.0,1.0,1.2,1.0,1.2,1.6,2.0,1.5,0.8,0.5,0.7,0.4,0.1,0.0
435.0,평일,7,2712,도봉산,상행,0.2,0.7,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.3,0.3,0.4,0.6,1.0,0.6,0.4,0.4,0.4,0.1,0.2
436.0,평일,7,2712,도봉산,하행,5.2,12.4,23.4,23.6,19.4,10.6,9.4,9.4,8.8,8.7,9.2,11.2,9.0,10.6,6.2,4.2,4.3,4.0,2.0,0.5
437.0,평일,7,2713,수락산,상행,4.2,7.7,10.8,11.0,5.6,5.6,7.6,7.9,7.8,7.9,9.6,12.2,17.6,23.5,14.0,12.5,12.2,11.4,6.5,3.3
438.0,평일,7,2713,수락산,하행,8.2,18.5,31.8,32.3,27.0,14.9,12.8,12.8,12.5,12.0,12.4,14.4,11.6,13.5,7.7,5.4,5.5,5.0,2.6,0.6
439.0,평일,7,2714,마들,상행,4.4,9.2,11.6,13.8,7.0,7.6,10.2,10.8,10.4,10.8,13.5,17.2,25.2,32.8,21.2,18.4,18.6,17.0,9.6,5.8
440.0,평일,7,2714,마들,하행,13.4,25.0,43.2,45.0,37.4,19.6,16.4,16.6,16.8,14.6,14.9,17.0,13.2,15.4,9.2,6.4,6.2,5.7,3.2,1.4
441.0,평일,7,2715,노원,상행,4.6,9.8,13.4,14.2,8.1,8.6,12.0,13.0,13.1,13.7,17.2,22.4,33.5,43.9,29.4,25.1,25.8,23.7,13.6,9.2
442.0,평일,7,2715,노원,하행,15.7,29.6,51.4,54.2,44.0,25.1,21.6,22.6,22.4,20.3,21.4,24.6,20.6,24.0,15.2,13.3,13.4,14.5,7.2,4.8
443.0,평일,7,2716,중계,상행,6.3,14.2,21.4,25.8,14.2,13.8,17.2,19.0,19.8,20.2,24.9,32.9,45.4,60.0,35.2,30.2,31.2,27.4,15.2,11.4
444.0,평일,7,2716,중계,하행,18.8,34.9,61.2,63.4,53.5,30.0,24.6,26.4,24.6,22.3,23.0,27.2,22.8,25.1,15.8,13.9,14.4,15.2,7.4,4.8
445.0,평일,7,2717,하계,상행,6.2,15.0,23.2,27.0,14.4,14.3,18.0,20.2,21.1,21.7,26.8,35.8,51.2,69.8,42.2,36.6,35.6,33.4,18.5,14.0
446.0,평일,7,2717,하계,하행,21.8,39.6,73.8,74.9,61.0,34.2,28.2,29.8,27.2,24.6,25.7,31.5,26.5,27.2,17.2,15.1,15.5,17.6,7.7,4.8
447.0,평일,7,2718,공릉,상행,6.0,16.4,25.0,28.4,15.2,14.9,19.0,21.7,23.6,23.5,29.6,39.6,58.3,82.0,47.5,43.1,43.6,40.4,23.2,16.8
448.0,평일,7,2718,공릉,하행,26.9,43.2,78.8,79.3,65.0,36.0,29.8,33.4,29.4,26.2,27.0,33.3,29.2,29.1,17.7,16.0,16.8,19.2,8.8,5.0
449.0,평일,7,2719,태릉입구,상행,5.6,18.1,26.5,31.6,16.2,16.0,20.1,23.0,25.4,25.5,31.5,43.4,65.8,87.6,52.0,46.5,47.2,43.8,26.0,13.8
450.0,평일,7,2719,태릉입구,하행,19.8,43.2,78.4,77.8,64.6,36.2,29.0,32.9,29.0,26.2,27.7,34.6,31.0,31.4,19.5,17.0,17.4,19.9,9.3,5.2
451.0,평일,7,2720,먹골,상행,12.0,19.3,27.6,33.0,17.5,16.2,21.7,22.6,24.6,25.1,30.7,42.3,64.1,85.2,51.2,46.0,47.2,44.4,26.4,15.2
452.0,평일,7,2720,먹골,하행,22.6,44.4,83.7,84.0,72.2,39.7,31.2,34.2,30.6,27.0,28.2,33.5,31.8,31.8,19.5,16.8,17.0,19.4,9.0,5.0
453.0,평일,7,2721,중화,상행,8.6,19.6,26.2,32.3,17.2,16.2,22.0,23.0,25.2,25.9,32.1,44.7,68.2,91.2,55.0,49.0,51.0,46.3,27.5,16.8
454.0,평일,7,2721,중화,하행,25.8,48.2,87.9,90.5,75.3,41.8,32.6,35.4,31.9,27.7,28.8,34.3,33.4,31.7,19.9,17.0,17.3,19.2,8.6,4.8
455.0,평일,7,2722,상봉,상행,8.0,19.4,27.8,31.8,17.1,16.5,22.8,23.8,26.2,26.4,35.8,48.3,74.0,98.6,56.9,53.6,55.2,49.8,30.1,18.8
456.0,평일,7,2722,상봉,하행,33.1,55.4,104.4,109.9,89.6,47.9,37.2,38.6,34.7,29.8,31.3,37.4,36.5,33.7,21.5,17.2,17.8,18.7,9.0,4.4
457.0,평일,7,2723,면목,상행,8.4,22.4,28.8,31.2,17.2,17.8,23.8,25.4,28.4,29.0,39.8,53.3,84.3,116.2,67.2,61.4,62.8,57.2,34.6,21.8
458.0,평일,7,2723,면목,하행,39.5,58.6,111.1,119.6,98.8,54.2,39.2,40.0,36.6,31.0,32.1,38.0,38.0,33.8,21.6,17.5,17.3,19.4,8.8,4.4
459.0,평일,7,2724,사가정,상행,7.3,22.6,27.4,31.4,17.8,18.6,24.0,26.0,29.2,30.0,42.0,56.7,89.6,122.5,72.5,65.0,69.8,62.6,38.3,24.7
460.0,평일,7,2724,사가정,하행,44.4,63.7,120.2,129.6,105.8,57.6,41.2,41.6,38.0,32.0,32.7,38.8,39.3,32.8,21.6,17.4,17.2,19.0,9.4,4.8
461.0,평일,7,2725,용마산,상행,6.2,22.2,25.8,30.6,17.5,18.9,24.4,26.2,30.2,31.2,44.8,60.6,93.1,137.6,79.9,68.6,73.4,67.2,39.2,27.2
462.0,평일,7,2725,용마산,하행,47.0,66.5,122.8,132.2,109.4,59.0,42.2,42.4,38.6,32.4,32.9,39.2,39.9,33.6,22.2,17.2,17.2,18.7,9.2,4.6
463.0,평일,7,2726,중곡,상행,5.6,22.0,26.1,30.2,17.6,19.3,24.4,27.4,29.8,33.7,46.3,64.4,99.2,138.1,81.8,70.8,76.5,69.8,39.6,24.6
464.0,평일,7,2726,중곡,하행,49.7,69.9,127.0,139.5,117.8,61.9,44.4,44.5,40.8,34.0,34.5,42.2,42.9,35.8,23.1,17.8,18.0,19.1,9.2,4.4
