연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
438.0,평일,7,2711,장암,하행,1.6,6.2,13.6,7.9,3.5,1.4,1.1,1.0,1.2,1.4,1.3,1.6,1.6,1.6,0.8,0.5,0.4,0.4,0.2,0.0
439.0,평일,7,2712,도봉산,상행,0.4,1.0,0.4,0.4,0.4,0.3,0.5,0.5,0.4,0.3,0.3,0.4,0.8,1.2,0.6,0.4,0.4,0.4,0.1,0.2
440.0,평일,7,2712,도봉산,하행,5.5,13.8,23.0,24.8,19.6,11.0,9.5,9.6,9.3,9.1,9.8,11.2,9.0,10.3,6.0,4.2,4.0,4.2,1.9,0.6
441.0,평일,7,2713,수락산,상행,4.0,7.9,10.8,11.2,5.5,5.4,7.5,8.2,8.2,8.3,10.2,12.7,18.1,24.2,13.2,12.9,12.8,12.2,7.5,3.5
442.0,평일,7,2713,수락산,하행,8.7,20.0,31.0,33.2,27.4,15.6,13.2,13.4,13.0,12.4,13.4,14.6,11.7,12.8,7.4,5.3,5.2,4.9,3.0,0.6
443.0,평일,7,2714,마들,상행,4.4,9.4,11.7,13.8,6.8,7.5,10.1,11.0,10.8,10.8,14.4,17.8,25.5,33.7,19.7,19.0,19.0,17.8,11.1,6.2
444.0,평일,7,2714,마들,하행,14.0,26.7,42.0,45.0,37.4,20.8,17.0,17.8,17.5,15.2,16.3,17.4,13.2,15.1,9.0,6.2,6.0,5.7,3.4,1.4
445.0,평일,7,2715,노원,상행,4.5,10.0,13.7,14.6,7.8,8.6,11.9,13.2,13.4,14.0,18.4,23.5,34.0,45.1,27.2,25.8,26.1,25.0,15.6,9.5
446.0,평일,7,2715,노원,하행,16.6,31.5,50.0,54.6,44.5,25.6,22.4,23.8,23.6,20.9,22.9,25.9,20.6,24.2,15.4,13.3,13.3,15.2,8.6,4.4
447.0,평일,7,2716,중계,상행,6.4,14.4,21.7,26.5,13.8,13.8,17.4,19.8,20.4,21.4,26.2,34.4,48.2,58.5,34.3,31.0,32.2,29.4,17.4,12.0
448.0,평일,7,2716,중계,하행,20.1,37.1,59.6,63.7,54.0,30.3,25.6,27.7,25.8,23.2,24.8,28.4,23.0,25.3,15.8,13.9,14.4,16.2,9.1,4.4
449.0,평일,7,2717,하계,상행,6.4,15.0,23.3,28.3,14.2,14.3,18.2,21.2,21.6,22.8,28.2,37.6,54.6,67.2,40.6,37.0,38.0,35.2,21.0,14.8
450.0,평일,7,2717,하계,하행,23.4,42.6,71.5,74.0,62.0,34.8,29.2,31.0,28.4,25.4,27.6,32.9,27.1,27.2,17.2,15.4,15.4,18.3,9.4,4.4
451.0,평일,7,2718,공릉,상행,6.4,16.4,25.4,29.9,14.9,15.1,19.2,22.8,24.2,24.8,30.4,41.6,61.6,77.8,48.2,43.2,45.2,42.6,25.9,16.8
452.0,평일,7,2718,공릉,하행,29.0,46.2,76.8,78.3,66.1,36.7,30.9,35.2,30.8,27.0,29.0,34.8,30.4,28.8,17.8,16.2,16.8,20.0,10.4,4.4
453.0,평일,7,2719,태릉입구,상행,5.8,17.7,26.6,33.6,16.0,16.0,20.7,24.2,26.6,26.4,32.6,44.3,68.5,84.7,51.5,46.6,48.7,46.2,29.2,14.2
