연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
801,평일,6,2648,봉화산,하행,1.3,2.3,2.8,2.7,1.2,0.9,1.6,1.4,2.1,1.8,2.8,2.8,5.2,7.6,2.3,2.2,1.5,2.1,1.5,0.2
802,평일,6,2649,신내,상행,2,6.4,14.8,15.8,13.3,7,7,6.8,5.1,5.6,6.4,5.6,7.8,8.2,5.2,2.4,2.1,1.4,0.6,0.3
803,평일,6,2649,신내,하행,0,0.2,1.5,2.9,4.9,4.2,2.2,2.8,3.2,3.6,4,5,7.2,5.9,6.2,4.5,2.8,3,1,0.3
804,평일,6,2611,응암,상행,6,10,16.5,19.2,14.8,14.6,15,16.5,16.6,16,20.8,26,28.4,44.6,25.9,19.4,20.9,20,12.2,5.6
805,평일,6,2611,응암,하행,13.5,24.4,53.7,54,29.9,23.3,20.3,20.9,20.4,16.8,19.5,25.8,22.3,21.3,12.2,10.3,9.8,9.5,4.8,1.2
806,평일,6,2612,역촌,하행,4.8,11.2,20.5,21.3,16.4,15.4,15.6,16.8,16.8,15.8,19.8,24.2,26.2,39.9,23.2,17.4,18.6,17.4,10.4,3.8
807,평일,6,2613,불광,하행,2.2,5.2,10.1,9.6,7,7.8,8.6,9.6,10,10.2,13.2,16.5,16.6,24.8,15.9,11.4,12,11.1,6.9,2.8
808,평일,6,2614,독바위,하행,2.2,6.6,13.7,12.2,8.2,8.8,9,9.8,10.2,10.4,12.3,15.6,15.1,21.7,13.6,9.8,10,9.2,5.5,2.3
809,평일,6,2615,연신내,하행,5.8,13.8,31.2,29.4,18.8,16,15.4,16.8,16.8,16,20.2,26.2,23.6,26.9,17.2,13.4,12.8,11.7,6.8,2.6
810,평일,6,2616,구산,하행,8.8,17.2,37.7,38,23.2,19.2,17.4,18.5,17.8,16,20,25,21.8,22.2,13.5,11.2,10.4,9.8,5.6,1.8
811,평일,6,2617,새절,상행,4,8.9,13.4,15.4,13.1,14.1,14.3,16,16.9,18.2,23.8,31.8,37.3,61.2,38.3,28.4,30.2,28.8,17.3,6.6
812,평일,6,2617,새절,하행,13.2,30.8,61,66.3,37.2,27.1,23,23.6,22.6,18.6,20.9,28.6,25.4,23,12.4,10.2,9.9,9.4,4.8,1.6
813,평일,6,2618,증산,상행,3.2,9,12.2,15,14.6,14.3,15.1,17,19,20.7,27,36,44.8,76.4,47.6,34.8,36.6,35.2,21.5,9.5
814,평일,6,2618,증산,하행,15.6,35.3,69.4,76.7,41.6,30.7,25.3,25.8,25,20.6,22.2,29.8,26.8,24.1,12.8,10.8,10.4,9.2,5.1,1.6
815,평일,6,2619,디지털미디어시티,상행,2.6,9,11.2,14.5,15.5,15.1,16,17.8,20.2,22.6,30.8,40,50.3,86.8,54.8,40.8,42.6,40.9,25.3,11.3
816,평일,6,2619,디지털미디어시티,하행,13.7,32.8,70,76.8,43,31.6,26.4,25.8,26,20.8,21.2,28.6,30.4,31.3,15.2,11,10.4,9.4,5.8,2.2
817,평일,6,2620,월드컵경기장,상행,4,10.2,14.1,19.8,17,14.4,15.4,17.2,20.2,22.4,30.5,40.6,49,85.2,55.9,41.2,43.1,41.6,25.6,11
818,평일,6,2620,월드컵경기장,하행,13.7,31.6,68.1,79.2,44.6,32.2,26.2,25.8,25.3,20.4,21.3,29.2,32,31.6,15.6,11.4,10.8,9.8,6.2,2.3
819,평일,6,2621,마포구청,상행,4,10.6,14.4,19.7,17.2,14.4,15.8,17.6,20.6,22.9,30.4,40.6,49.2,86.4,56,42,43.2,42,25.4,10.3
820,평일,6,2621,마포구청,하행,15.4,35.2,76.5,88.6,50.6,37.2,30.9,29.9,28.8,23.7,24.2,31.3,35.6,37,17.3,12.5,11.9,10.4,6.5,2.2
821,평일,6,2622,망원,상행,3.8,11,14.7,22.3,19.5,16,17.4,20.4,23.4,25.6,35.2,45.1,55.2,97.1,61.2,47.1,48.5,46.8,29,10.6
822,평일,6,2622,망원,하행,19,37.5,81.5,93.3,52.3,39.4,34,32.8,32.4,27.6,27.6,34.6,40,41.4,21.2,16.4,15.4,13.8,7.8,2.5
823,평일,6,2623,합정,상행,3.4,11,15.2,24.2,24.4,20.7,22,25.5,29.8,30.8,41.8,51.6,60.8,102.7,66.4,49.8,51.2,49.6,28.8,12
824,평일,6,2623,합정,하행,11.6,20.2,44.3,53.2,33.3,25.4,22.7,22.4,23.6,19.5,19.8,23,27.7,31.6,16.7,13.4,13.1,13,8.4,2.8
825,평일,6,2624,상수,상행,2.4,6.6,11,18.6,18.4,15.1,16.2,18.5,22,21.7,29.6,37.4,41.2,64.4,40,30.3,31.4,30.3,18,8.6
826,평일,6,2624,상수,하행,12.2,20.6,45.1,51.8,29,23.1,21.5,21.4,22.2,19.6,20.5,24.8,30.8,32.4,17.6,15,16,16.8,11.5,3.2
827,평일,6,2625,광흥창,상행,2.2,6.5,11.2,20.4,25,18.2,18.5,20.2,23.8,22.5,30.8,37,43,67.5,41.1,29.6,30.2,29,17.1,9.1
828,평일,6,2625,광흥창,하행,12.6,21,45.3,51.2,28.4,23.2,22,21.7,21.8,19.6,20.2,24.8,31.8,33.9,18.1,14.9,15.9,17,11.4,3
829,평일,6,2626,대흥,상행,1.8,6.4,10.6,21,24.7,18.2,17.4,20.2,23.6,21.7,29.8,36.3,42.4,64.8,41.4,30,30.8,30.4,17.6,10.1
830,평일,6,2626,대흥,하행,13,21.6,45.1,52.2,28.3,23.2,22,22.2,22.8,20.5,21.5,28,34.4,37.2,19.4,16.4,18.2,19.4,12.2,3.5
831,평일,6,2627,공덕,상행,2,6.8,12.1,25.6,28.4,23.4,19.7,21.2,25,22.5,30.2,36.1,43,66.4,43.3,30.4,31.4,29.6,17.3,8.6
832,평일,6,2627,공덕,하행,8.6,22.5,44.3,50.8,31.2,27.2,26.9,25.5,26.6,24.3,25.6,34.7,49.2,60.2,28.4,23,25.6,24.9,15.6,4.8
833,평일,6,2628,효창공원앞,상행,3.4,11.4,25.9,42.3,38.2,26.2,22.6,23.8,27.6,24.5,32.8,39.5,46.8,67.6,45.2,32.4,33.6,32.4,18.6,10.4
834,평일,6,2628,효창공원앞,하행,7.6,23.3,46,52.4,31.4,27.3,27.8,26,27.2,24.4,26.2,34.2,50.2,61.8,29.6,22.8,24.8,24.4,15,5.6
835,평일,6,2629,삼각지,상행,3.3,11.4,26,44.4,39.4,27.1,23.3,23.6,26.9,24.8,31.8,40.6,46.8,67.1,44,33.1,34.8,33.4,19.6,11.2
836,평일,6,2629,삼각지,하행,6,18.6,34.9,40,27.4,24,24.6,24,23.3,22.2,23.3,30.2,44.5,55.1,27,20.8,23,22.4,14.5,5
837,평일,6,2630,녹사평,상행,3.6,12.1,25.9,39.3,34.2,22,19.4,20.8,22.8,21.2,27.8,37,38.8,52.4,36.7,27.8,29.1,30,16,10.5
838,평일,6,2630,녹사평,하행,6.1,17.8,33,38.2,26.3,24,23.8,22.5,22.4,21.8,22.8,30.3,43,54.7,28.2,21.4,22.9,23,15,4.8
839,평일,6,2631,이태원,상행,4.2,12,26.4,39.9,33.8,21.2,19.2,20.4,22.6,21,28,35.8,38.5,50,35.5,26.6,27,29.2,14.4,7.6
840,평일,6,2631,이태원,하행,6.2,14.6,31.2,35.2,23.4,22,23,21.8,22.4,21.2,23.4,31.9,44.6,55.4,28.6,21.8,23.8,24.6,15.8,6
841,평일,6,2632,한강진,상행,4.2,13.6,27.7,41.8,37.8,22.7,20.2,21,23,21,27.2,33,38.1,47.8,33.5,24.8,25.5,27.4,13.8,6.8
842,평일,6,2632,한강진,하행,3.8,12.2,25.2,29.9,20.2,19,21.6,20.2,20.5,20.4,23.8,33,47.5,58,30.5,24.1,26.2,29.2,16.5,5.6
843,평일,6,2633,버티고개,상행,6,15,30.3,46.5,41.6,25.7,22.4,23,25.2,22.8,28.4,32.2,35,44.4,29.2,21.7,22.6,22,12.6,7
844,평일,6,2633,버티고개,하행,4,12.4,25.8,30.2,20.2,19.2,21.5,20.2,20.8,20.6,23.8,33,48.2,56.6,30.8,23.4,25.9,28.8,16.2,7.2
845,평일,6,2634,약수,상행,5.9,15.8,30.8,45.8,40.8,24.6,21.9,24.1,25.2,23.3,28.7,33,35.1,44.1,29.6,22.2,23,22,12.8,7.2
846,평일,6,2634,약수,하행,2.8,12.5,22.6,31.4,20.1,22.9,25.7,22.6,24.8,24.2,28.6,38.7,58.4,73.7,42.6,30.6,33.6,35.6,19.9,8
847,평일,6,2635,청구,상행,8.3,21.2,41.8,64.8,55.4,30.6,25.2,28.1,28.4,26.3,32.2,36,37.2,41.4,26.2,20.9,22.2,21.8,12.8,7.2
848,평일,6,2635,청구,하행,2.8,11.6,21.3,32.4,20.8,24.4,29,23,25.1,24.7,28,36.4,58.2,75.8,43,29.7,32.1,33.6,19.5,7.6
849,평일,6,2636,신당,상행,8.5,20.8,44.1,67,54.5,29.1,24.2,27.6,28.6,26,32.5,36.5,36.8,40.2,24.4,20.2,21.8,21.4,12.4,7.2
850,평일,6,2636,신당,하행,4.2,12.8,21,35.4,22.1,27,33.3,26.1,29,27.8,32.2,43,69.8,94.2,53.8,37.8,41.1,43.2,25.4,10.7
851,평일,6,2637,동묘앞,상행,10,26,56.3,86.8,69.3,36.3,29.4,33.1,34,30.2,36.7,43,43,44.7,27.4,22.2,24.2,23.4,13,7.4
852,평일,6,2637,동묘앞,하행,4.9,13.2,21.4,35.7,23.4,30.6,36,26.5,29.6,29.1,33.6,45.8,78.8,102.2,62,40.4,44.3,46.2,28,12.6
853,평일,6,2638,창신,상행,10.3,30,64.3,97.4,72.4,39.8,32,35.6,35.2,30.4,37.6,45.2,45.4,44.7,27.4,23,25.9,24.6,13,7.5
854,평일,6,2638,창신,하행,5.2,13,20,35,22.6,29.5,34,25.2,29.2,29,32.2,45.2,73.6,99.9,60.2,40.2,42.2,44.7,27,12.3
855,평일,6,2639,보문,상행,9.6,28.8,64.5,90.8,70.3,38.4,31.2,34.8,34.7,30.4,37,44.8,44.8,43.6,27,22.5,25.8,23.6,13.6,6.3
856,평일,6,2639,보문,하행,5.2,12.6,20,35.5,21.4,29.7,32.6,24.6,29.3,28.1,31.2,43.3,67,90.2,53.2,35.6,37.9,39.8,25,10.8
857,평일,6,2640,안암,상행,8.8,25.5,56.8,81.4,61.4,34.9,30,32.4,33.3,31.7,34.8,43.6,43.4,40,26,22.2,25.2,22.8,13.2,6.6
858,평일,6,2640,안암,하행,3.2,10.6,14.8,23.4,14.7,18.2,22.5,20,22.4,23.9,30.6,42.2,66.6,85.8,50.8,34,36.3,38.6,23.5,9.7
859,평일,6,2641,고려대,상행,10.9,26.4,57.4,84.4,63.2,36.3,28.1,29.5,29.4,25.2,26.8,29.8,30.2,29.4,17.7,14.3,17.1,13.2,7,3.5
860,평일,6,2641,고려대,하행,3.4,9.9,12.6,20,12.8,14,20.3,18.2,19.8,22.2,28.8,40.8,63.4,80.8,50.4,32,34.3,35.8,21.4,8.6
861,평일,6,2642,월곡,상행,10.2,25.9,58.3,80.4,57,34.9,26,27.4,26.8,22.3,23.8,25.4,25.6,24.6,15.7,12.1,12.6,10.8,5.9,2.4
862,평일,6,2642,월곡,하행,3.6,9.9,13.4,17.7,10.6,11,16.8,16.3,17.6,20.2,25.8,37,53.6,72,44.2,27.6,30.8,31.8,18.8,7.7
863,평일,6,2643,상월곡,상행,8.6,23.1,52,73,51.2,32.2,23.9,25,23,19.8,20.8,21.2,22,21.4,14.3,10.2,10.8,10,5.7,2.4
864,평일,6,2643,상월곡,하행,4,10.2,14.4,17.2,9.8,9.6,15.6,15.6,16.8,19.4,24.4,35.4,50.6,67.9,41.2,25.4,28.8,29.3,17.1,7.2
865,평일,6,2644,돌곶이,상행,9,21.9,48,68.1,48.1,31,22.8,23.6,21.7,18.5,19.5,19.5,20.8,20.7,13.8,10.1,10,9.6,5.7,2.4
866,평일,6,2644,돌곶이,하행,4.8,10.4,15.3,18.2,9.4,9.2,15.1,14.4,15.6,17.8,22.5,32.5,46.4,60.4,38.2,22.7,25.5,25.7,15.7,6.2
867,평일,6,2645,석계,상행,7.4,19.2,40.5,61.7,43.2,26.7,20.8,21.5,20.4,17.6,18.8,18.5,20.3,20.2,13.5,10,9.5,9.2,5.8,2.7
868,평일,6,2645,석계,하행,5.7,11.4,18.1,21.4,10.6,9.6,15,15.2,16.4,17.8,22.4,30,45,57.3,36.3,21,24.2,24,14.8,5.8
869,평일,6,2646,태릉입구,상행,6.4,17.8,39.1,56.5,39.9,24.9,21.5,21.4,20.6,18.2,19.1,19.6,21.7,22.5,15.8,11.6,11,10.6,6.6,2.8
870,평일,6,2646,태릉입구,하행,2.9,6.2,9.6,12.8,5.3,5,7.8,7.6,8.8,9.8,12.2,16.2,24.1,32.4,21.2,12.1,13.6,14.3,8,3
871,평일,6,2647,화랑대,상행,4.2,12.5,27.4,34,23.5,15.2,12.6,12,11.4,10.2,12.6,11,13,12,6.7,4.6,4.2,3.6,2,0.7
872,평일,6,2647,화랑대,하행,1.9,3.8,5.8,6,2.2,2.3,3.6,4.4,5.4,5.8,7.7,10,13.8,19.1,12.1,6.7,7.6,7.8,4.6,1.6
873,평일,6,2648,봉화산,상행,2,6.4,15.5,18,12.8,7.6,7.2,6.3,6,5.1,5.5,4.3,5.5,6.2,3.7,2.8,2.3,2.1,1,0.6
874,평일,6,2648,봉화산,하행,1.2,2.4,2.8,2.7,1,0.8,1.4,1.3,2.2,1.9,3,3,5.4,8.5,2.4,2.4,1.6,2.2,1.6,0.2
875,평일,6,2649,신내,상행,2,7,15.8,16.3,12.5,7.6,7.4,6.6,5,5.6,5.8,5.8,7,7.6,5.4,2.5,2.2,1.6,0.6,0.4
876,평일,6,2649,신내,하행,0,0.3,1.5,2.8,4.3,3.4,2,2.2,3.2,3.9,4.4,5.6,7.2,6.4,6.8,5,3,2.9,1,0.2
877,주말,6,2611,응암,상행,3.8,6.4,8.6,14.4,27,22.2,18.2,24.1,22.9,19.6,26.3,27.3,21.8,26.4,20.6,15.2,21.8,17.4,12.2,0
878,주말,6,2611,응암,하행,7.3,8.9,13,21.6,27.4,29.6,30.2,30.4,32.3,30.5,29.1,32.9,26.9,22.9,16.4,13.4,11.2,10,4.8,0
