연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
25.0,평일,2,206,신당,하행,9.2,23.8,69.2,82.4,43.0,33.6,37.9,38.5,40.2,40.0,46.1,48.3,59.1,82.4,50.7,54.0,43.8,49.8,21.9,8.2
77.0,평일,2,207,상왕십리,상행,10.6,30.3,47.8,79.4,52.4,39.6,44.6,49.6,50.5,48.4,53.5,61.4,80.6,77.9,39.2,28.4,39.8,41.0,28.9,10.2
24.0,평일,2,207,상왕십리,하행,8.1,23.0,65.2,78.3,42.0,33.2,38.5,38.7,39.0,41.2,47.2,49.3,62.0,86.4,53.0,56.2,45.4,49.0,22.4,7.6
76.0,평일,2,208,왕십리,상행,9.5,24.6,38.2,73.9,47.6,36.3,38.6,42.8,43.2,40.4,40.1,44.6,53.3,52.4,26.0,18.8,25.0,27.0,19.6,7.5
23.0,평일,2,208,왕십리,하행,7.2,21.6,60.9,72.4,40.2,32.2,37.6,38.0,38.6,41.0,47.7,49.4,63.6,85.6,55.0,56.8,47.6,49.5,22.7,8.2
75.0,평일,2,209,한양대,상행,9.4,22.8,35.3,63.9,42.0,27.2,36.4,37.0,39.2,38.6,41.8,46.4,56.2,54.0,26.8,19.0,26.4,27.0,19.6,7.4
22.0,평일,2,209,한양대,하행,5.4,13.0,39.2,42.6,25.7,22.3,26.9,28.3,30.4,33.4,40.0,42.3,54.4,76.4,46.5,51.0,43.1,42.6,18.2,6.2
74.0,평일,2,210,뚝섬,상행,9.1,20.4,30.2,52.4,32.2,23.6,33.2,34.6,36.8,37.2,41.2,45.8,58.4,59.3,28.7,20.6,28.2,28.2,20.7,7.7
21.0,평일,2,210,뚝섬,하행,4.2,14.6,39.2,44.3,28.6,25.2,25.5,30.0,29.4,30.4,36.0,36.7,49.0,71.1,43.2,46.4,39.6,36.6,17.6,4.9
116.0,평일,2,211,성수,상행,4.2,11.9,20.6,38.9,27.6,21.2,25.8,28.5,31.8,33.8,38.6,41.6,49.4,70.9,38.9,33.0,43.1,35.8,22.6,14.9
63.0,평일,2,211,성수,하행,3.9,16.9,40.4,49.6,33.8,26.6,26.4,30.2,29.0,29.3,33.8,34.1,43.3,60.0,38.0,40.6,34.6,33.5,16.6,4.8
115.0,평일,2,212,건대입구,상행,5.4,16.6,27.8,52.5,35.6,23.6,27.0,29.1,30.9,32.0,35.4,37.3,43.1,54.3,30.7,28.0,35.0,31.2,18.8,15.0
62.0,평일,2,212,건대입구,하행,13.6,28.0,54.3,65.9,36.8,25.1,30.2,33.2,30.7,29.8,33.0,39.3,44.8,49.1,29.8,26.2,30.0,29.2,15.8,4.2
114.0,평일,2,213,구의,상행,7.2,17.0,29.2,57.6,40.0,24.1,27.4,28.3,29.9,30.5,33.5,35.2,40.2,49.6,26.6,24.6,30.6,27.0,16.1,12.3
61.0,평일,2,213,구의,하행,12.2,22.6,46.8,50.8,30.6,20.9,28.2,30.4,28.2,28.6,33.8,40.9,48.0,59.2,35.6,30.0,35.2,31.4,15.6,4.7
113.0,평일,2,214,강변,상행,8.2,18.0,33.4,63.3,44.2,27.0,27.8,28.6,29.7,29.2,32.7,33.4,38.4,46.1,25.4,22.8,28.8,25.0,15.7,12.3
60.0,평일,2,214,강변,하행,7.6,20.0,39.8,42.6,26.7,19.2,26.5,28.6,26.8,27.9,33.8,40.3,48.6,61.4,38.0,32.2,39.3,32.0,17.1,5.6
112.0,평일,2,215,잠실나루,상행,8.0,17.5,33.0,64.2,44.3,27.7,28.6,28.6,29.6,29.6,33.7,35.0,39.4,44.6,23.9,22.4,27.0,23.7,14.7,11.0
59.0,평일,2,215,잠실나루,하행,8.6,18.4,34.9,36.6,23.8,17.2,24.6,28.0,26.4,27.6,34.8,42.4,51.0,63.7,39.0,33.8,40.6,35.8,16.9,5.8
