연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
19.0,평일,1,150,서울역,상행,35.75,31.450000000000003,34.3,31.75,26.65,26.55,25.7,32.1,42.25,25.950000000000003,17.549999999999997,17.55,17.1,10.7
20.0,평일,1,150,서울역,하행,19.35,19.65,25.9,27.9,32.65,40.7,53.849999999999994,69.5,95.19999999999999,43.65,37.400000000000006,33.05,35.7,16.9
17.0,평일,1,151,시청,상행,31.25,28.8,32.9,30.9,28.0,28.049999999999997,28.200000000000003,35.099999999999994,55.45,29.95,21.8,21.65,21.049999999999997,14.45
18.0,평일,1,151,시청,하행,19.65,19.299999999999997,25.15,27.6,32.85,40.2,46.75,63.35,91.05000000000001,38.25,33.2,31.0,28.65,14.8
15.0,평일,1,152,종각,상행,26.950000000000003,27.25,29.95,30.2,29.55,31.15,31.2,41.099999999999994,68.75,36.1,28.049999999999997,28.6,27.9,18.3
16.0,평일,1,152,종각,하행,21.85,20.45,25.549999999999997,27.6,31.35,37.35,43.25,55.099999999999994,67.15,29.549999999999997,25.799999999999997,24.450000000000003,23.25,12.600000000000001
13.0,평일,1,153,종로3가,상행,29.55,27.35,32.75,32.5,33.5,35.55,35.55,45.3,76.4,37.4,29.25,32.95,31.15,20.2
14.0,평일,1,153,종로3가,하행,25.25,22.15,26.1,27.549999999999997,30.1,35.35,38.65,43.75,47.55,22.200000000000003,18.4,16.5,15.8,9.15
11.0,평일,1,154,종로5가,상행,24.55,23.5,28.85,30.2,32.35,35.35,36.45,46.4,79.80000000000001,39.9,31.200000000000003,35.85,30.7,20.25
12.0,평일,1,154,종로5가,하행,31.0,25.15,32.6,31.1,34.25,37.1,40.2,44.5,45.45,21.700000000000003,17.55,15.5,14.0,10.25
9.0,평일,1,155,동대문,상행,22.95,23.6,27.55,32.25,31.35,35.099999999999994,38.05,48.0,80.05000000000001,39.0,31.200000000000003,35.8,30.549999999999997,21.5
10.0,평일,1,155,동대문,하행,32.75,25.15,31.35,30.35,29.5,32.95,34.900000000000006,37.25,35.65,16.95,13.65,12.8,11.75,9.35
5.0,평일,1,156,신설동,상행,18.950000000000003,22.7,23.3,27.35,27.65,32.05,32.0,48.4,69.35,36.25,25.8,31.65,31.6,18.450000000000003
6.0,평일,1,156,신설동,하행,30.35,22.15,28.4,27.25,26.6,28.75,33.65,32.3,30.3,14.45,11.65,10.75,9.45,8.350000000000001
3.0,평일,1,157,제기동,상행,15.45,17.65,19.1,22.5,25.1,27.7,30.55,45.599999999999994,69.6,37.05,25.45,30.5,29.95,17.55
4.0,평일,1,157,제기동,하행,30.4,20.8,27.200000000000003,25.75,25.799999999999997,27.5,31.45,28.3,25.450000000000003,12.85,10.7,9.850000000000001,8.8,9.1
1.0,평일,1,158,청량리,상행,12.2,14.2,16.55,18.25,21.05,23.75,28.9,37.5,62.5,32.95,23.1,26.1,27.4,16.950000000000003
2.0,평일,1,158,청량리,하행,29.6,18.9,22.5,24.55,19.200000000000003,23.0,26.75,25.75,22.450000000000003,11.55,9.55,9.7,7.95,9.0
7.0,평일,1,159,동묘앞,상행,20.450000000000003,21.05,24.799999999999997,27.65,28.5,31.75,35.650000000000006,43.55,72.1,36.45,28.35,31.4,29.25,19.55
8.0,평일,1,159,동묘앞,하행,31.95,25.5,31.35,30.15,30.0,32.15,35.45,34.35,34.150000000000006,16.35,13.05,11.85,10.65,8.55
41.0,평일,2,201,시청,상행,36.35,37.45,41.6,41.55,37.8,42.6,49.099999999999994,52.599999999999994,60.2,30.0,24.55,36.8,38.0,26.700000000000003
42.0,평일,2,201,시청,하행,27.150000000000002,33.15,32.45,36.95,39.15,44.900000000000006,49.9,72.9,106.5,57.099999999999994,57.150000000000006,48.95,59.1,28.6
39.0,평일,2,202,을지로입구,상행,30.650000000000002,35.45,38.0,43.35,40.8,45.3,52.5,63.0,77.3,37.0,31.85,43.8,43.099999999999994,31.25
40.0,평일,2,202,을지로입구,하행,27.9,31.5,33.15,35.5,37.4,42.05,45.95,67.55,93.9,49.7,53.75,44.2,55.0,26.6
37.0,평일,2,203,을지로3가,상행,29.55,33.9,36.8,41.25,39.55,44.0,51.65,65.9,76.19999999999999,38.1,29.7,45.65,43.099999999999994,33.75
38.0,평일,2,203,을지로3가,하행,32.65,34.75,34.2,37.0,36.7,40.4,42.650000000000006,59.1,78.3,41.6,41.95,37.3,44.4,21.35
35.0,평일,2,204,을지로4가,상행,29.15,33.95,37.3,42.45,41.05,47.05,56.2,72.19999999999999,83.8,41.9,30.95,47.55,45.3,33.849999999999994
36.0,평일,2,204,을지로4가,하행,31.700000000000003,33.05,32.45,34.95,33.75,37.1,40.8,52.05,66.9,37.900000000000006,40.4,34.05,40.35,18.85
33.0,평일,2,205,동대문역사문화공원,상행,34.55,39.150000000000006,43.8,48.8,46.75,52.05,61.45,78.1,83.6,40.45,29.55,43.2,42.5,30.95
34.0,평일,2,205,동대문역사문화공원,하행,33.1,34.65,34.85,35.4,35.150000000000006,38.400000000000006,40.85,49.65,65.5,36.65,40.1,33.95,40.8,18.799999999999997
31.0,평일,2,206,신당,상행,35.75,39.8,45.349999999999994,48.599999999999994,47.05,53.05,62.5,79.19999999999999,77.5,39.45,27.1,39.95,43.2,29.15
32.0,평일,2,206,신당,하행,35.099999999999994,36.8,38.35,38.6,39.25,44.25,46.15,56.75,80.35,47.65,50.4,42.85,47.849999999999994,22.049999999999997
29.0,평일,2,207,상왕십리,상행,35.55,40.099999999999994,45.4,48.4,46.75,52.65,61.35,77.05,76.1,38.25,26.049999999999997,38.25,41.25,27.35
30.0,평일,2,207,상왕십리,하행,35.1,36.650000000000006,38.8,37.45,39.9,45.75,46.95,59.65,83.75,49.599999999999994,51.650000000000006,45.349999999999994,46.65,22.9
27.0,평일,2,208,왕십리,상행,31.25,33.5,37.2,39.05,37.2,38.2,43.5,52.95,49.6,25.5,17.0,24.7,26.1,18.3
