연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
19.0,평일,1,150,서울역,상행,36.849999999999994,30.549999999999997,31.5,30.3,26.05,26.3,24.85,31.1,42.95,25.1,18.85,17.05,17.9,12.6
20.0,평일,1,150,서울역,하행,19.65,20.799999999999997,27.85,28.1,32.0,45.35,50.5,67.7,95.80000000000001,41.849999999999994,36.75,38.599999999999994,33.85,16.45
17.0,평일,1,151,시청,상행,33.45,29.0,29.849999999999998,29.200000000000003,25.9,27.1,27.85,35.0,57.15,28.35,22.75,21.1,21.6,15.7
18.0,평일,1,151,시청,하행,20.95,20.85,26.85,27.450000000000003,32.2,42.849999999999994,44.75,61.449999999999996,88.3,36.7,32.849999999999994,34.25,28.700000000000003,14.15
15.0,평일,1,152,종각,상행,29.1,27.35,27.450000000000003,28.9,27.8,30.15,31.0,40.849999999999994,72.75,34.5,29.7,28.75,28.25,20.35
16.0,평일,1,152,종각,하행,22.450000000000003,22.7,27.4,27.2,31.15,40.15,41.0,53.2,64.35,28.85,26.049999999999997,27.6,22.950000000000003,12.0
13.0,평일,1,153,종로3가,상행,31.1,27.0,29.5,30.6,30.2,33.95,34.95,44.0,77.30000000000001,37.1,30.9,33.6,31.55,23.200000000000003
14.0,평일,1,153,종로3가,하행,26.5,24.2,27.55,26.7,30.25,36.3,37.05,41.5,45.3,21.75,18.6,18.5,15.9,8.9
11.0,평일,1,154,종로5가,상행,25.35,24.2,26.4,28.8,29.65,33.4,35.4,44.9,82.19999999999999,38.0,32.65,36.8,30.85,22.85
12.0,평일,1,154,종로5가,하행,31.4,27.200000000000003,33.5,29.9,32.7,42.6,37.45,42.75,41.900000000000006,21.4,17.55,16.75,13.850000000000001,8.7
9.0,평일,1,155,동대문,상행,24.4,24.0,25.2,29.900000000000002,28.4,33.7,36.15,45.8,82.1,38.4,32.3,36.4,29.95,25.450000000000003
10.0,평일,1,155,동대문,하행,32.650000000000006,27.0,31.45,29.0,27.6,35.35,33.85,36.05,32.1,17.05,14.350000000000001,13.899999999999999,11.350000000000001,7.85
5.0,평일,1,156,신설동,상행,19.9,20.950000000000003,20.9,25.6,24.0,28.85,33.7,45.900000000000006,71.75,39.05,27.25,31.75,26.55,21.65
6.0,평일,1,156,신설동,하행,29.8,25.450000000000003,27.55,24.65,25.049999999999997,29.7,33.4,30.700000000000003,27.0,14.05,12.8,11.55,8.85,6.75
3.0,평일,1,157,제기동,상행,16.3,17.45,18.05,22.35,22.049999999999997,25.049999999999997,31.8,44.8,71.85,38.35,26.6,30.8,25.3,22.1
4.0,평일,1,157,제기동,하행,30.55,22.85,26.1,23.05,24.2,28.549999999999997,28.75,27.1,23.55,12.75,11.7,10.350000000000001,8.100000000000001,6.7
1.0,평일,1,158,청량리,상행,14.5,13.899999999999999,15.05,17.450000000000003,18.75,22.049999999999997,28.75,37.6,63.25,35.3,24.9,26.05,22.6,19.700000000000003
2.0,평일,1,158,청량리,하행,29.85,20.549999999999997,21.35,21.85,19.35,26.45,25.450000000000003,23.549999999999997,19.25,11.350000000000001,10.15,9.8,7.4,6.45
7.0,평일,1,159,동묘앞,상행,22.0,22.0,21.6,26.35,25.0,28.3,35.55,41.8,74.45,35.5,29.15,34.8,26.75,21.4
8.0,평일,1,159,동묘앞,하행,32.4,27.0,31.4,28.45,28.45,33.45,32.0,34.6,30.200000000000003,16.65,13.75,12.75,10.05,6.949999999999999
41.0,평일,2,201,시청,상행,35.0,38.6,41.4,40.95,37.85,40.85,47.0,51.75,58.400000000000006,28.950000000000003,23.7,36.45,38.5,28.45
42.0,평일,2,201,시청,하행,24.55,32.25,32.5,37.95,39.05,42.85,48.900000000000006,70.45,105.4,55.099999999999994,57.75,48.1,58.65,30.700000000000003
39.0,평일,2,202,을지로입구,상행,29.700000000000003,36.1,38.75,42.3,40.55,45.0,51.650000000000006,63.45,76.35,35.45,30.400000000000002,42.650000000000006,43.3,34.3
40.0,평일,2,202,을지로입구,하행,25.35,31.15,32.95,36.45,37.8,40.4,45.85,64.85,91.45,49.25,54.15,43.3,55.099999999999994,28.9
37.0,평일,2,203,을지로3가,상행,28.75,34.85,37.75,40.35,39.7,44.0,50.8,65.75,75.8,36.75,29.0,44.1,42.8,34.95
38.0,평일,2,203,을지로3가,하행,30.15,34.05,34.95,37.1,37.7,39.150000000000006,42.35,55.5,75.94999999999999,41.8,42.65,37.599999999999994,44.599999999999994,23.15
35.0,평일,2,204,을지로4가,상행,28.65,35.15,38.599999999999994,41.95,41.3,46.95,55.2,72.05,83.4,40.45,30.5,46.0,45.1,35.599999999999994
36.0,평일,2,204,을지로4가,하행,28.950000000000003,32.1,33.1,34.25,34.5,36.1,40.0,49.25,65.25,38.4,40.2,34.8,41.650000000000006,20.7
33.0,평일,2,205,동대문역사문화공원,상행,33.2,42.25,44.75,49.3,46.8,51.150000000000006,60.25,78.15,83.0,39.35,29.1,42.65,41.7,31.9
34.0,평일,2,205,동대문역사문화공원,하행,30.450000000000003,33.75,35.0,34.7,35.349999999999994,37.849999999999994,39.849999999999994,47.65,63.849999999999994,37.8,40.25,34.95,42.0,20.5
31.0,평일,2,206,신당,상행,34.4,42.85,46.05,48.45,46.8,51.7,61.3,78.19999999999999,77.25,38.15,27.25,39.35,41.599999999999994,31.25
32.0,평일,2,206,신당,하행,32.65,36.45,37.400000000000006,37.85,39.0,44.1,44.7,53.9,78.45,47.400000000000006,52.2,44.45,50.95,24.35
29.0,평일,2,207,상왕십리,상행,34.35,43.05,46.25,48.15,46.45,51.25,60.65,76.65,75.69999999999999,37.0,26.35,37.7,39.55,29.400000000000002
30.0,평일,2,207,상왕십리,하행,32.15,35.7,37.85,37.25,40.150000000000006,45.0,45.6,56.75,82.5,49.75,53.099999999999994,46.85,51.3,24.5
27.0,평일,2,208,왕십리,상행,29.25,37.5,39.0,39.25,38.65,38.45,44.05,52.75,50.6,24.950000000000003,17.4,23.85,25.85,19.65
28.0,평일,2,208,왕십리,하행,31.299999999999997,35.0,37.25,36.9,40.05,45.4,46.15,58.099999999999994,82.15,51.55,53.150000000000006,48.55,51.75,24.8
25.0,평일,2,209,한양대,상행,24.200000000000003,34.3,34.55,36.05,36.9,39.25,44.3,53.95,51.95,25.549999999999997,17.25,24.5,25.65,19.65
26.0,평일,2,209,한양대,하행,21.45,25.55,27.9,28.950000000000003,32.2,37.150000000000006,37.95,48.35,71.55,43.0,47.599999999999994,43.05,44.95,20.05
23.0,평일,2,210,뚝섬,상행,21.25,31.85,32.8,34.55,36.25,39.2,44.65,56.5,57.35,26.900000000000002,19.25,26.4,27.1,20.8
24.0,평일,2,210,뚝섬,하행,23.15,24.35,27.8,27.8,29.15,35.05,34.55,45.75,67.85,39.7,44.150000000000006,41.4,39.85,18.700000000000003
107.0,평일,2,211,성수,상행,20.55,27.0,28.85,31.900000000000002,33.5,39.3,40.150000000000006,49.099999999999994,67.7,36.15,30.15,39.7,34.35,22.7
108.0,평일,2,211,성수,하행,24.15,25.55,27.75,27.799999999999997,28.15,33.3,31.7,40.25,56.95,34.9,38.65,36.6,36.55,17.4
105.0,평일,2,212,건대입구,상행,23.7,28.55,28.95,31.2,31.8,36.2,36.05,42.150000000000006,52.7,28.9,25.549999999999997,32.849999999999994,29.7,19.55
106.0,평일,2,212,건대입구,하행,23.15,29.95,31.55,28.799999999999997,29.15,32.9,38.35,43.7,47.25,28.65,26.55,32.85,34.4,16.5
103.0,평일,2,213,구의,상행,24.25,29.45,28.25,30.4,30.549999999999997,34.2,34.75,40.0,48.7,25.1,22.25,28.85,25.9,16.95
104.0,평일,2,213,구의,하행,20.3,26.799999999999997,29.299999999999997,26.9,28.3,34.45,41.0,48.5,59.0,34.5,29.85,39.65,39.35,16.7
101.0,평일,2,214,강변,상행,26.65,29.450000000000003,29.4,29.7,29.8,32.5,33.15,38.849999999999994,45.0,24.05,20.75,26.25,23.65,15.899999999999999
102.0,평일,2,214,강변,하행,18.950000000000003,25.2,27.6,25.6,27.4,34.4,40.3,48.35,61.15,36.7,32.45,43.45,39.599999999999994,18.15
99.0,평일,2,215,잠실나루,상행,27.45,30.35,29.65,29.75,30.200000000000003,33.4,34.85,39.8,43.6,22.549999999999997,20.65,25.0,22.75,14.950000000000001
