연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1.0,평일,1,150,서울역,상행,34.35,30.9,32.5,30.05,25.549999999999997,24.7,24.049999999999997,29.85,40.95,24.8,16.35,16.3,15.45,9.600000000000001
2.0,평일,1,150,서울역,하행,19.9,19.45,25.25,27.3,31.450000000000003,38.95,51.6,66.45,95.0,41.8,35.7,32.2,32.650000000000006,14.450000000000001
3.0,평일,1,151,시청,상행,30.15,28.9,31.4,29.950000000000003,26.950000000000003,26.0,26.3,32.85,52.8,28.950000000000003,19.9,19.65,18.45,13.2
4.0,평일,1,151,시청,하행,19.299999999999997,18.4,23.55,26.5,30.849999999999998,37.95,43.7,61.25,89.85,36.45,31.45,29.8,26.2,12.75
5.0,평일,1,152,종각,상행,26.1,26.4,28.85,29.25,28.4,28.950000000000003,29.2,37.75,65.5,34.25,26.0,26.15,25.05,17.15
6.0,평일,1,152,종각,하행,21.0,19.0,23.9,26.6,29.9,35.3,40.95,53.65,66.05,28.45,24.8,23.85,21.45,10.649999999999999
7.0,평일,1,153,종로3가,상행,27.85,25.950000000000003,31.3,31.950000000000003,32.1,33.9,33.15,42.2,74.4,36.35,27.1,31.049999999999997,28.55,19.05
8.0,평일,1,153,종로3가,하행,24.4,20.85,24.3,26.35,28.75,32.85,36.9,43.45,48.400000000000006,22.0,18.2,16.25,14.25,7.25
9.0,평일,1,154,종로5가,상행,23.35,22.4,27.35,29.15,31.3,33.6,33.8,43.3,77.94999999999999,38.55,29.65,33.95,28.15,19.25
10.0,평일,1,154,종로5가,하행,30.0,24.200000000000003,31.1,29.5,32.0,35.35,38.150000000000006,44.9,45.05,21.85,17.35,15.100000000000001,12.7,7.9
11.0,평일,1,155,동대문,상행,21.7,22.85,26.6,29.9,32.65,33.65,35.55,44.85,78.45,38.05,29.85,34.2,28.05,19.700000000000003
12.0,평일,1,155,동대문,하행,31.85,24.35,30.55,29.2,27.9,31.450000000000003,33.4,37.650000000000006,36.150000000000006,17.05,13.55,12.15,10.5,7.05
13.0,평일,1,156,신설동,상행,17.95,21.8,22.3,26.5,27.35,30.95,29.9,46.05,67.7,36.0,25.1,30.55,29.25,17.1
14.0,평일,1,156,신설동,하행,30.5,21.3,27.799999999999997,26.55,25.3,27.55,33.35,31.35,30.65,14.3,11.350000000000001,10.15,8.5,6.6
15.0,평일,1,157,제기동,상행,14.55,17.299999999999997,18.25,21.950000000000003,25.15,26.75,28.45,43.099999999999994,68.15,36.5,24.7,29.45,27.55,16.2
16.0,평일,1,157,제기동,하행,31.1,20.2,26.9,25.2,24.4,26.05,31.0,27.25,25.9,12.65,10.45,9.25,7.75,6.85
17.0,평일,1,158,청량리,상행,11.8,14.3,15.8,18.0,21.75,23.15,27.65,36.6,62.05,33.1,22.8,25.700000000000003,25.4,15.85
18.0,평일,1,158,청량리,하행,30.650000000000002,18.6,22.5,23.95,17.95,21.9,26.700000000000003,24.7,22.65,11.55,9.3,9.0,7.05,6.75
19.0,평일,1,159,동묘앞,상행,19.3,20.4,23.9,26.75,28.1,30.8,33.45,41.0,70.35,35.9,27.05,30.3,26.5,18.05
20.0,평일,1,159,동묘앞,하행,31.85,24.6,30.549999999999997,28.799999999999997,28.35,30.6,34.65,34.35,34.35,16.4,12.9,11.2,9.55,6.75
21.0,평일,2,201,시청,상행,32.35,34.45,37.7,37.8,36.1,37.55,44.45,51.5,58.7,30.0,22.05,34.3,33.55,23.450000000000003
22.0,평일,2,201,시청,하행,24.95,33.05,31.3,34.150000000000006,35.75,40.45,45.4,67.25,107.65,53.6,51.75,47.650000000000006,51.3,23.55
23.0,평일,2,202,을지로입구,상행,27.9,32.7,35.400000000000006,39.150000000000006,38.5,41.55,45.8,62.349999999999994,76.15,37.25,28.200000000000003,41.05,37.65,27.55
24.0,평일,2,202,을지로입구,하행,25.6,30.55,31.4,32.8,34.95,37.8,41.85,62.5,94.35,47.65,48.45,43.2,47.400000000000006,21.8
25.0,평일,2,203,을지로3가,상행,27.049999999999997,31.1,34.849999999999994,37.4,37.65,40.849999999999994,45.849999999999994,64.45,77.95,38.95,27.35,42.900000000000006,38.25,29.0
26.0,평일,2,203,을지로3가,하행,28.35,33.25,33.2,33.0,34.6,36.7,38.2,54.65,77.25,39.95,38.95,35.5,38.900000000000006,18.0
27.0,평일,2,204,을지로4가,상행,26.55,31.049999999999997,35.45,38.6,39.25,43.7,50.0,71.3,86.05000000000001,42.2,28.85,44.849999999999994,40.25,29.950000000000003
28.0,평일,2,204,을지로4가,하행,28.0,32.5,31.75,32.0,32.4,34.6,37.099999999999994,48.3,66.85,36.650000000000006,36.6,32.3,35.3,15.15
29.0,평일,2,205,동대문역사문화공원,상행,31.049999999999997,36.35,41.15,45.2,44.95,47.650000000000006,56.650000000000006,73.65,86.65,40.7,27.8,41.8,37.55,26.75
30.0,평일,2,205,동대문역사문화공원,하행,29.85,33.95,34.55,32.9,33.45,36.45,37.2,46.45,64.94999999999999,35.55,36.2,32.4,35.599999999999994,15.3
31.0,평일,2,206,신당,상행,32.0,36.599999999999994,42.25,45.3,45.05,48.650000000000006,57.1,73.8,81.0,39.849999999999994,26.1,38.65,38.0,25.8
32.0,평일,2,206,신당,하행,33.05,35.75,37.6,35.45,37.05,41.3,42.25,53.2,79.25,45.650000000000006,46.7,40.400000000000006,43.099999999999994,18.85
33.0,평일,2,207,상왕십리,상행,32.1,36.9,42.45,45.25,44.65,48.25,56.300000000000004,72.55,79.9,38.95,25.15,37.1,36.150000000000006,24.2
34.0,평일,2,207,상왕십리,하행,32.900000000000006,36.0,37.4,34.95,37.35,42.400000000000006,43.0,54.8,83.25,47.25,47.900000000000006,42.0,42.0,19.85
35.0,평일,2,208,왕십리,상행,28.95,30.55,34.65,36.5,35.0,35.400000000000006,39.45,48.45,52.85,25.55,16.7,23.65,23.4,16.35
36.0,평일,2,208,왕십리,하행,32.099999999999994,35.4,36.5,34.55,37.150000000000006,42.7,43.3,56.05,82.1,49.45,48.4,43.75,42.4,19.95
37.0,평일,2,209,한양대,상행,21.9,28.35,30.55,32.349999999999994,32.599999999999994,36.25,40.9,50.849999999999994,54.150000000000006,26.1,16.8,24.35,23.35,16.45
38.0,평일,2,209,한양대,하행,21.200000000000003,25.2,26.7,26.0,29.4,34.55,35.05,46.35,70.75,41.0,42.05,38.45,35.2,16.1
39.0,평일,2,210,뚝섬,상행,18.85,25.9,28.5,30.650000000000002,31.65,35.9,40.849999999999994,52.349999999999994,60.05,27.65,18.05,25.5,25.05,16.85
40.0,평일,2,210,뚝섬,하행,23.75,24.25,26.85,25.6,27.35,31.5,30.200000000000003,41.55,67.5,37.8,38.4,36.15,31.150000000000002,14.850000000000001
41.0,평일,2,211,성수,상행,19.95,25.45,27.35,30.1,32.15,35.8,42.4,45.25,71.1,35.95,27.55,37.45,31.650000000000002,18.8
42.0,평일,2,211,성수,하행,24.75,25.0,26.950000000000003,25.5,26.299999999999997,29.85,27.85,37.0,56.9,33.0,33.95,32.349999999999994,28.5,13.899999999999999
43.0,평일,2,212,건대입구,상행,22.95,26.950000000000003,28.15,29.8,31.35,33.75,39.0,39.7,54.4,29.5,23.0,31.8,27.549999999999997,15.7
44.0,평일,2,212,건대입구,하행,22.700000000000003,27.7,29.7,27.4,27.9,30.7,35.2,40.599999999999994,47.8,28.05,25.450000000000003,29.85,27.15,13.0
45.0,평일,2,213,구의,상행,23.25,26.85,28.25,28.9,30.25,32.25,37.1,37.5,50.4,24.65,20.8,27.950000000000003,24.15,13.55
46.0,평일,2,213,구의,하행,20.1,25.950000000000003,28.049999999999997,25.7,28.049999999999997,32.75,36.75,45.7,60.0,34.3,30.2,36.85,31.049999999999997,14.25
47.0,평일,2,214,강변,상행,25.85,28.299999999999997,29.1,29.200000000000003,29.4,31.200000000000003,34.099999999999994,36.85,45.95,23.5,19.85,24.95,21.799999999999997,12.55
48.0,평일,2,214,강변,하행,18.85,24.4,26.55,24.7,27.3,33.05,36.3,46.25,63.0,36.5,32.599999999999994,39.55,31.9,15.3
49.0,평일,2,215,잠실나루,상행,26.4,28.950000000000003,29.1,29.15,29.6,31.950000000000003,34.85,37.55,44.349999999999994,22.5,19.049999999999997,23.700000000000003,20.9,11.8
50.0,평일,2,215,잠실나루,하행,16.65,22.25,25.15,24.950000000000003,27.25,34.8,39.6,49.65,68.3,38.65,34.9,42.400000000000006,35.65,16.2
51.0,평일,2,216,잠실,상행,33.45,29.95,31.450000000000003,32.4,31.85,34.1,37.05,41.05,45.2,23.049999999999997,23.35,29.0,20.15,9.7
52.0,평일,2,216,잠실,하행,16.75,21.0,24.95,25.55,27.0,34.6,38.85,48.849999999999994,68.25,38.8,37.5,44.35,37.0,16.85
53.0,평일,2,217,잠실새내,상행,34.400000000000006,29.2,30.9,31.6,29.85,32.15,34.650000000000006,38.55,40.7,22.4,21.65,27.5,19.15,9.2
54.0,평일,2,217,잠실새내,하행,18.700000000000003,23.5,28.15,28.1,30.65,40.75,47.6,60.65,87.15,51.05,39.85,50.75,46.85,24.299999999999997
55.0,평일,2,218,종합운동장,상행,35.75,29.35,31.65,32.1,29.05,32.3,34.599999999999994,38.85,39.35,21.45,20.85,26.6,20.35,9.0
