연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
250.0,평일,5,2511,방화,하행,1.6,3.3,6.1,5.5,3.9,3.4,3.1,3.2,4.2,3.0,2.8,3.2,2.2,2.4,1.6,1.2,0.8,0.8,0.4,0.2
251.0,평일,5,2512,개화산,상행,1.7,1.4,2.1,3.6,1.2,1.4,1.8,2.3,2.6,2.6,3.2,3.9,5.2,6.2,3.6,3.8,3.4,3.4,2.2,1.5
252.0,평일,5,2512,개화산,하행,3.2,5.4,11.0,9.8,6.6,5.6,5.3,5.7,6.2,4.8,5.1,5.8,4.4,6.4,3.6,2.4,1.8,1.8,0.8,0.4
253.0,평일,5,2513,김포공항,상행,2.8,3.4,4.7,7.9,2.2,2.4,3.1,4.5,4.1,4.6,5.4,6.8,9.0,11.5,6.5,6.8,6.1,5.8,3.8,2.3
254.0,평일,5,2513,김포공항,하행,2.8,7.8,18.4,24.8,17.6,12.8,11.8,12.0,12.4,12.2,13.2,14.2,11.2,19.4,14.0,9.3,8.4,8.9,5.6,2.1
255.0,평일,5,2514,송정,상행,14.7,13.9,15.4,15.2,5.4,7.2,9.4,10.8,11.4,11.4,13.2,16.9,23.8,28.2,11.7,12.6,11.1,10.0,5.8,2.6
256.0,평일,5,2514,송정,하행,4.0,9.4,21.5,28.7,19.6,15.0,13.8,13.1,14.0,14.0,14.3,16.0,12.2,20.6,15.2,9.8,8.6,9.2,5.6,2.7
257.0,평일,5,2515,마곡,상행,15.6,14.4,16.4,15.9,6.0,7.6,10.3,12.1,12.5,12.6,15.2,19.6,26.8,31.1,13.4,14.6,13.2,11.6,7.2,3.3
258.0,평일,5,2515,마곡,하행,4.3,10.4,24.8,29.5,19.4,16.8,15.8,14.6,16.0,16.2,18.0,22.6,18.4,26.8,20.8,12.9,11.1,11.2,6.6,2.9
259.0,평일,5,2516,발산,상행,25.4,21.8,20.1,23.5,9.6,10.0,12.0,14.3,14.8,14.5,17.0,21.8,28.9,33.5,16.0,16.3,14.4,13.4,8.4,4.4
260.0,평일,5,2516,발산,하행,5.1,11.0,27.6,28.4,19.6,18.6,18.4,17.9,20.0,20.3,25.3,31.5,28.8,41.0,29.4,20.2,18.7,18.7,11.1,3.4
261.0,평일,5,2517,우장산,상행,27.1,25.6,30.8,44.1,16.6,14.0,16.4,18.2,19.4,18.1,20.0,25.1,34.0,38.5,19.6,18.0,15.4,14.4,8.6,5.6
262.0,평일,5,2517,우장산,하행,7.4,16.6,37.8,37.4,24.6,23.0,21.7,21.6,22.2,21.8,26.6,34.1,30.7,40.4,30.6,20.5,18.5,19.4,10.8,3.2
263.0,평일,5,2518,화곡,상행,25.6,25.1,32.4,44.3,17.1,14.9,17.2,19.3,21.5,20.6,23.0,30.0,42.0,47.6,26.2,23.9,20.6,20.4,12.6,8.3
264.0,평일,5,2518,화곡,하행,9.3,26.6,61.0,61.2,37.2,31.4,27.2,28.6,27.8,25.4,29.3,36.6,33.3,41.3,31.4,21.2,18.9,19.2,10.4,2.3
265.0,평일,5,2519,까치산,상행,18.8,22.1,31.2,43.0,17.0,15.8,18.8,21.0,23.8,24.3,29.0,39.8,58.0,69.5,41.7,36.7,32.1,30.8,20.5,12.4
266.0,평일,5,2519,까치산,하행,12.9,30.6,69.8,74.6,43.2,34.7,28.6,29.6,27.2,24.2,25.3,30.3,26.8,31.2,24.2,16.4,14.6,14.6,8.4,3.8
267.0,평일,5,2520,신정,상행,12.0,16.8,22.8,28.4,12.5,12.8,16.1,19.0,22.2,24.4,30.5,42.2,62.4,78.2,47.6,43.0,38.0,37.2,25.6,16.0
268.0,평일,5,2520,신정,하행,16.4,35.5,80.6,87.5,51.0,38.2,31.7,32.3,29.8,26.1,25.5,30.4,28.0,29.6,24.4,16.2,13.6,14.3,8.6,3.5
269.0,평일,5,2521,목동,상행,10.2,15.9,21.2,25.5,12.0,13.0,16.3,20.0,23.4,26.0,34.2,45.7,68.1,86.2,53.6,47.8,43.8,41.0,29.3,17.0
270.0,평일,5,2521,목동,하행,18.2,39.0,91.9,98.9,57.2,43.0,36.0,35.5,32.3,28.6,27.6,33.2,30.0,30.8,25.4,17.8,15.0,15.4,9.0,3.5
271.0,평일,5,2522,오목교,상행,8.6,15.8,21.0,26.2,13.4,14.3,17.8,22.4,27.0,29.8,39.6,51.4,80.6,98.2,62.4,56.4,50.8,46.6,34.3,19.8
272.0,평일,5,2522,오목교,하행,19.1,42.0,98.4,105.7,60.8,46.0,38.9,38.2,35.2,31.2,30.6,37.2,35.0,36.8,29.9,23.2,19.5,19.5,10.3,3.6
273.0,평일,5,2523,양평,상행,8.1,16.0,24.7,31.6,18.0,17.5,22.2,26.6,31.5,34.2,44.7,58.6,92.2,105.4,69.0,59.2,53.6,49.4,37.8,21.6
274.0,평일,5,2523,양평,하행,21.3,42.6,103.0,107.3,63.0,47.2,39.8,39.4,36.4,32.5,31.6,39.0,37.2,39.2,31.4,23.3,20.0,20.2,10.6,4.0
275.0,평일,5,2524,영등포구청,상행,8.4,16.9,25.4,34.2,18.8,18.6,22.8,27.2,32.8,35.2,45.5,60.2,94.4,106.0,71.2,60.5,55.9,51.4,39.6,22.6
276.0,평일,5,2524,영등포구청,하행,16.4,31.0,77.8,87.8,48.0,35.6,30.8,30.9,29.0,25.0,23.0,27.8,26.5,27.4,23.0,16.2,14.0,14.4,8.2,3.4
