연번,평일주말,호선,역번호,역명,구분,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
303.0,평일,5,2511,방화,하행,1.6,3.6,6.8,5.4,4.0,3.5,3.4,3.1,3.2,2.7,3.4,3.4,2.0,2.6,1.8,1.2,1.0,0.8,0.4,0.2
248.0,평일,5,2512,개화산,상행,1.7,1.4,2.0,3.4,1.2,1.4,2.0,2.2,2.6,2.8,3.4,4.3,5.5,6.2,3.8,3.8,3.6,3.6,2.2,1.6
304.0,평일,5,2512,개화산,하행,3.2,5.9,12.4,10.6,6.8,6.0,5.8,5.4,5.5,4.8,5.3,5.6,4.2,5.6,3.3,2.4,2.0,1.8,1.0,0.4
249.0,평일,5,2513,김포공항,상행,2.5,2.8,4.4,6.6,2.0,2.5,3.5,4.0,4.3,4.8,6.0,7.6,9.6,11.9,7.2,7.1,6.8,6.3,4.0,2.6
305.0,평일,5,2513,김포공항,하행,2.6,8.6,21.9,27.4,18.4,13.4,12.2,12.0,12.6,12.1,13.6,14.5,11.8,18.9,14.3,9.4,8.6,9.9,6.2,3.5
250.0,평일,5,2514,송정,상행,13.6,12.5,16.5,14.8,5.4,7.4,10.2,11.2,11.4,12.0,14.1,17.7,24.5,29.8,12.4,14.0,12.4,11.1,6.3,2.8
306.0,평일,5,2514,송정,하행,3.7,10.2,24.6,31.4,20.8,15.8,13.7,13.6,14.0,13.8,14.8,16.6,12.6,20.2,16.0,10.1,9.0,10.1,6.1,4.3
251.0,평일,5,2515,마곡,상행,14.5,13.2,17.6,15.6,5.8,8.0,11.0,12.5,12.6,13.4,15.8,20.3,28.0,32.8,14.2,16.2,14.4,12.6,7.6,3.9
307.0,평일,5,2515,마곡,하행,4.2,11.3,28.0,31.3,20.6,17.1,15.3,15.2,16.2,16.5,18.6,22.3,17.8,27.8,21.6,14.4,12.6,12.6,7.2,4.5
252.0,평일,5,2516,발산,상행,18.0,16.8,22.4,24.4,9.4,10.6,13.3,14.8,15.6,15.2,18.1,22.7,30.7,36.0,17.0,17.6,15.4,14.6,8.8,4.9
