연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,평일,5,2511,방화,하행,1.2,2.6,4.3,5.6,3.4,3.2,2.8,3.6,2.7,2.7,2.5,2.0,1.6,2.4,1.4,0.9,0.8,0.5,0.5
,평일,5,2512,개화산,상행,1.4,1.2,1.9,3.0,1.0,1.2,1.8,2.0,2.3,2.4,2.8,3.2,4.0,4.3,3.4,3.2,2.9,2.8,1.8
,평일,5,2512,개화산,하행,2.2,4.3,7.6,9.8,6.0,5.2,4.8,5.4,4.8,4.6,4.4,3.8,3.3,4.9,2.7,2.0,1.4,1.2,1.0
,평일,5,2513,김포공항,상행,2.2,2.5,3.8,5.2,1.8,2.2,3.1,3.6,4.0,4.0,4.8,5.8,6.8,7.8,5.9,5.2,5.0,4.7,3.2
,평일,5,2513,김포공항,하행,1.6,5.0,9.6,19.4,13.0,9.4,8.6,9.1,9.3,10.0,10.2,8.6,8.4,14.6,9.9,6.9,6.2,6.1,4.8
,평일,5,2514,송정,상행,10.0,9.6,13.0,10.9,4.6,5.4,7.6,8.8,9.4,9.0,10.2,12.8,15.8,17.3,9.6,9.0,8.0,7.6,4.2
,평일,5,2514,송정,하행,2.8,6.4,12.0,22.2,15.5,11.4,9.6,10.8,11.5,11.0,11.9,10.2,9.8,15.8,11.0,7.6,6.6,6.6,5.0
,평일,5,2515,마곡,상행,11.2,10.2,14.9,11.6,5.2,6.1,8.7,10.3,10.4,10.4,12.0,15.2,18.2,19.2,11.6,10.8,9.6,9.2,5.2
,평일,5,2515,마곡,하행,3.4,7.4,15.2,24.2,16.2,13.1,11.0,12.4,13.4,13.2,14.8,13.6,13.7,21.4,14.0,9.4,8.6,8.0,6.1
,평일,5,2516,발산,상행,12.8,11.5,17.8,17.8,9.0,7.7,10.6,12.6,12.4,12.2,13.6,16.8,20.4,21.2,14.0,11.8,11.1,10.2,6.4
,평일,5,2516,발산,하행,4.0,8.4,17.4,24.0,16.4,15.0,13.6,15.3,16.5,17.6,20.2,20.2,22.0,34.1,19.7,14.8,14.6,13.2,10.8
,평일,5,2517,우장산,상행,14.4,14.6,28.7,30.9,15.7,11.3,14.4,16.0,16.6,14.8,16.4,19.9,23.8,24.8,17.7,13.2,11.8,11.5,7.2
,평일,5,2517,우장산,하행,5.7,12.4,24.7,33.0,21.8,17.8,16.7,18.2,19.0,19.0,22.4,24.0,23.3,33.4,21.4,15.2,15.0,13.5,10.8
,평일,5,2518,화곡,상행,13.7,14.4,32.6,31.4,16.3,11.8,15.3,17.2,18.8,16.9,19.5,22.9,29.3,32.0,23.6,17.6,16.7,16.2,10.1
,평일,5,2518,화곡,하행,8.0,21.2,40.7,54.5,34.2,24.9,22.2,23.6,23.4,22.5,25.5,25.6,25.4,32.4,21.6,15.6,14.4,13.7,9.8
,평일,5,2519,까치산,상행,9.4,13.8,31.7,29.4,15.9,12.4,16.2,19.0,21.0,20.6,25.2,30.6,42.8,48.8,37.2,27.4,27.2,25.4,17.0
,평일,5,2519,까치산,하행,9.6,21.5,47.0,68.8,40.7,28.2,23.3,25.3,23.8,21.4,21.5,20.0,19.2,25.2,17.2,12.8,11.3,9.9,7.2
,평일,5,2520,신정,상행,6.9,11.4,20.1,19.6,11.8,10.1,14.4,16.8,19.2,20.9,26.6,33.8,49.0,54.4,42.8,32.4,32.4,30.8,21.0
