연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,평일,4,409,당고개,하행,2.0,4.2,9.8,9.1,5.6,3.8,3.7,3.2,3.2,3.0,2.8,2.6,2.5,2.2,1.7,1.0,1.0,1.6,0.8
,평일,4,410,상계,상행,0.0,3.2,2.2,1.6,1.2,1.6,1.8,2.4,2.5,2.8,3.4,4.2,5.6,6.9,4.7,3.2,3.2,4.2,4.1
,평일,4,410,상계,하행,5.6,10.9,23.6,22.7,13.4,8.4,8.0,7.4,7.0,6.4,6.2,6.4,5.6,4.8,3.4,2.5,3.2,5.1,2.4
,평일,4,411,노원,상행,0.0,6.3,4.8,3.6,2.9,3.4,4.0,5.4,5.8,6.2,8.4,10.0,13.9,17.0,12.4,8.0,7.8,10.0,10.3
,평일,4,411,노원,하행,6.2,17.5,35.2,36.6,20.7,13.5,13.4,13.2,12.8,11.4,12.2,11.9,11.2,10.6,8.0,6.9,8.6,13.4,13.2
,평일,4,412,창동,상행,0.0,11.7,10.1,9.1,7.6,7.6,8.1,10.6,11.6,12.1,15.1,18.0,27.2,32.5,21.2,13.4,12.8,17.0,17.1
,평일,4,412,창동,하행,7.4,18.8,38.6,58.0,35.3,22.1,20.6,20.0,19.2,17.1,17.9,18.0,13.6,14.2,10.6,8.8,9.6,16.3,14.9
,평일,4,413,쌍문,상행,0.0,16.0,13.7,12.1,10.4,10.4,12.8,15.1,17.0,17.7,22.6,27.7,43.4,51.5,33.8,21.6,20.4,28.2,27.6
,평일,4,413,쌍문,하행,12.2,24.7,50.7,77.8,45.8,28.7,24.7,23.5,22.8,18.8,19.8,19.4,14.8,15.0,10.6,8.6,10.0,15.6,14.0
,평일,4,414,수유,상행,16.8,12.8,12.8,11.6,10.2,10.6,13.4,16.0,18.6,20.2,26.4,32.6,52.2,64.4,44.3,27.4,25.8,36.4,33.9
,평일,4,414,수유,하행,15.2,30.2,59.7,93.0,53.2,33.4,28.4,27.4,25.8,21.6,21.6,21.5,16.7,15.8,10.9,8.4,9.9,14.4,13.6
,평일,4,415,미아,상행,15.8,13.0,12.0,12.0,10.8,11.6,14.7,17.4,19.8,22.6,30.6,37.2,60.7,75.2,54.0,32.5,30.6,51.0,35.4
,평일,4,415,미아,하행,16.8,30.2,62.9,95.4,54.8,35.2,30.5,28.8,26.8,22.9,22.2,23.6,17.5,16.8,11.0,8.6,10.0,14.8,13.4
,평일,4,416,미아삼거리,상행,15.9,13.4,13.2,13.8,12.4,13.0,15.9,19.9,21.5,25.9,34.0,41.8,65.4,81.6,58.5,35.9,33.6,57.7,39.8
,평일,4,416,미아삼거리,하행,21.2,33.7,70.4,109.2,60.6,38.4,33.4,31.0,28.8,24.5,24.2,24.8,18.5,17.6,11.6,9.1,10.0,14.2,13.0
,평일,4,417,길음,상행,16.2,14.7,12.6,14.9,13.6,15.1,18.0,22.0,24.5,29.4,39.9,46.4,74.4,96.9,64.1,42.8,38.6,67.2,45.0
,평일,4,417,길음,하행,26.4,35.9,77.0,119.6,66.8,42.0,35.8,33.4,30.4,26.8,25.5,26.8,19.9,18.4,12.0,9.9,10.0,14.2,12.3
,평일,4,418,성신여대입구,상행,10.0,15.2,12.4,15.6,14.8,16.4,19.5,24.0,27.4,31.2,44.3,50.3,84.4,105.0,69.1,46.0,43.1,71.6,50.8
,평일,4,418,성신여대입구,하행,27.4,38.6,82.2,128.8,74.9,46.4,37.6,36.8,33.9,28.6,28.6,29.8,22.7,20.9,14.0,11.0,11.8,17.8,13.8
,평일,4,419,한성대입구,상행,9.9,16.1,13.2,17.4,16.4,17.5,22.5,26.2,29.6,34.6,47.6,55.6,90.4,113.7,74.2,48.2,47.8,77.6,48.2
,평일,4,419,한성대입구,하행,21.8,39.8,80.1,132.0,78.2,48.2,39.0,39.2,34.4,31.2,28.8,32.0,24.4,22.8,14.8,11.7,12.7,19.0,14.4
,평일,4,420,혜화,상행,9.6,16.5,15.4,19.6,18.0,18.7,23.7,28.2,31.1,36.2,49.4,56.6,94.3,114.2,77.0,50.9,49.4,83.5,51.9
,평일,4,420,혜화,하행,22.4,38.4,76.4,124.9,77.8,49.7,41.2,41.4,36.2,34.7,35.4,39.4,31.8,30.2,18.4,16.4,22.2,35.2,21.0
,평일,4,421,동대문,상행,8.8,20.6,19.9,29.4,25.5,22.8,27.8,32.6,39.6,41.8,51.6,60.0,97.4,116.7,75.5,50.6,47.6,75.3,53.5
,평일,4,421,동대문,하행,22.6,36.2,70.8,119.6,75.2,46.3,40.8,40.0,37.1,35.8,36.2,42.6,35.4,32.5,18.5,16.3,20.8,33.9,23.6
,평일,4,422,동대문역사문화공원,상행,6.8,22.0,22.4,31.6,28.6,25.6,30.1,34.6,41.1,42.4,52.0,57.8,91.1,112.5,74.8,48.4,46.2,77.5,53.0
,평일,4,422,동대문역사문화공원,하행,16.4,24.1,46.6,82.2,55.2,35.6,31.7,31.5,28.8,28.4,28.6,32.6,27.0,25.7,14.2,12.6,15.8,25.4,16.6
,평일,4,423,충무로,상행,5.2,16.7,17.1,28.0,24.2,21.6,25.6,29.4,33.2,37.0,39.8,46.2,71.3,83.2,52.2,34.5,34.4,53.6,37.2
,평일,4,423,충무로,하행,14.2,17.4,33.5,58.7,40.8,27.9,27.4,27.0,24.8,25.2,26.9,29.0,28.4,28.8,16.6,12.5,16.4,27.2,16.8
,평일,4,424,명동,상행,4.9,17.4,18.8,32.2,27.0,22.2,25.4,28.7,30.8,33.9,35.0,40.4,60.0,65.6,40.0,26.6,26.2,40.3,29.5
,평일,4,424,명동,하행,13.5,16.1,29.8,49.4,34.9,24.2,24.9,24.5,23.6,23.7,26.2,29.5,29.8,33.2,18.2,14.3,18.2,29.2,17.4
