연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,평일,1,150,서울역,상행,3.1,14.0,35.0,62.2,39.2,25.0,22.2,24.4,22.6,20.2,18.4,17.0,20.4,29.8,17.6,11.6,11.3,13.4,7.0
,평일,1,150,서울역,하행,4.6,9.0,22.2,23.4,16.8,14.6,14.4,18.6,20.4,23.7,27.2,35.2,46.8,74.6,32.0,26.0,23.7,26.2,11.4
,평일,1,151,시청,상행,2.7,11.6,26.4,45.8,33.3,21.0,20.4,23.0,22.7,21.1,19.8,18.7,22.6,38.6,20.8,14.1,14.0,16.4,11.7
,평일,1,151,시청,하행,3.5,8.5,20.8,22.4,16.4,13.8,13.4,17.8,19.5,23.5,26.7,30.6,43.2,70.2,28.4,23.0,22.0,21.6,10.4
,평일,1,152,종각,상행,2.6,10.0,16.6,26.0,22.7,17.7,18.2,22.2,21.9,22.4,23.0,20.8,26.6,48.2,24.5,18.9,19.2,23.5,15.6
,평일,1,152,종각,하행,3.9,9.2,24.2,34.6,21.3,15.2,14.7,18.2,19.8,23.0,25.0,28.3,38.0,52.2,21.6,18.4,17.6,18.1,8.9
,평일,1,153,종로3가,상행,2.4,9.4,16.6,28.2,21.2,20.5,17.3,23.8,24.3,25.2,26.1,24.2,29.4,54.4,25.9,20.0,22.2,25.9,17.4
,평일,1,153,종로3가,하행,4.6,10.6,31.0,50.6,31.0,18.1,16.2,19.0,19.8,22.2,23.8,25.4,30.6,37.2,16.4,13.0,10.9,11.2,5.9
,평일,1,154,종로5가,상행,2.2,7.6,12.8,19.4,16.2,17.0,14.8,21.2,21.8,24.8,26.4,25.1,30.4,57.5,28.6,21.7,25.1,25.3,17.7
,평일,1,154,종로5가,하행,5.4,12.1,34.6,54.7,35.6,22.6,18.2,25.4,20.6,24.7,24.9,26.6,30.8,34.0,16.0,12.1,10.2,9.5,5.5
,평일,1,155,동대문,상행,3.0,7.4,12.0,18.2,14.8,15.2,16.2,19.7,22.8,25.5,26.0,27.2,32.4,58.6,28.4,22.1,25.2,23.9,17.8
,평일,1,155,동대문,하행,5.2,13.3,38.6,60.3,37.6,24.5,18.2,25.5,20.4,22.2,22.1,23.0,25.4,25.4,11.7,9.0,7.8,7.6,4.8
,평일,1,156,신설동,상행,2.6,7.0,8.4,13.6,13.6,13.6,16.6,18.2,20.0,21.2,25.3,22.6,33.8,51.8,27.6,18.8,23.4,25.2,18.1
